amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR2:181850.739675	0	5	0	5
ERR2:238350.739622	0	5	0	5
ERR2:241140.729669	0	5	0	5
ERR2:242560.702816	0	5	0	5
ERR2:243100.734597	0	5	0	5
ERR2:265480.680813	0	5	0	5
ERR2:299340.738629	0	5	0	5
ERR2:30470.684888	0	5	0	5
ERR2:30650.735459	0	5	0	5
ERR2:31610.721215	0	5	0	5
ERR2:340430.693225	0	5	0	5
ERR2:40000.705078	0	5	0	5
ERR2:47450.720082	0	5	0	5
ERR2:50840.698579	0	5	0	5
ERR2:51340.718475	0	5	0	5
ERR2:520.710890	0	5	0	5
ERR2:524760.694369	0	5	0	5
ERR2:53550.707884	0	5	0	5
ERR2:53620.741545	0	5	0	5
ERR2:5650.712524	0	5	0	5
ERR2:57980.724396	0	5	0	5
ERR2:58590.738651	0	5	0	5
ERR2:64000.728269	0	5	0	5
ERR2:71890.724913	0	5	0	5
ERR2:72200.710059	0	5	0	5
ERR2:73630.731160	0	5	0	5
ERR2:76090.712635	0	5	0	5
ERR2:7880.733580	0	5	0	5
ERR2:79600.708248	0	5	0	5
ERR2:98650.729796	0	5	0	5
ERR2:9890.737127	0	5	0	5
ERR3:160550.708966	0	0	5	5
ERR3:180430.678979	0	0	5	5
ERR3:185310.705890	0	0	5	5
ERR3:241490.686376	0	0	5	5
ERR3:272560.696359	0	0	5	5
ERR3:293380.635970	0	0	5	5
ERR3:446880.743625	0	0	5	5
ERR3:66320.720294	0	0	5	5
ERR3:8530.729111	0	0	5	5
ERR3:9410.674768	0	0	5	5
ERR1:10270.719105	4	0	0	4
ERR1:105710.711526	4	0	0	4
ERR1:107480.734180	4	0	0	4
ERR1:109280.697214	4	0	0	4
ERR1:123090.719531	4	0	0	4
ERR1:126350.722806	4	0	0	4
ERR1:1270.696647	4	0	0	4
ERR1:129900.664098	4	0	0	4
ERR1:130460.671151	4	0	0	4
ERR1:132110.734638	4	0	0	4
ERR1:132790.729685	4	0	0	4
ERR1:137780.721616	4	0	0	4
ERR1:139860.734486	4	0	0	4
ERR1:14160.728715	4	0	0	4
ERR1:146730.734824	4	0	0	4
ERR1:14720.731112	4	0	0	4
ERR1:148530.721295	4	0	0	4
ERR1:150150.718399	4	0	0	4
ERR1:15590.697441	4	0	0	4
ERR1:16550.639751	4	0	0	4
ERR1:166080.733513	4	0	0	4
ERR1:168340.742165	4	0	0	4
ERR1:170120.731820	4	0	0	4
ERR1:18120.729389	4	0	0	4
ERR1:183800.674611	4	0	0	4
ERR1:205990.735079	4	0	0	4
ERR1:210700.726752	4	0	0	4
ERR1:215580.724000	4	0	0	4
ERR1:220730.707219	4	0	0	4
ERR1:226170.682363	4	0	0	4
ERR1:22690.721366	4	0	0	4
ERR1:23710.730239	4	0	0	4
ERR1:237190.734699	4	0	0	4
ERR1:239040.626268	4	0	0	4
ERR1:253050.718506	4	0	0	4
ERR1:26330.708612	4	0	0	4
ERR1:266300.721715	4	0	0	4
ERR1:26880.717261	4	0	0	4
ERR1:27790.729156	4	0	0	4
ERR1:28450.704737	4	0	0	4
ERR1:28700.732070	4	0	0	4
ERR1:295950.731480	4	0	0	4
ERR1:305260.679332	4	0	0	4
ERR1:35080.722722	4	0	0	4
ERR1:368500.715017	4	0	0	4
ERR1:378500.614134	4	0	0	4
ERR1:417900.743692	4	0	0	4
ERR1:42360.716002	4	0	0	4
ERR1:42880.670712	4	0	0	4
ERR1:429390.711308	4	0	0	4
ERR1:443580.679996	4	0	0	4
ERR1:47030.702302	4	0	0	4
ERR1:47350.683457	4	0	0	4
ERR1:51100.738407	4	0	0	4
ERR1:52370.695918	4	0	0	4
ERR1:53650.728400	4	0	0	4
ERR1:54540.724682	4	0	0	4
ERR1:62040.739702	4	0	0	4
ERR1:62880.701125	4	0	0	4
ERR1:62970.716852	4	0	0	4
ERR1:63680.713210	4	0	0	4
ERR1:64100.661183	4	0	0	4
ERR1:64800.687536	4	0	0	4
ERR1:66510.712341	4	0	0	4
ERR1:66990.707614	4	0	0	4
ERR1:71280.738455	4	0	0	4
ERR1:73990.713023	4	0	0	4
ERR1:74520.722364	4	0	0	4
ERR1:760.720207	4	0	0	4
ERR1:81920.734028	4	0	0	4
ERR1:83040.733969	4	0	0	4
ERR1:95130.740540	4	0	0	4
ERR2:100190.722072	0	4	0	4
ERR2:102000.722472	0	4	0	4
ERR2:105530.721197	0	4	0	4
ERR2:121910.702266	0	4	0	4
ERR2:12350.735527	0	4	0	4
ERR2:124730.690031	0	4	0	4
ERR2:130530.725831	0	4	0	4
ERR2:132500.668280	0	4	0	4
ERR2:138290.731934	0	4	0	4
ERR2:145310.728505	0	4	0	4
ERR2:148380.731563	0	4	0	4
ERR2:149300.725952	0	4	0	4
ERR2:150.714819	0	4	0	4
