OTU	ERR0000001	ERR0000002	ERR0000003	classification
ERR2:83160.746512	0	8	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:86610.724602	0	8	0	Eukaryota;Arthropoda;Insecta;Mecoptera;Panorpidae;Sinopanorpa;Sinopanorpa nangongshana
ERR3:1000.718559	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Aulagromyza;Aulagromyza luteoscutellata
ERR3:1010860.679626	0	0	8	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1013680.699344	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Aulagromyza;Aulagromyza luteoscutellata
ERR3:1034850.708667	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR3:1164020.706925	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR3:1198470.664614	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles quadrimaculatus A
ERR3:392130.642101	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles quadrimaculatus A
ERR3:571280.694687	0	0	8	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus lobidens
ERR3:714170.703035	0	0	8	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Stegana;Stegana singularis
ERR1:147710.656395	1	4	2	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR1:192340.719485	7	0	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Aphelocheiridae;Aphelocheirus;Aphelocheirus ellipsoideus
ERR1:208090.712925	7	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR1:258430.696018	7	0	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Cantharidae;Malthodes;Malthodes mysticus
ERR1:284590.636632	1	1	5	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:39120.672270	1	0	6	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:3960.736644	7	0	0	Eukaryota;Arthropoda;Insecta;Hymenoptera;Halictidae;Lasioglossum;Lasioglossum convexum
ERR1:615150.634763	2	0	5	Eukaryota;Mollusca;Bivalvia;Nuculoida;Nuculidae;Ennucula;Ennucula granulosa
ERR1:64800.687536	7	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:70320.670080	7	0	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Hexatrygonidae;Hexatrygon;Hexatrygon bickelli
ERR1:714800.727138	1	6	0	Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis margarita
ERR2:113100.648002	0	7	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:130530.725831	0	7	0	Eukaryota;Chordata;Amphibia;Anura;Dicroglossidae;Quasipaa;Quasipaa yei
ERR2:141520.697963	0	7	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:196630.740994	0	7	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:224700.715181	0	7	0	Eukaryota;Arthropoda;Malacostraca;Isopoda;Cylisticus;Cylisticus convexus
ERR2:258030.727289	0	7	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:30470.684888	0	7	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:317420.739714	0	7	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta aeroides (nomen nudum)
ERR2:370640.735961	0	7	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:424380.619642	0	3	4	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1028250.717826	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:103190.678412	0	0	7	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1048120.703862	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1106310.708501	0	0	7	Eukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Prodoxus;Prodoxus atascosanellus
ERR3:1184670.704523	0	0	7	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla obscura
ERR3:1193100.700281	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR3:1211990.736263	0	0	7	Eukaryota;Arthropoda;Malacostraca;Decapoda;Alpheidae;Alpheus;Alpheus distinguendus
ERR3:1236040.692142	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR3:1240750.661420	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR3:1273680.721682	0	0	7	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR3:131830.710575	0	0	7	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles lutzii s. l. 1 RS16
ERR3:134980.694753	2	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza aquilegioides
ERR3:767030.711697	0	0	7	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR1:110200.631590	3	1	2	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Bruchidius;Bruchidius siliquastri
ERR1:117140.609367	3	0	3	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR1:161970.728252	6	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila setula
ERR1:18040.735926	6	0	0	Eukaryota;Chordata;Actinopteri;Pomacanthidae;Holacanthus;Holacanthus africanus
ERR1:206060.617581	2	1	3	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR1:232890.654511	6	0	0	Eukaryota;Chordata;Aves;Passeriformes;Sturnidae;Spreo;Spreo bicolor
ERR1:27250.629044	5	1	0	Eukaryota;Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Astrospartus;Astrospartus mediterraneus
ERR1:401920.722796	3	1	2	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:450940.609513	2	1	3	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR1:452030.747260	1	2	3	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Bidessonotus;Bidessonotus inconspicuus
ERR1:660740.679009	1	3	2	Eukaryota;Arthropoda;Insecta;Orthoptera;Tetrigidae;Alulatettix;Alulatettix yunnanensis
ERR1:661920.686815	2	2	2	Eukaryota;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus sternbergi
ERR1:77840.699393	6	0	0	Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus othus
ERR1:89000.686568	6	0	0	Eukaryota;Arthropoda;Insecta;Hymenoptera;Bethylidae;Cephalonomia;Cephalonomia gallicola
ERR2:106380.723457	0	6	0	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR2:12350.735527	0	6	0	Eukaryota;Chordata;Amphibia;Anura;Arthroleptidae;Cardioglossa;Cardioglossa leucomystax
ERR2:124830.725155	0	6	0	Eukaryota;Cnidaria;Multivalvulida;Kudoidae;Kudoa;Kudoa hexapunctata
ERR2:133290.740346	0	6	0	Eukaryota;Chordata;Squamata;Viperidae;Gloydius;Gloydius intermedius
ERR2:164570.727314	0	6	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:19320.717987	0	6	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:209430.726869	0	6	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydaticus;Hydaticus arcuatus
ERR2:219280.706510	0	6	0	Eukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Prodoxus;Prodoxus atascosanellus
ERR2:255200.719975	1	5	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Trissopelopia;Trissopelopia longimana
ERR2:31470.718592	0	6	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:37750.726258	0	6	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:413010.731296	0	6	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:448140.698562	0	6	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila frotapessoai
ERR2:642310.660751	0	2	4	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:725200.602236	0	1	5	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1060060.715751	0	0	6	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydroptilidae;Nothotrichia;Nothotrichia cautinensis
ERR3:1083530.711258	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1106390.714838	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1129290.711301	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Chromatomyia;Chromatomyia aprilina
ERR3:1189360.745186	0	0	6	Eukaryota;Platyhelminthes;Cestoda;Nippotaeniidea;Nippotaeniidae;Nippotaenia;Nippotaenia chaenogobii
ERR3:1240490.711378	0	0	6	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Percilia;Percilia irwini
ERR3:1305720.731540	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1361670.736904	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Amobia;Amobia erythrura
ERR3:154110.616555	0	2	4	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles quadrimaculatus A
ERR3:2000.607653	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:46770.713239	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR3:607050.721641	0	2	4	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Polypedilum;Polypedilum quadriguttatum
ERR3:75730.731887	0	0	6	Eukaryota;Arthropoda;Insecta;Diptera;Hybotidae;Platypalpus;Platypalpus vegetus
ERR1:10290.708173	5	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Orthocladius;Orthocladius telochaetus
ERR1:106820.686606	2	0	3	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga crassimargo
ERR1:10880.682800	5	0	0	Eukaryota;Annelida;Polychaeta;Orbiniidae;Orbinia;Orbinia latreillii
ERR1:111340.711106	5	0	0	Eukaryota;Chordata;Actinopteri;Atheriniformes;Isonidae;Iso;Iso hawaiiensis
ERR1:111410.615327	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:123090.719531	5	0	0	Eukaryota;Echinodermata;Ophiuroidea;Euryalida;Asteroschematidae;Squamophis;Squamophis amamiensis
ERR1:142690.698211	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:180560.701458	2	3	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:189660.703086	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:193030.702187	2	3	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:202300.635801	1	1	3	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:210630.704951	4	1	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Notonectidae;Enithares;Enithares tibialis
ERR1:260740.730962	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:263390.735200	5	0	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tettigettacula;Tettigettacula baenai
ERR1:319430.622544	2	0	3	Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Paramphistomum;Paramphistomum cervi
ERR1:341130.645831	1	4	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:342840.733468	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:373060.718226	5	0	0	Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae;Ophiura;Ophiura lutkeni
ERR1:390230.726489	5	0	0	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR1:41550.707334	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:42620.733889	5	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:427800.717326	1	0	4	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:439940.674088	2	0	3	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:504100.636619	3	0	2	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:594550.691392	1	0	4	Eukaryota;Arthropoda;Malacostraca;Decapoda;Petrolisthes;Petrolisthes haswelli
ERR1:597820.645890	2	0	3	Eukaryota;Chordata;Mammalia;Insectivora;Soricidae;Crocidura;Crocidura mindorus
ERR1:62120.694186	5	0	0	Eukaryota;Chordata;Actinopteri;Aulopiformes;Aulopidae;Hime;Hime japonica
ERR2:1020.705750	1	4	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:103900.736105	0	5	0	Eukaryota;Chordata;Chondrichthyes;Orectolobiformes;Orectolobidae;Orectolobus;Orectolobus japonicus
ERR2:105890.678898	0	3	2	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:120330.705570	0	5	0	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Himantura;Himantura microphthalma
ERR2:12450.684126	0	2	3	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila rubida
ERR2:131930.731912	0	5	0	Eukaryota;Arthropoda;Insecta;Hymenoptera;Agaonidae;Blastophaga;Blastophaga intermedia
ERR2:167250.659013	1	4	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:185090.726218	0	5	0	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR2:185250.734797	0	5	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chaetocladius;Chaetocladius dissipatus
ERR2:197830.735470	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:207770.644841	0	5	0	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Stempellinella;Stempellinella tamaseptima
ERR2:210570.723871	0	5	0	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR2:21780.725430	0	5	0	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:23760.724685	0	5	0	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae;Seila;Seila morishimai
ERR2:239270.736717	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:283730.747158	0	5	0	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae;Seila;Seila morishimai
ERR2:295970.661172	0	3	2	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes viduatus
ERR2:303410.630886	1	3	1	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Haemaphysalis;Haemaphysalis hystricis
ERR2:30880.706897	0	5	0	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR2:308960.735743	0	5	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:385940.739404	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:450440.730255	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:47270.697344	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:74280.726704	0	5	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:76090.712635	0	5	0	Eukaryota;Arthropoda;Insecta;Lepidoptera;Prodoxidae;Lampronia;Lampronia rubiella
ERR2:84750.682915	0	1	4	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR3:1005530.619322	0	0	5	Eukaryota;Mollusca;Gastropoda;Cerithiopsidae;Seila;Seila morishimai
ERR3:1007070.712119	0	0	5	Eukaryota;Acanthocephala;Eoacanthocephala;Gyracanthocephala;Quadrigyridae;Pallisentis;Pallisentis celatus
ERR3:1037120.666133	0	0	5	Eukaryota;Cnidaria;Hydrozoa;Limnomedusae;Olindiasidae;Cubaia;Cubaia aphrodite
ERR3:1069580.707671	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza aquilegioides
ERR3:1079550.667459	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Hendelia;Hendelia gladiator
ERR3:1088920.714806	0	0	5	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR3:1095340.667522	0	0	5	Eukaryota;Arthropoda;Malacostraca;Decapoda;Thalassinidae;Thalassina;Thalassina kelanang
ERR3:1099720.710725	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Pseudostegana;Pseudostegana angustifasciata
ERR3:1108640.702065	0	0	5	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Taeniidae;Hydatigera;Hydatigera krepkogorski
ERR3:1135990.656391	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1139870.696462	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1144530.682580	0	0	5	Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Rhinopithecus;Rhinopithecus bieti 1 RL-2012
ERR3:1166800.687918	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Orthocladius;Orthocladius telochaetus
ERR3:1223110.703965	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1274040.707029	0	0	5	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR3:1306930.634376	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:1309210.653730	0	0	5	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR3:1334790.688085	0	0	5	Eukaryota;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Eupholidoptera;Eupholidoptera uvarovi
ERR3:1361830.708539	0	1	4	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:16720.747821	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR3:170490.696317	0	0	5	Eukaryota;Chordata;Amphibia;Caudata;Plethodontidae;Batrachoseps;Batrachoseps wrighti
ERR3:248270.704171	0	0	5	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR3:256030.657673	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR3:574590.676313	0	0	5	Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Trachypithecus;Trachypithecus germaini
ERR3:79140.722616	0	0	5	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles nimbus
ERR1:102300.726086	4	0	0	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemopidae;Whitmania;Whitmania pigra
ERR1:107540.714366	4	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla nebulosa
ERR1:113090.647532	4	0	0	Eukaryota;Chordata;Squamata;Dipsadidae;Hypsiglena;Hypsiglena torquata
ERR1:119540.619196	2	0	2	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Chydoridae;Pseudochydorus;Pseudochydorus globosus
ERR1:120130.698844	1	3	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:123800.725487	4	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:125430.735741	3	1	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:142670.726569	4	0	0	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
ERR1:146080.606280	2	2	0	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium brevipar
ERR1:147100.666522	3	0	1	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:15620.703465	4	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Micropezidae;Grallipeza;Grallipeza vicina
ERR1:15950.606054	4	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:15960.692247	4	0	0	Eukaryota;Chordata;Mammalia;Insectivora;Soricidae;Crocidura;Crocidura mindorus
ERR1:16080.724332	4	0	0	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Gobiobotia;Gobiobotia intermedia
ERR1:16190.737447	4	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Metopomyza;Metopomyza flavonotata
ERR1:202490.633903	1	0	3	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:21150.671757	3	1	0	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes verticalis
ERR1:212860.705194	4	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:214520.617568	2	0	2	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:22330.640967	4	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:242510.618130	4	0	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Hydrometridae;Hydrometra;Hydrometra greeni
ERR1:250700.711709	4	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Deuterophlebiidae;Deuterophlebia;Deuterophlebia coloradensis
ERR1:255990.684122	4	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:286860.615839	3	1	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Nanopsalta;Nanopsalta basalis
ERR1:295200.625581	2	2	0	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes verticalis
ERR1:318530.664374	4	0	0	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR1:326730.644216	3	1	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:351600.685890	2	0	2	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:374670.658693	2	0	2	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR1:381980.721910	4	0	0	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR1:386300.601434	1	0	3	Eukaryota;Mollusca;Gastropoda;Diplommatinidae;Diplommatina;Diplommatina prava
ERR1:395710.614885	4	0	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Chlorophanus;Chlorophanus sibiricus
ERR1:399670.712692	4	0	0	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Pauropsalta;Pauropsalta herveyensis (nomen nudum)
ERR1:437710.702213	1	3	0	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
ERR1:438220.691085	4	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium anatinum
