OTU	ERR0000001	ERR0000002	ERR0000003	classification
ERR1:9520.650507	14	22	62	Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Aspasma;Aspasma minima
ERR1:227440.706232	97	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:304760.678404	23	14	60	Eukaryota;Platyhelminthes;Cestoda;Trypanorhyncha;Lacistorhynchidae;Grillotia;Grillotia pristiophori
ERR1:217910.645917	23	13	55	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Dictya;Dictya stricta
ERR3:235560.611945	13	13	64	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR2:249990.621924	0	82	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:156950.627558	0	80	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:230880.715924	43	6	25	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes johnsoni
ERR3:198830.667909	0	0	73	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Hendelia;Hendelia gladiator
ERR3:58110.673860	16	15	42	Eukaryota;Chordata;Squamata;Dipsadidae;Thermophis;Thermophis zhaoermii
ERR2:538670.708823	0	70	1	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes ovatus
ERR1:48490.689855	69	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:430120.683047	29	9	28	Eukaryota;Platyhelminthes;Monogenea;Gyrodactylidae;Paragyrodactylus;Paragyrodactylus variegatus
ERR2:50570.660601	14	10	42	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Zapogon;Zapogon evermanni
ERR1:15520.654652	14	15	35	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR1:129120.639330	24	4	35	Eukaryota;Mollusca;Gastropoda;Camaenidae;Camaena;Camaena cicatricosa
ERR3:171620.717843	0	0	60	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Cerodontha;Cerodontha atronitens
ERR1:509820.683187	7	14	30	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Neotibicen;Neotibicen nr. similaris DCM-2015
ERR1:31150.678620	24	5	20	Eukaryota;Chordata;Amphibia;Caudata;Hynobiidae;Hynobius;Hynobius hidamontanus
ERR3:25640.624838	8	10	28	Eukaryota;Arthropoda;Insecta;Diptera;Micropezidae;Grallipeza;Grallipeza vicina
ERR1:30000.631451	45	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR3:228640.718849	8	8	27	Eukaryota;Mollusca;Bivalvia;Pectinoida;Pectinidae;Mimachlamys;Mimachlamys senatoria
ERR1:146540.696850	13	3	24	Eukaryota;Chordata;Amphibia;Anura;Arthroleptidae;Leptopelis;Leptopelis vermiculatus
ERR3:830490.632563	14	2	23	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Foa;Foa leisi
ERR1:151180.720750	37	0	0	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR3:576360.679252	7	4	26	Eukaryota;Chordata;Amphibia;Anura;Brevicipitidae;Breviceps;Breviceps adspersus
ERR2:252380.698186	0	36	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:340430.693225	0	36	0	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:38370.691884	0	36	0	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Cestraeus;Cestraeus goldiei
ERR2:20370.737304	0	34	0	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Westracystis;Westracystis lissus
ERR2:366320.720197	9	10	15	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:149600.655300	19	6	8	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes johnsoni
ERR2:103630.728874	0	33	0	Eukaryota;Acanthocephala;Eoacanthocephala;Gyracanthocephala;Quadrigyridae;Pallisentis;Pallisentis celatus
ERR2:158820.661689	4	8	21	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR2:196210.711664	2	31	0	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Chlorophanus;Chlorophanus sibiricus
ERR2:589400.705225	10	8	15	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR1:112300.714138	32	0	0	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium brevipar
ERR2:270990.719918	6	5	21	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR1:332360.704869	5	9	17	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR2:277880.611584	4	4	22	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Amblyomma;Amblyomma elaphense
ERR1:249700.623124	24	5	0	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
