amplicon	ERR1308288	total
ERR1308288:1010470.706549	2	2
ERR1308288:1021790.667256	2	2
ERR1308288:1105010.676126	2	2
ERR1308288:1183620.707562	2	2
ERR1308288:1318830.709602	2	2
ERR1308288:1343380.747211	2	2
ERR1308288:1504060.711830	2	2
ERR1308288:1522630.690055	2	2
ERR1308288:1611200.663631	2	2
ERR1308288:1638540.703939	2	2
ERR1308288:1645370.763286	2	2
ERR1308288:1648100.678719	2	2
ERR1308288:1650300.691860	2	2
ERR1308288:1658920.726668	2	2
ERR1308288:1671040.663662	2	2
ERR1308288:1732820.726470	2	2
ERR1308288:1820090.686303	2	2
ERR1308288:1879720.657126	2	2
ERR1308288:188670.660720	2	2
ERR1308288:190270.616788	2	2
ERR1308288:1952910.608456	2	2
ERR1308288:1972310.626509	2	2
ERR1308288:2004460.674629	2	2
ERR1308288:2099680.614434	2	2
ERR1308288:2124040.685746	2	2
ERR1308288:2391550.742403	2	2
ERR1308288:243850.744330	2	2
ERR1308288:247910.730461	2	2
ERR1308288:2510060.684846	2	2
ERR1308288:2517020.678752	2	2
ERR1308288:263030.710806	2	2
ERR1308288:2656490.626789	2	2
ERR1308288:2666310.721625	2	2
ERR1308288:2690760.619397	2	2
ERR1308288:2693790.660463	2	2
ERR1308288:2834600.699386	2	2
ERR1308288:2852880.684812	2	2
ERR1308288:296320.724926	2	2
ERR1308288:2972200.732056	2	2
ERR1308288:311300.723991	2	2
ERR1308288:320520.724618	2	2
ERR1308288:3282240.652349	2	2
ERR1308288:338280.751317	2	2
ERR1308288:3605570.721459	2	2
ERR1308288:3618620.720331	2	2
ERR1308288:3881200.667369	2	2
ERR1308288:4269650.711179	2	2
ERR1308288:4363600.707431	2	2
ERR1308288:450390.726741	2	2
ERR1308288:4561620.720214	2	2
ERR1308288:485720.628096	2	2
ERR1308288:48630.730269	2	2
ERR1308288:4992460.724169	2	2
ERR1308288:501830.696584	2	2
ERR1308288:505560.733438	2	2
ERR1308288:528140.729544	2	2
ERR1308288:536590.708693	2	2
ERR1308288:564160.687946	2	2
ERR1308288:612510.735647	2	2
ERR1308288:628070.755285	2	2
ERR1308288:629470.740282	2	2
ERR1308288:642740.718805	2	2
ERR1308288:663310.740141	2	2
ERR1308288:664970.706710	2	2
ERR1308288:670460.681782	2	2
ERR1308288:960000.707748	2	2
ERR1308288:99630.688468	2	2
ERR1308288:1000120.619540	1	1
ERR1308288:100020.631719	1	1
ERR1308288:100030.623441	1	1
ERR1308288:1000380.614004	1	1
ERR1308288:1000390.675647	1	1
ERR1308288:1000840.611005	1	1
ERR1308288:1001240.663589	1	1
ERR1308288:1001610.645869	1	1
ERR1308288:1001750.612386	1	1
ERR1308288:1001920.689823	1	1
ERR1308288:1001980.632320	1	1
ERR1308288:1002510.611978	1	1
ERR1308288:100260.605258	1	1
ERR1308288:1002710.636908	1	1
ERR1308288:1003070.603815	1	1
ERR1308288:1003250.600252	1	1
ERR1308288:1003300.623349	1	1
ERR1308288:1003500.622040	1	1
ERR1308288:1003760.654702	1	1
ERR1308288:1003850.636497	1	1
ERR1308288:1003990.653172	1	1
ERR1308288:100420.619746	1	1
ERR1308288:1004360.649787	1	1
ERR1308288:1004410.624480	1	1
ERR1308288:1004430.661028	1	1
ERR1308288:1004520.649115	1	1
ERR1308288:1004680.608316	1	1
ERR1308288:1004720.658643	1	1
ERR1308288:100480.634681	1	1
ERR1308288:1004990.618529	1	1
ERR1308288:1005060.704294	1	1
ERR1308288:1005160.629850	1	1
ERR1308288:1005350.631005	1	1
ERR1308288:1005360.695658	1	1
ERR1308288:1005380.601469	1	1
ERR1308288:1005480.668549	1	1
ERR1308288:1005540.638606	1	1
ERR1308288:1005650.650096	1	1
ERR1308288:1005720.640955	1	1
ERR1308288:1005760.610281	1	1
ERR1308288:1005890.672620	1	1
ERR1308288:1005910.646421	1	1
ERR1308288:100600.672973	1	1
ERR1308288:1006060.697318	1	1
ERR1308288:1006070.638881	1	1
ERR1308288:1006080.678293	1	1
ERR1308288:1006160.604508	1	1
ERR1308288:1006170.613412	1	1
ERR1308288:1006340.605803	1	1
ERR1308288:1006440.623948	1	1
ERR1308288:1006650.615397	1	1
ERR1308288:1006730.631651	1	1
ERR1308288:1007010.621107	1	1
ERR1308288:1007500.613289	1	1
ERR1308288:1007530.603366	1	1
ERR1308288:1007590.602710	1	1
ERR1308288:1007600.637494	1	1
ERR1308288:1007670.609049	1	1
ERR1308288:1007750.607610	1	1
ERR1308288:100790.634814	1	1
ERR1308288:1008000.693494	1	1
ERR1308288:1008010.703410	1	1
ERR1308288:1008140.601818	1	1
ERR1308288:1008230.626972	1	1
ERR1308288:1008390.610210	1	1
ERR1308288:1008480.631219	1	1
ERR1308288:1008850.669071	1	1
ERR1308288:1008860.617869	1	1
ERR1308288:1008900.637864	1	1
ERR1308288:1008990.626362	1	1
ERR1308288:1009100.685329	1	1
ERR1308288:1009240.604202	1	1
ERR1308288:1009270.650272	1	1
ERR1308288:1009330.616072	1	1
ERR1308288:1009460.604447	1	1
ERR1308288:1009770.633756	1	1
ERR1308288:1009920.607114	1	1
ERR1308288:1010050.651502	1	1
ERR1308288:1010210.617163	1	1
ERR1308288:101050.606041	1	1
ERR1308288:101070.634316	1	1
ERR1308288:1010800.695561	1	1
ERR1308288:1010850.616120	1	1
ERR1308288:1011060.672885	1	1
ERR1308288:1011080.667986	1	1
ERR1308288:1011210.671586	1	1
ERR1308288:1011300.633671	1	1
ERR1308288:1011460.623689	1	1
ERR1308288:1011570.678082	1	1
ERR1308288:1011590.685432	1	1
ERR1308288:1011780.610135	1	1
ERR1308288:1011820.614520	1	1
ERR1308288:1011880.659262	1	1
ERR1308288:1011940.639366	1	1
ERR1308288:101200.660442	1	1
ERR1308288:1012040.632756	1	1
ERR1308288:1012220.650114	1	1
ERR1308288:1012230.658969	1	1
ERR1308288:1012350.701560	1	1
ERR1308288:1012380.636930	1	1
ERR1308288:1012430.733761	1	1
ERR1308288:1012450.639448	1	1
ERR1308288:1012520.640539	1	1
ERR1308288:1012550.656532	1	1
ERR1308288:1012590.631030	1	1
ERR1308288:1012600.643290	1	1
ERR1308288:1012610.620963	1	1
ERR1308288:1012650.627374	1	1
ERR1308288:1012660.623700	1	1
ERR1308288:1012730.630264	1	1
ERR1308288:1012830.629830	1	1
ERR1308288:1012880.620800	1	1
ERR1308288:1012910.620441	1	1
ERR1308288:101300.691450	1	1
ERR1308288:1013040.691111	1	1
ERR1308288:1013130.682160	1	1
ERR1308288:1013170.680338	1	1
ERR1308288:1013480.680299	1	1
ERR1308288:1013640.647898	1	1
ERR1308288:1013840.613965	1	1
ERR1308288:1014100.667276	1	1
ERR1308288:1014270.670790	1	1
ERR1308288:1014350.690237	1	1
ERR1308288:1014560.621652	1	1
ERR1308288:1014610.668976	1	1
ERR1308288:1014710.640800	1	1
ERR1308288:1014730.651556	1	1
ERR1308288:1014760.666817	1	1
ERR1308288:1014910.653601	1	1
ERR1308288:1015220.616852	1	1
ERR1308288:101540.645407	1	1
ERR1308288:1015460.730844	1	1
ERR1308288:1015480.674649	1	1
ERR1308288:101550.672582	1	1
ERR1308288:1015620.616094	1	1
ERR1308288:1015640.619079	1	1
ERR1308288:1015730.705990	1	1
ERR1308288:1015750.679658	1	1
ERR1308288:1015970.611111	1	1
ERR1308288:1016060.621054	1	1
ERR1308288:1016080.638591	1	1
ERR1308288:1016160.641928	1	1
ERR1308288:1016400.649855	1	1
ERR1308288:1016560.628807	1	1
ERR1308288:1016620.698278	1	1
ERR1308288:1016850.623916	1	1
ERR1308288:1016970.642378	1	1
ERR1308288:1017130.610487	1	1
ERR1308288:101720.632541	1	1
ERR1308288:1017540.606069	1	1
ERR1308288:1017550.651161	1	1
ERR1308288:1017560.623729	1	1
ERR1308288:1017930.686608	1	1
ERR1308288:1017960.656084	1	1
ERR1308288:1018160.619009	1	1
ERR1308288:1018250.643204	1	1
ERR1308288:1018520.630627	1	1
ERR1308288:1018630.716115	1	1
ERR1308288:1018720.656051	1	1
ERR1308288:1018830.604627	1	1
ERR1308288:1019280.624860	1	1
ERR1308288:1019300.613968	1	1
ERR1308288:101930.746014	1	1
ERR1308288:1019380.664558	1	1
ERR1308288:1019450.676969	1	1
ERR1308288:1019520.631793	1	1
ERR1308288:1019590.701335	1	1
ERR1308288:1019620.714069	1	1
ERR1308288:1019740.735150	1	1
ERR1308288:1019880.671504	1	1
ERR1308288:1019900.714571	1	1
ERR1308288:1020410.632678	1	1
ERR1308288:1020610.633272	1	1
ERR1308288:1020680.686730	1	1
ERR1308288:1020790.639745	1	1
ERR1308288:1020800.605484	1	1
ERR1308288:1020930.652288	1	1
ERR1308288:1021020.610057	1	1
ERR1308288:102110.639684	1	1
ERR1308288:1021110.604131	1	1
ERR1308288:1021390.636862	1	1
ERR1308288:1021430.683682	1	1
ERR1308288:1021460.687993	1	1
ERR1308288:1021710.685287	1	1
ERR1308288:1021770.740302	1	1
ERR1308288:102180.600052	1	1
ERR1308288:1021860.658334	1	1
ERR1308288:1021910.607945	1	1
ERR1308288:1021940.657617	1	1
ERR1308288:1022130.701133	1	1
ERR1308288:1022190.621110	1	1
ERR1308288:1022370.640500	1	1
ERR1308288:1022440.609052	1	1
ERR1308288:1022450.682643	1	1
ERR1308288:1022470.617530	1	1
ERR1308288:1022520.664156	1	1
ERR1308288:1022680.619523	1	1
ERR1308288:1022690.608948	1	1
ERR1308288:1022840.625076	1	1
ERR1308288:1023250.650890	1	1
ERR1308288:1023310.651070	1	1
ERR1308288:1023400.615962	1	1
ERR1308288:1023420.645819	1	1
ERR1308288:1023430.652910	1	1
ERR1308288:1023500.628779	1	1
ERR1308288:1023510.620437	1	1
ERR1308288:1023580.600797	1	1
ERR1308288:102370.638554	1	1
ERR1308288:1023770.608126	1	1
ERR1308288:1023780.655892	1	1
ERR1308288:1023810.729348	1	1
ERR1308288:1023880.633813	1	1
ERR1308288:1023930.684667	1	1
ERR1308288:102400.671802	1	1
ERR1308288:102410.614704	1	1
ERR1308288:1024110.702301	1	1
ERR1308288:1024280.650430	1	1
ERR1308288:1024300.614356	1	1
ERR1308288:1024340.664401	1	1
ERR1308288:1024650.620040	1	1
ERR1308288:1024660.640691	1	1
ERR1308288:1024750.659163	1	1
ERR1308288:1024820.673050	1	1
ERR1308288:1024890.612824	1	1
ERR1308288:1024910.655734	1	1
ERR1308288:1024920.623060	1	1
ERR1308288:1024970.653282	1	1
ERR1308288:102520.608786	1	1
ERR1308288:1025210.612547	1	1
ERR1308288:1025390.609985	1	1
ERR1308288:1025520.684125	1	1
ERR1308288:1025620.668450	1	1
ERR1308288:1025650.603186	1	1
ERR1308288:102580.607861	1	1
ERR1308288:1025870.697249	1	1
ERR1308288:1026150.617208	1	1
ERR1308288:1026410.700176	1	1
ERR1308288:1026430.650012	1	1
ERR1308288:1026470.604421	1	1
ERR1308288:1026500.612422	1	1
ERR1308288:1026510.716647	1	1
ERR1308288:1026560.611467	1	1
ERR1308288:1026590.617732	1	1
ERR1308288:102660.704689	1	1
ERR1308288:1026710.628067	1	1
ERR1308288:1026790.641232	1	1
ERR1308288:1026960.604240	1	1
