amplicon	linearized.dereplicate_ERR1308288.merged.fastq	total
ERR1308288:::100753:0:0:0:0.603366	1	1
ERR1308288:::100759:0:0:0:0.602710	1	1
ERR1308288:::100760:0:0:0:0.637494	1	1
ERR1308288:::100767:0:0:0:0.609049	1	1
ERR1308288:::100775:0:0:0:0.607610	1	1
ERR1308288:::10079:0:0:0:0.634814	1	1
ERR1308288:::100800:0:0:0:0.693494	1	1
ERR1308288:::100801:0:0:0:0.703410	1	1
ERR1308288:::100814:0:0:0:0.601818	1	1
ERR1308288:::100823:0:0:0:0.626972	1	1
ERR1308288:::100839:0:0:0:0.610210	1	1
ERR1308288:::100848:0:0:0:0.631219	1	1
ERR1308288:::100885:0:0:0:0.669071	1	1
ERR1308288:::100886:0:0:0:0.617869	1	1
ERR1308288:::100890:0:0:0:0.637864	1	1
ERR1308288:::100899:0:0:0:0.626362	1	1
ERR1308288:::100910:0:0:0:0.685329	1	1
ERR1308288:::100924:0:0:0:0.604202	1	1
ERR1308288:::100927:0:0:0:0.650272	1	1
ERR1308288:::100933:0:0:0:0.616072	1	1
ERR1308288:::100946:0:0:0:0.604447	1	1
ERR1308288:::100977:0:0:0:0.633756	1	1
ERR1308288:::100992:0:0:0:0.607114	1	1
ERR1308288:::101005:0:0:0:0.651502	1	1
ERR1308288:::101021:0:0:0:0.617163	1	1
ERR1308288:::10105:0:0:0:0.606041	1	1
ERR1308288:::10107:0:0:0:0.634316	1	1
ERR1308288:::101080:0:0:0:0.695561	1	1
ERR1308288:::101085:0:0:0:0.616120	1	1
ERR1308288:::101106:0:0:0:0.672885	1	1
ERR1308288:::101108:0:0:0:0.667986	1	1
ERR1308288:::101121:0:0:0:0.671586	1	1
ERR1308288:::101130:0:0:0:0.633671	1	1
ERR1308288:::101146:0:0:0:0.623689	1	1
ERR1308288:::101157:0:0:0:0.678082	1	1
ERR1308288:::101159:0:0:0:0.685432	1	1
ERR1308288:::101178:0:0:0:0.610135	1	1
ERR1308288:::101182:0:0:0:0.614520	1	1
ERR1308288:::101188:0:0:0:0.659262	1	1
ERR1308288:::101194:0:0:0:0.639366	1	1
ERR1308288:::10120:0:0:0:0.660442	1	1
ERR1308288:::101204:0:0:0:0.632756	1	1
ERR1308288:::101222:0:0:0:0.650114	1	1
ERR1308288:::101223:0:0:0:0.658969	1	1
ERR1308288:::101235:0:0:0:0.701560	1	1
ERR1308288:::101238:0:0:0:0.636930	1	1
ERR1308288:::101243:0:0:0:0.733761	1	1
ERR1308288:::101245:0:0:0:0.639448	1	1
ERR1308288:::101252:0:0:0:0.640539	1	1
ERR1308288:::101255:0:0:0:0.656532	1	1
ERR1308288:::101259:0:0:0:0.631030	1	1
ERR1308288:::101260:0:0:0:0.643290	1	1
ERR1308288:::101261:0:0:0:0.620963	1	1
ERR1308288:::101265:0:0:0:0.627374	1	1
ERR1308288:::101266:0:0:0:0.623700	1	1
ERR1308288:::101273:0:0:0:0.630264	1	1
ERR1308288:::101283:0:0:0:0.629830	1	1
ERR1308288:::101288:0:0:0:0.620800	1	1
ERR1308288:::101291:0:0:0:0.620441	1	1
ERR1308288:::10130:0:0:0:0.691450	1	1
ERR1308288:::101304:0:0:0:0.691111	1	1
ERR1308288:::101313:0:0:0:0.682160	1	1
ERR1308288:::101317:0:0:0:0.680338	1	1
ERR1308288:::101348:0:0:0:0.680299	1	1
ERR1308288:::101364:0:0:0:0.647898	1	1
ERR1308288:::101384:0:0:0:0.613965	1	1
ERR1308288:::101410:0:0:0:0.667276	1	1
ERR1308288:::101427:0:0:0:0.670790	1	1
ERR1308288:::101435:0:0:0:0.690237	1	1
ERR1308288:::101456:0:0:0:0.621652	1	1
ERR1308288:::101461:0:0:0:0.668976	1	1
ERR1308288:::101471:0:0:0:0.640800	1	1
ERR1308288:::101473:0:0:0:0.651556	1	1
ERR1308288:::101476:0:0:0:0.666817	1	1
