OTU	ERR1308288	classification
ERR1308288:1026510.716647	25	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes harrisoni
ERR1308288:1553450.679525	24	Eukaryota;Arthropoda;Arachnida;Araneae;Cybaeidae;Cybaeus;Cybaeus hesper
ERR1308288:1035950.694390	23	Eukaryota;Mollusca;Bivalvia;Veneroida;Galeommatidae;Galeomma;Galeomma turtoni
ERR1308288:1175690.640716	22	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Thermocyclops;Thermocyclops oithonoides
ERR1308288:1040320.678440	21	Eukaryota;Chordata;Amphibia;Gymnophiona;Dermophiidae;Schistometopum;Schistometopum thomense
ERR1308288:1200630.638994	21	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1123440.618901	20	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Serpula vermicularis
ERR1308288:113010.655283	20	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Neoterrabdella;Neoterrabdella australis
ERR1308288:1144210.607431	20	Eukaryota;Arthropoda;Insecta;Coleoptera;Silphidae;Ptomascopus;Ptomascopus morio
ERR1308288:1271170.670843	20	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis vadorum
ERR1308288:118620.620402	19	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis vadorum
ERR1308288:1199240.689302	19	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1511970.684582	19	Eukaryota;Mollusca;Bivalvia;Veneroida;Galeommatidae;Galeomma;Galeomma turtoni
ERR1308288:1049900.618547	18	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR1308288:1131820.690786	18	Eukaryota;Porifera;Demospongiae;Hadromerida;Hemiasterellidae;Axos;Axos cliftoni
ERR1308288:1049520.658035	16	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1308288:1065230.742512	16	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR1308288:1158090.624656	16	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Chloeia;Chloeia parva
ERR1308288:1257170.663117	16	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes jeffersoni
