OTU	amplicon	ERR1308288	total
225	ERR1308288:1072990.603413	1	1
226	ERR1308288:1073000.611258	1	1
227	ERR1308288:107310.684077	1	1
228	ERR1308288:1073200.641856	1	1
229	ERR1308288:1073720.657074	1	1
230	ERR1308288:1073780.671224	1	1
231	ERR1308288:1074420.601567	1	1
232	ERR1308288:1074480.635630	1	1
233	ERR1308288:1074500.610759	1	1
234	ERR1308288:1074690.716453	1	1
235	ERR1308288:1074770.619877	1	1
236	ERR1308288:1074960.637531	1	1
237	ERR1308288:1075610.636677	1	1
238	ERR1308288:1075650.636810	1	1
239	ERR1308288:1076210.628007	1	1
240	ERR1308288:1076250.651909	1	1
242	ERR1308288:1076410.649278	1	1
243	ERR1308288:1076660.613820	1	1
244	ERR1308288:1076930.636962	1	1
247	ERR1308288:1077250.639201	1	1
250	ERR1308288:1077660.617823	1	1
251	ERR1308288:1077790.661347	1	1
253	ERR1308288:1078570.640542	2	2
254	ERR1308288:1079030.679545	2	2
255	ERR1308288:1079090.655447	1	1
257	ERR1308288:1079480.640904	1	1
258	ERR1308288:1079510.630129	1	1
259	ERR1308288:1079610.617716	1	1
260	ERR1308288:1079780.617950	1	1
261	ERR1308288:1079850.608057	1	1
262	ERR1308288:1080550.609332	1	1
263	ERR1308288:1080700.605883	1	1
264	ERR1308288:1081460.600694	1	1
265	ERR1308288:1081730.617319	1	1
266	ERR1308288:108210.606037	1	1
267	ERR1308288:1082500.617479	1	1
268	ERR1308288:1082540.618804	1	1
269	ERR1308288:1082790.698493	1	1
270	ERR1308288:1083230.625236	1	1
271	ERR1308288:1083240.637603	1	1
272	ERR1308288:1083770.603127	1	1
273	ERR1308288:108390.609521	1	1
275	ERR1308288:1084280.656785	1	1
276	ERR1308288:108470.606773	1	1
278	ERR1308288:1086330.663599	1	1
279	ERR1308288:1086510.629112	1	1
280	ERR1308288:1086600.645212	1	1
281	ERR1308288:1086950.603395	1	1
282	ERR1308288:1087220.674022	1	1
283	ERR1308288:108740.640059	1	1
286	ERR1308288:108890.608298	1	1
287	ERR1308288:10890.617708	1	1
290	ERR1308288:1089930.632587	1	1
291	ERR1308288:1089980.608991	1	1
292	ERR1308288:10900.702438	1	1
293	ERR1308288:1090170.678983	1	1
295	ERR1308288:1090550.709223	1	1
296	ERR1308288:1092180.642177	1	1
297	ERR1308288:1093340.638272	1	1
298	ERR1308288:1094610.603932	1	1
299	ERR1308288:1094860.677081	1	1
300	ERR1308288:1094920.601321	1	1
301	ERR1308288:109530.604337	1	1
