OTU	ERR3460467	classification
Eukaryota;Arthropoda;Insecta;Siphonaptera;Ctenophthalmidae;Neopsylla;Neopsylla sellaris
ERR3460467:314370.617210	2512	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460467:2452090.676821	491	Eukaryota;Arthropoda;Arachnida;Opiliones;Cranaidae;Yania;Yania metatarsalis
ERR3460467:123030.611599	368	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum
ERR3460467:480070.612528	153	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea denselamellosa
ERR3460467:229680.604475	117	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Dorididae;Aldisa;Aldisa banyulensis
ERR3460467:1043170.606380	113	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea stentina
ERR3460467:1289910.660798	85	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Hemitriakis;Hemitriakis japanica
ERR3460467:1018750.604543	71	Eukaryota;Chordata;Aves;Bucerotiformes;Bucorvidae;Bucorvus;Bucorvus leadbeateri
ERR3460467:78500.631273	60	Eukaryota;Arthropoda;Arachnida;Scorpiones;Diplocentridae;Didymocentrus;Didymocentrus lesueurii
ERR3460467:1004480.602603	50	Eukaryota;Arthropoda;Insecta;Coleoptera;Lampyridae;Photinus;Photinus umbratus
ERR3460467:1016200.606541	34	Eukaryota;Chordata;Mammalia;Cetacea;Ziphiidae;Berardius;Berardius bairdii
ERR3460467:1011990.601062	28	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula stolonifera
ERR3460467:1175080.613050	28	Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus
ERR3460467:1003580.641248	26	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR3460467:1049530.606829	25	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Thermocyclops;Thermocyclops crassus
ERR3460467:1172350.601179	23	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR3460467:1024560.602064	20	Eukaryota;Porifera;Demospongiae;Halichondrida;Hymeniacidonidae;Hymeniacidon;Hymeniacidon sinapium
ERR3460467:1115350.628621	20	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460467:1135160.610266	20	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Lepraliellidae;Celleporaria;Celleporaria oculata
ERR3460467:12200.617203	19	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;Obelia dichotoma
ERR3460467:1109420.603442	18	Eukaryota;Chordata;Mammalia;Diprotodontia;Potoroidae;Hypsiprymnodon;Hypsiprymnodon moschatus
ERR3460467:1195560.611775	18	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460467:1085000.600909	16	Eukaryota;Chordata;Actinopteri;Characiformes;Gasteropelecidae;Carnegiella;Carnegiella strigata
ERR3460467:102500.616737	14	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botryllus;Botryllus schlosseri
ERR3460467:1404040.616709	14	Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;Bugula;Bugula neritina
ERR3460467:1079710.605968	13	Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus amphitrite
ERR3460467:1227480.604202	13	Eukaryota;Mollusca;Bivalvia;Pectinoida;Pectinidae;Talochlamys;Talochlamys multistriata
