	ERR3460467
Hymeniacidon_sinapium_	20	
Ascidiella_aspersa_	5	
Acartia_clausii_	4	
Hydrozoa_	6	
Campanularia_hincksii_	7	
Botryllus_schlosseri_	14	
Amphibalanus_amphitrite_	13	
Sabellaria_spinulosa_	2512	
Bugula_stolonifera_	28	
Ostreidae_	153	
Eukaryota_	4732	
Pinna_nobilis_	3	
Ostrea_stentina_	113	
Cassiopea_xamachana_	11	
Bugula_neritina_	14	
