OTU	amplicon	ERR3460467	total
212	ERR3460467:1795150.642354	1	1
213	ERR3460467:1799170.699121	1	1
215	ERR3460467:1811130.709311	1	1
216	ERR3460467:1811690.657445	2	2
218	ERR3460467:1812450.624850	1	1
219	ERR3460467:1813140.618562	1	1
220	ERR3460467:1820680.605813	1	1
222	ERR3460467:182760.623357	1	1
223	ERR3460467:1830980.609476	2	2
224	ERR3460467:183120.607093	1	1
225	ERR3460467:18320.604626	1	1
226	ERR3460467:18370.667299	1	1
227	ERR3460467:1851580.668052	1	1
228	ERR3460467:1863210.609831	1	1
229	ERR3460467:1865170.671719	1	1
230	ERR3460467:1867050.674358	1	1
231	ERR3460467:1867120.702858	1	1
232	ERR3460467:1868020.605320	1	1
233	ERR3460467:1869920.637604	1	1
234	ERR3460467:1874340.621224	1	1
235	ERR3460467:1882040.605963	1	1
236	ERR3460467:1883550.627010	1	1
237	ERR3460467:1886280.694335	1	1
238	ERR3460467:188710.613765	2	2
239	ERR3460467:1890300.690565	1	1
240	ERR3460467:1894150.618395	1	1
241	ERR3460467:1896300.632388	1	1
242	ERR3460467:1898630.606518	1	1
243	ERR3460467:1903760.620239	1	1
245	ERR3460467:1916250.604072	1	1
246	ERR3460467:1919010.604693	1	1
247	ERR3460467:1930370.606670	1	1
249	ERR3460467:1940970.623779	1	1
250	ERR3460467:1943010.622848	1	1
251	ERR3460467:1945840.674693	1	1
252	ERR3460467:196740.676189	1	1
253	ERR3460467:1985170.603208	2	2
254	ERR3460467:1987540.620689	2	2
255	ERR3460467:1992710.633099	1	1
257	ERR3460467:2009510.642317	1	1
258	ERR3460467:2012220.669473	1	1
260	ERR3460467:2022770.699717	1	1
261	ERR3460467:2036370.633682	1	1
262	ERR3460467:2039670.620838	1	1
263	ERR3460467:2055540.652022	1	1
264	ERR3460467:2056640.673566	1	1
265	ERR3460467:2074330.629924	1	1
266	ERR3460467:2075910.690499	1	1
267	ERR3460467:2078130.602228	1	1
268	ERR3460467:2078500.609379	1	1
269	ERR3460467:2083950.605775	1	1
270	ERR3460467:2089520.637495	1	1
271	ERR3460467:2104760.600929	1	1
272	ERR3460467:2110050.711326	1	1
273	ERR3460467:2132260.662504	1	1
274	ERR3460467:2133320.663314	1	1
275	ERR3460467:2141380.669282	2	2
276	ERR3460467:2143290.637879	1	1
277	ERR3460467:2162050.614957	1	1
278	ERR3460467:2163780.632636	1	1
279	ERR3460467:2171960.611506	1	1
280	ERR3460467:2174650.630236	1	1
281	ERR3460467:2180790.614539	1	1
282	ERR3460467:2181570.602273	1	1
284	ERR3460467:2203700.614467	1	1
285	ERR3460467:2212760.674804	1	1
286	ERR3460467:221480.626204	1	1
287	ERR3460467:2218520.612761	1	1
288	ERR3460467:222010.652741	1	1
289	ERR3460467:2229810.695955	1	1
290	ERR3460467:2233150.600628	1	1
291	ERR3460467:2234680.607554	1	1
292	ERR3460467:2235080.610309	1	1
293	ERR3460467:2240390.605255	1	1
295	ERR3460467:2257370.600203	1	1
297	ERR3460467:2275290.615448	1	1
298	ERR3460467:2278050.656963	1	1
299	ERR3460467:2278600.621841	1	1
300	ERR3460467:2279170.688412	1	1
301	ERR3460467:2285350.685051	1	1
302	ERR3460467:2292920.647454	1	1
303	ERR3460467:2295330.633067	1	1
304	ERR3460467:2298130.687916	1	1
