OTU	ERR0000001	classification
ota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:11560.637541	2198	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes verticalis
ERR1:205770.694229	717	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:129900.664098	586	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR1:183800.674611	497	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta aeroides (nomen nudum)
ERR1:147390.605079	458	Eukaryota;Arthropoda;Insecta;Diptera;Micropezidae;Hemichaeta;Hemichaeta scutellata
ERR1:18040.735926	356	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR1:102260.603228	325	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:305260.679332	324	Eukaryota;Annelida;Polychaeta;Terebellida;Ctenodrilidae;Ctenodrilus;Ctenodrilus serratus
ERR1:105000.611528	300	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Dicrotendipes;Dicrotendipes pulsus
ERR1:149630.660074	284	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR1:71470.619251	230	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR1:100060.605232	229	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR1:35500.642980	159	Eukaryota;Arthropoda;Insecta;Coleoptera;Cantharidae;Malthodes;Malthodes mysticus
ERR1:107600.642590	158	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:130350.648799	129	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Aesopia;Aesopia cornuta
ERR1:218420.602075	119	Eukaryota;Arthropoda;Insecta;Coleoptera;Buprestidae;Ectinogonia;Ectinogonia intermedia
ERR1:12800.726802	118	Eukaryota;Arthropoda;Insecta;Diptera;Micropezidae;Grallipeza;Grallipeza vicina
ERR1:148790.715256	106	Eukaryota;Arthropoda;Insecta;Coleoptera;Cantharidae;Malthodes;Malthodes mysticus
ERR1:102710.696044	105	Eukaryota;Arthropoda;Insecta;Diptera;Tabanidae;Hybomitra;Hybomitra astuta
ERR1:33720.698316	105	Eukaryota;Arthropoda;Insecta;Hemiptera;Aphelocheiridae;Aphelocheirus;Aphelocheirus ellipsoideus
ERR1:103430.685501	102	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Cricotopus;Cricotopus patens
ERR1:101740.700519	95	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:1050.675889	90	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Cricotopus;Cricotopus patens
ERR1:109580.722123	88	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Zaprionus;Zaprionus davidi
ERR1:18370.692124	84	Eukaryota;Chordata;Ascidiacea;Enterogona;Clavelinidae;Clavelina;Clavelina phlegraea
ERR1:126920.698594	79	Eukaryota;Arthropoda;Insecta;Diptera;Ptychopteridae;Bittacomorphella;Bittacomorphella fenderiana
ERR1:609300.661834	71	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Bruchidius;Bruchidius siliquastri
ERR1:8850.617202	69	Eukaryota;Arthropoda;Insecta;Coleoptera;Silphidae;Necrodes;Necrodes surinamensis
ERR1:230860.684778	63	Eukaryota;Arthropoda;Insecta;Diptera;Clusiidae;Clusiodes;Clusiodes johnsoni
ERR1:411300.707297	62	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;Agabus bicolor
ERR1:103720.684272	59	Eukaryota;Chordata;Actinopteri;Characiformes;Gasteropelecidae;Carnegiella;Carnegiella strigata
ERR1:249700.623124	55	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Chlorophanus;Chlorophanus sibiricus
ERR1:138860.649046	54	Eukaryota;Nematoda;Chromadorea;Rhabditida;Filaroididae;Parafilaroides;Parafilaroides normani
ERR1:110330.643743	50	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus telmaticus
ERR1:217910.645917	50	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:166740.614601	49	Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus othus
ERR1:104970.718827	41	Eukaryota;Platyhelminthes;Cestoda;Tetrabothriidea;Tetrabothriidae;Tetrabothrius;Tetrabothrius erostris
ERR1:106450.609653	39	Eukaryota;Chordata;Mammalia;Insectivora;Soricidae;Crocidura;Crocidura mindorus
ERR1:115490.697285	38	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza subaquilegiana
ERR1:45390.644240	38	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Metriocnemus;Metriocnemus beringiensis
ERR1:221210.677000	37	Eukaryota;Mollusca;Gastropoda;Bradybaenidae;Dolicheulota;Dolicheulota formosensis
ERR1:430120.683047	37	Eukaryota;Platyhelminthes;Monogenea;Gyrodactylidae;Paragyrodactylus;Paragyrodactylus variegatus
ERR1:103540.638122	36	Eukaryota;Annelida;Polychaeta;Terebellida;Ampharetidae;Auchenoplax;Auchenoplax crinita
ERR1:106500.622766	36	Eukaryota;Cnidaria;Anthozoa;Corallimorpharia;Corallimorphidae;Corallimorphus;Corallimorphus profundus
ERR1:249180.708654	34	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Haemaphysalis;Haemaphysalis parva
ERR1:11930.728760	33	Eukaryota;Arthropoda;Insecta;Archaeognatha;Machilidae;Songmachilis;Songmachilis xinxiangensis
ERR1:101430.666432	32	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus telmaticus
ERR1:115710.689414	32	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:448660.611047	32	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemopidae;Whitmania;Whitmania pigra
ERR1:108060.635582	31	Eukaryota;Chordata;Actinopteri;Gonorynchiformes;Kneriidae;Cromeria;Cromeria nilotica
ERR1:125790.734148	30	Eukaryota;Arthropoda;Insecta;Diptera;Acroceridae;Lasia;Lasia carbonanicus
ERR1:379010.707503	30	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza ceanothi
ERR1:106320.663420	28	Eukaryota;Chordata;Mammalia;Hippopotamidae;Hexaprotodon;Hexaprotodon liberiensis
ERR1:132250.611981	28	Eukaryota;Acanthocephala;Archiacanthocephala;Oligacanthorhynchida;Oligacanthorhynchidae;Macracanthorhynchus;Macracanthorhynchus hirudinaceus
ERR1:133900.634333	28	Eukaryota;Arthropoda;Insecta;Diptera;Ptychopteridae;Bittacomorphella;Bittacomorphella fenderiana
ERR1:163100.668715	28	Eukaryota;Arthropoda;Insecta;Embioptera;Australembiidae;Metoligotoma;Metoligotoma reducta
ERR1:189770.611775	28	Eukaryota;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Tongeia;Tongeia kala
ERR1:9760.665052	28	Eukaryota;Chordata;Amphibia;Caudata;Hynobiidae;Hynobius;Hynobius hidamontanus
ERR1:129120.639330	27	Eukaryota;Mollusca;Gastropoda;Camaenidae;Camaena;Camaena cicatricosa
ERR1:124090.615130	26	Eukaryota;Chordata;Squamata;Leptotyphlopidae;Rena;Rena humilis
ERR1:34740.657435	26	Eukaryota;Porifera;Demospongiae;Dictyoceratida;Spongiidae;Hippospongia;Hippospongia lachne
ERR1:15520.654652	25	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
ERR1:109130.728437	24	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR1:127200.645767	24	Eukaryota;Chordata;Actinopteri;Gonorynchiformes;Gonorynchidae;Gonorynchus;Gonorynchus abbreviatus
ERR1:128880.719267	24	Eukaryota;Chordata;Aves;Strigiformes;Tytonidae;Phodilus;Phodilus badius
ERR1:101820.701260	23	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:110800.713776	22	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus fusciceps
ERR1:115010.641531	20	Eukaryota;Chordata;Actinopteri;Gobiiformes;Schindleriidae;Schindleria;Schindleria pietschmanni
ERR1:190320.653425	20	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Ischionoplus;Ischionoplus niveoguttatus
ERR1:109010.679961	19	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
ERR1:110040.706775	19	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR1:127810.717487	19	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:163730.607269	19	Eukaryota;Chordata;Squamata;Dipsadidae;Thermophis;Thermophis zhaoermii
ERR1:118400.616979	18	Eukaryota;Arthropoda;Insecta;Diptera;Trichoceridae;Trichocera;Trichocera bimacula
ERR1:141100.649384	18	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Apanteles;Apanteles mohandasi
ERR1:145770.699068	18	Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Calicophoron;Calicophoron microbothrioides
ERR1:152990.683640	18	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus pudendotectus
ERR1:156790.605585	18	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:158820.606564	18	Eukaryota;Arthropoda;Malacostraca;Decapoda;Gecarcinucidae;Travancoriana;Travancoriana schirnerae
ERR1:185020.605776	18	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza minuscula
ERR1:135250.735848	17	Eukaryota;Arthropoda;Malacostraca;Decapoda;Portunidae;Charybdis;Charybdis hongkongensis
ERR1:155640.662853	17	Eukaryota;Arthropoda;Insecta;Mantodea;Mantidae;Hierodulella;Hierodulella reticulata
ERR1:198650.624690	17	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:224320.667490	17	Eukaryota;Arthropoda;Malacostraca;Decapoda;Varunidae;Cyclograpsus;Cyclograpsus granulosus
ERR1:100380.707271	16	Eukaryota;Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Heterarthrus;Heterarthrus aceris
ERR1:132920.624512	16	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:17880.680533	16	Eukaryota;Arthropoda;Maxillopoda;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops belgicus
ERR1:102130.617707	15	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila guaru
ERR1:108140.655793	15	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:108870.628596	15	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Gobiobotia;Gobiobotia intermedia
ERR1:126420.706499	15	Eukaryota;Chordata;Mammalia;Rodentia;Bathyergidae;Fukomys;Fukomys damarensis
ERR1:146540.696850	15	Eukaryota;Chordata;Amphibia;Anura;Arthroleptidae;Leptopelis;Leptopelis vermiculatus
ERR1:159010.707210	15	Eukaryota;Porifera;Demospongiae;Dictyoceratida;Spongiidae;Hyattella;Hyattella sinuosa
ERR1:159820.642290	15	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Complexum;Complexum pusillum
ERR1:165300.628461	15	Eukaryota;Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Astrophyton;Astrophyton muricatum
ERR1:120220.634522	14	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes acaciestes
ERR1:127280.626141	14	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Zaprionus;Zaprionus davidi
ERR1:167630.634360	14	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus fusciceps
ERR1:138040.688720	13	Eukaryota;Arthropoda;Insecta;Orthoptera;Tetrigidae;Alulatettix;Alulatettix yunnanensis
