OTU	amplicon	ERR0000001	total
306	ERR1:117540.603632	1	1
308	ERR1:117690.659203	1	1
309	ERR1:117770.632704	1	1
310	ERR1:117880.637846	1	1
311	ERR1:117920.640643	1	1
313	ERR1:118040.663082	1	1
314	ERR1:118320.632091	1	1
315	ERR1:118390.616375	1	1
319	ERR1:118610.622508	1	1
320	ERR1:118630.659864	1	1
321	ERR1:118760.688809	1	1
323	ERR1:118810.625806	1	1
324	ERR1:118850.673962	2	2
325	ERR1:11890.626693	1	1
326	ERR1:118910.678507	1	1
327	ERR1:118960.624174	1	1
328	ERR1:118990.608262	1	1
330	ERR1:119040.637181	1	1
331	ERR1:11910.631630	1	1
332	ERR1:119100.660507	1	1
335	ERR1:119430.659655	1	1
336	ERR1:119480.613534	1	1
337	ERR1:119530.600326	1	1
339	ERR1:119750.678828	1	1
340	ERR1:119790.672000	1	1
341	ERR1:119870.617757	1	1
343	ERR1:120000.644717	1	1
344	ERR1:120060.647375	2	2
347	ERR1:120230.633003	1	1
348	ERR1:120410.625698	1	1
349	ERR1:120420.627553	2	2
350	ERR1:120460.624321	1	1
351	ERR1:120590.694973	1	1
352	ERR1:12060.612474	1	1
353	ERR1:120600.682782	1	1
354	ERR1:120710.670450	1	1
355	ERR1:120720.645048	1	1
356	ERR1:120800.685911	1	1
357	ERR1:120820.650228	1	1
358	ERR1:120870.660403	1	1
359	ERR1:120900.642736	1	1
361	ERR1:121080.687668	1	1
362	ERR1:121200.615367	1	1
363	ERR1:121270.661632	2	2
364	ERR1:121350.651785	1	1
365	ERR1:121400.614300	1	1
366	ERR1:121520.666157	1	1
367	ERR1:121610.643499	1	1
368	ERR1:121660.644324	2	2
369	ERR1:12170.682273	1	1
371	ERR1:121780.714545	1	1
372	ERR1:121840.622395	1	1
373	ERR1:121960.624665	1	1
374	ERR1:1220.623611	1	1
375	ERR1:122050.713402	1	1
376	ERR1:122120.635205	1	1
378	ERR1:122170.704928	1	1
380	ERR1:122200.689952	1	1
381	ERR1:122380.660069	2	2
382	ERR1:12240.663702	1	1
383	ERR1:122410.673585	1	1
386	ERR1:122650.707876	1	1
387	ERR1:122710.634087	1	1
388	ERR1:122770.640345	1	1
389	ERR1:122980.662359	1	1
390	ERR1:122990.682521	1	1
392	ERR1:123250.687964	1	1
393	ERR1:123350.683737	1	1
394	ERR1:123440.656693	2	2
395	ERR1:123450.726290	1	1
396	ERR1:123730.713630	2	2
397	ERR1:123780.617574	1	1
398	ERR1:123830.614692	2	2
400	ERR1:123990.669150	2	2
401	ERR1:124000.641742	2	2
402	ERR1:124010.668250	2	2
403	ERR1:124080.704455	2	2
405	ERR1:124110.663437	1	1
406	ERR1:124160.703736	1	1
407	ERR1:124170.647526	2	2
408	ERR1:124190.635660	1	1
409	ERR1:124250.660151	1	1
410	ERR1:124380.718816	1	1
411	ERR1:12450.643706	1	1
413	ERR1:124540.661040	1	1
414	ERR1:124620.707282	1	1
415	ERR1:124730.662988	1	1
416	ERR1:124810.608700	1	1
417	ERR1:124920.736028	1	1
418	ERR1:12520.622826	1	1
420	ERR1:12530.736477	1	1
422	ERR1:125560.602037	1	1
423	ERR1:125600.708363	1	1
424	ERR1:125690.614011	1	1
425	ERR1:125740.688768	1	1
427	ERR1:12590.666399	1	1
428	ERR1:125930.607953	1	1
429	ERR1:126040.600407	1	1
430	ERR1:126090.608434	1	1
431	ERR1:12610.721130	1	1
432	ERR1:126150.631154	1	1
433	ERR1:126170.614334	1	1
434	ERR1:126340.614127	1	1
435	ERR1:126390.644855	1	1
437	ERR1:126410.711531	1	1
439	ERR1:126440.604697	1	1
442	ERR1:126540.636360	2	2
443	ERR1:126680.683396	1	1
444	ERR1:126790.660186	2	2
446	ERR1:126930.651518	1	1
