amplicon	linearized.dereplicate_ERR0000001.merged.fastq	total
ERR1:::6192:0:0:0:0.734377	14	14
ERR1:::1553:0:0:0:0.727871	13	13
ERR1:::4204:0:0:0:0.719959	13	13
ERR1:::4898:0:0:0:0.738870	12	12
ERR1:::6137:0:0:0:0.729744	12	12
ERR1:::4849:0:0:0:0.689855	11	11
ERR1:::14368:0:0:0:0.718507	10	10
ERR1:::14752:0:0:0:0.723206	10	10
ERR1:::6284:0:0:0:0.721632	10	10
ERR1:::5298:0:0:0:0.743114	9	9
ERR1:::10223:0:0:0:0.640011	8	8
ERR1:::11230:0:0:0:0.714138	8	8
ERR1:::21285:0:0:0:0.731823	8	8
ERR1:::2897:0:0:0:0.722211	8	8
ERR1:::4710:0:0:0:0.683955	8	8
ERR1:::8307:0:0:0:0.708974	8	8
ERR1:::10452:0:0:0:0.727679	7	7
ERR1:::1447:0:0:0:0.720447	7	7
ERR1:::15523:0:0:0:0.697690	7	7
ERR1:::21287:0:0:0:0.666006	7	7
ERR1:::2735:0:0:0:0.696321	7	7
ERR1:::3566:0:0:0:0.728759	7	7
ERR1:::4712:0:0:0:0.734715	7	7
ERR1:::5413:0:0:0:0.731062	7	7
ERR1:::8081:0:0:0:0.727426	7	7
ERR1:::8998:0:0:0:0.701119	7	7
ERR1:::9375:0:0:0:0.714693	7	7
ERR1:::11477:0:0:0:0.723638	6	6
ERR1:::13832:0:0:0:0.696064	6	6
ERR1:::1838:0:0:0:0.720856	6	6
ERR1:::1927:0:0:0:0.719143	6	6
ERR1:::19691:0:0:0:0.730990	6	6
ERR1:::27605:0:0:0:0.733228	6	6
ERR1:::284:0:0:0:0.726618	6	6
ERR1:::3579:0:0:0:0.727978	6	6
ERR1:::469:0:0:0:0.737172	6	6
ERR1:::5744:0:0:0:0.723428	6	6
ERR1:::6161:0:0:0:0.723280	6	6
ERR1:::7203:0:0:0:0.728803	6	6
ERR1:::8584:0:0:0:0.731637	6	6
ERR1:::8692:0:0:0:0.713646	6	6
ERR1:::9370:0:0:0:0.745573	6	6
ERR1:::1058:0:0:0:0.722659	5	5
ERR1:::1156:0:0:0:0.637541	5	5
ERR1:::11917:0:0:0:0.726914	5	5
ERR1:::12091:0:0:0:0.743309	5	5
ERR1:::12195:0:0:0:0.716292	5	5
ERR1:::15879:0:0:0:0.713537	5	5
ERR1:::16283:0:0:0:0.706460	5	5
ERR1:::17557:0:0:0:0.713430	5	5
ERR1:::1805:0:0:0:0.693979	5	5
ERR1:::18301:0:0:0:0.732729	5	5
