OTU	SRR1808872	classification
SRR11808872:2825480.603212	134	Eukaryota;Annelida;Haplotaxida;Megascolecidae;Amynthas;Amynthas heterochaetus
SRR11808872:800600.645635	133	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:2786150.623920	127	Eukaryota;Annelida;Haplotaxida;Enchytraeidae;Enchytronia;Enchytronia parva
SRR11808872:2139900.643388	125	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Malandena;Malandena suturalis
SRR11808872:1154980.607338	124	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:4992360.618538	114	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Arachnura;Arachnura scorpionoides
SRR11808872:872720.626707	114	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis
SRR11808872:2783700.610817	113	Eukaryota;Arthropoda;Insecta;Orthoptera;Gryllidae;Agnotecous;Agnotecous pinsula
SRR11808872:2616450.635442	112	Eukaryota;Arthropoda;Arachnida;Trombiculidae;Leptotrombidium;Leptotrombidium akamushi
SRR11808872:2178870.607987	110	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella carmela
SRR11808872:6253330.610241	108	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides infamatus
SRR11808872:10060.611141	106	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Sarsia;Sarsia princeps
SRR11808872:1002720.628450	103	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Fazia;Fazia strigifacies
SRR11808872:1014070.604169	101	Eukaryota;Arthropoda;Insecta;Neuroptera;Rapismatidae;Rapisma;Rapisma xizangense
SRR11808872:2297540.621021	101	Eukaryota;Annelida;Polychaeta;Eunicida;Onuphidae;Paradiopatra;Paradiopatra quadricuspis
SRR11808872:1056280.637538	99	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
SRR11808872:142450.605975	98	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Phortica;Phortica angulata
SRR11808872:1362760.604585	97	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta encaustica (nomen nudum)
SRR11808872:4982540.604597	97	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Ypthima;Ypthima akragas
