OTU	amplicon	SRR1808872	total
34	SRR11808872:1181730.619067	2	2
68	SRR11808872:2461840.628716	2	2
95	SRR11808872:4003080.630165	2	2
114	SRR11808872:841080.626836	2	2
123	SRR11808872:1000310.604860	2	2
127	SRR11808872:1001270.638391	1	1
128	SRR11808872:1001300.615570	2	2
132	SRR11808872:1002260.668679	1	1
138	SRR11808872:1003560.619838	1	1
141	SRR11808872:1004900.635024	1	1
147	SRR11808872:1005560.656876	1	1
148	SRR11808872:1005600.638118	1	1
162	SRR11808872:1012030.603398	1	1
171	SRR11808872:1014410.623512	2	2
174	SRR11808872:1015630.612605	1	1
176	SRR11808872:1016350.612986	1	1
194	SRR11808872:1019560.629079	2	2
195	SRR11808872:1019660.643378	1	1
199	SRR11808872:1020310.662056	1	1
203	SRR11808872:1020870.632919	2	2
204	SRR11808872:1021360.630382	1	1
206	SRR11808872:1021580.651085	1	1
211	SRR11808872:1024210.603346	1	1
212	SRR11808872:1024520.620976	1	1
215	SRR11808872:1026280.604980	1	1
216	SRR11808872:1027950.604459	2	2
217	SRR11808872:1028050.624276	1	1
218	SRR11808872:1028530.605450	2	2
222	SRR11808872:1030540.602353	1	1
224	SRR11808872:1031800.635083	2	2
225	SRR11808872:1031830.605694	1	1
228	SRR11808872:1033210.608869	1	1
229	SRR11808872:1033750.602428	1	1
231	SRR11808872:1034080.604979	1	1
232	SRR11808872:1034150.692894	1	1
237	SRR11808872:1036760.646591	1	1
238	SRR11808872:1036770.620007	1	1
239	SRR11808872:1036790.610526	1	1
241	SRR11808872:1038700.612179	2	2
242	SRR11808872:1039590.603084	1	1
246	SRR11808872:1041730.631881	1	1
247	SRR11808872:1042300.604055	2	2
252	SRR11808872:1043720.614024	1	1
257	SRR11808872:1044780.630305	1	1
260	SRR11808872:1044940.637354	1	1
261	SRR11808872:1045010.619289	2	2
262	SRR11808872:1045380.624527	1	1
263	SRR11808872:1045710.622413	1	1
266	SRR11808872:1046010.622076	1	1
267	SRR11808872:1046210.608342	2	2
272	SRR11808872:1046860.604886	1	1
274	SRR11808872:1047990.609161	1	1
276	SRR11808872:1048080.602633	2	2
279	SRR11808872:1049420.625596	1	1
284	SRR11808872:1050380.621106	1	1
286	SRR11808872:1050730.615776	1	1
288	SRR11808872:1052760.628348	1	1
291	SRR11808872:1054700.608539	1	1
292	SRR11808872:1056150.672894	1	1
293	SRR11808872:1056270.616306	2	2
295	SRR11808872:105640.631274	1	1
296	SRR11808872:1056480.632169	1	1
298	SRR11808872:1057000.620446	2	2
301	SRR11808872:1058400.604479	1	1
