amplicon	linearized.dereplicate_ERR0000001.merged.fastq	total
ERR1:::29026:0:0:0:0.649791	7	7
ERR1:::104759:0:0:0:0.671337	5	5
ERR1:::111217:0:0:0:0.716735	5	5
ERR1:::12028:0:0:0:0.615274	5	5
ERR1:::130191:0:0:0:0.611017	5	5
ERR1:::14346:0:0:0:0.643927	5	5
ERR1:::22210:0:0:0:0.608628	5	5
ERR1:::27423:0:0:0:0.668734	5	5
ERR1:::35950:0:0:0:0.651330	5	5
ERR1:::44548:0:0:0:0.655701	5	5
ERR1:::45925:0:0:0:0.678521	5	5
ERR1:::64718:0:0:0:0.651086	5	5
ERR1:::102035:0:0:0:0.676064	4	4
ERR1:::11634:0:0:0:0.627840	4	4
ERR1:::119939:0:0:0:0.642146	4	4
ERR1:::17867:0:0:0:0.692668	4	4
ERR1:::19730:0:0:0:0.642644	4	4
ERR1:::25435:0:0:0:0.672000	4	4
ERR1:::30992:0:0:0:0.661017	4	4
ERR1:::34056:0:0:0:0.663836	4	4
ERR1:::42076:0:0:0:0.634498	4	4
ERR1:::43061:0:0:0:0.670394	4	4
ERR1:::46945:0:0:0:0.645614	4	4
ERR1:::47767:0:0:0:0.697487	4	4
ERR1:::53901:0:0:0:0.699216	4	4
ERR1:::54249:0:0:0:0.676690	4	4
ERR1:::61543:0:0:0:0.644314	4	4
ERR1:::6766:0:0:0:0.640438	4	4
ERR1:::9991:0:0:0:0.702908	4	4
ERR1:::100952:0:0:0:0.634696	3	3
ERR1:::102621:0:0:0:0.666849	3	3
ERR1:::103516:0:0:0:0.690434	3	3
ERR1:::10571:0:0:0:0.693788	3	3
ERR1:::10759:0:0:0:0.672536	3	3
ERR1:::10876:0:0:0:0.701423	3	3
ERR1:::109798:0:0:0:0.604321	3	3
ERR1:::110089:0:0:0:0.670113	3	3
ERR1:::110349:0:0:0:0.645916	3	3
ERR1:::112881:0:0:0:0.620312	3	3
ERR1:::11783:0:0:0:0.613730	3	3
ERR1:::124394:0:0:0:0.670940	3	3
ERR1:::124662:0:0:0:0.637623	3	3
ERR1:::125720:0:0:0:0.671394	3	3
ERR1:::13656:0:0:0:0.613807	3	3
ERR1:::137038:0:0:0:0.644831	3	3
ERR1:::137915:0:0:0:0.716094	3	3
ERR1:::14086:0:0:0:0.660463	3	3
ERR1:::14323:0:0:0:0.684345	3	3
ERR1:::143284:0:0:0:0.650659	3	3
ERR1:::144003:0:0:0:0.632931	3	3
ERR1:::147338:0:0:0:0.661414	3	3
ERR1:::148859:0:0:0:0.722554	3	3
ERR1:::150290:0:0:0:0.676975	3	3
ERR1:::15332:0:0:0:0.675560	3	3
ERR1:::158070:0:0:0:0.619037	3	3
ERR1:::158235:0:0:0:0.711882	3	3
ERR1:::16026:0:0:0:0.673828	3	3
ERR1:::16104:0:0:0:0.645938	3	3
ERR1:::161892:0:0:0:0.702036	3	3
ERR1:::17214:0:0:0:0.620844	3	3
ERR1:::173751:0:0:0:0.622761	3	3
ERR1:::17786:0:0:0:0.650049	3	3
ERR1:::179627:0:0:0:0.673217	3	3
ERR1:::1827:0:0:0:0.632514	3	3
ERR1:::184361:0:0:0:0.617933	3	3
ERR1:::198657:0:0:0:0.641893	3	3
ERR1:::20076:0:0:0:0.652001	3	3
ERR1:::20257:0:0:0:0.611980	3	3
ERR1:::206454:0:0:0:0.635350	3	3
ERR1:::21252:0:0:0:0.636323	3	3
ERR1:::21991:0:0:0:0.696791	3	3
ERR1:::22011:0:0:0:0.653418	3	3
ERR1:::22442:0:0:0:0.604628	3	3
ERR1:::22937:0:0:0:0.607047	3	3
ERR1:::25292:0:0:0:0.634382	3	3
ERR1:::25399:0:0:0:0.634538	3	3
ERR1:::27090:0:0:0:0.667548	3	3
ERR1:::27284:0:0:0:0.606979	3	3
ERR1:::27957:0:0:0:0.653370	3	3
ERR1:::28588:0:0:0:0.653797	3	3
ERR1:::28600:0:0:0:0.607025	3	3
ERR1:::29964:0:0:0:0.628657	3	3
ERR1:::30024:0:0:0:0.639129	3	3
ERR1:::30176:0:0:0:0.634896	3	3
ERR1:::30326:0:0:0:0.671885	3	3
ERR1:::33163:0:0:0:0.621275	3	3
ERR1:::33850:0:0:0:0.611727	3	3
ERR1:::34094:0:0:0:0.690283	3	3
ERR1:::34313:0:0:0:0.643251	3	3
ERR1:::34628:0:0:0:0.602734	3	3
ERR1:::35439:0:0:0:0.633122	3	3
ERR1:::36217:0:0:0:0.649344	3	3
ERR1:::38222:0:0:0:0.625823	3	3
ERR1:::38770:0:0:0:0.657333	3	3
ERR1:::38966:0:0:0:0.602862	3	3
ERR1:::39104:0:0:0:0.700367	3	3
ERR1:::40157:0:0:0:0.672536	3	3
ERR1:::40925:0:0:0:0.629105	3	3
ERR1:::41166:0:0:0:0.652818	3	3
ERR1:::42847:0:0:0:0.606221	3	3
ERR1:::44561:0:0:0:0.604256	3	3
ERR1:::46892:0:0:0:0.716582	3	3
ERR1:::47644:0:0:0:0.702409	3	3
ERR1:::51046:0:0:0:0.668012	3	3
ERR1:::51844:0:0:0:0.616106	3	3
ERR1:::52062:0:0:0:0.672557	3	3
ERR1:::53229:0:0:0:0.623228	3	3
ERR1:::53354:0:0:0:0.700882	3	3
ERR1:::54679:0:0:0:0.604990	3	3
ERR1:::54981:0:0:0:0.671651	3	3
ERR1:::55089:0:0:0:0.672944	3	3
ERR1:::55195:0:0:0:0.664362	3	3
ERR1:::55694:0:0:0:0.656658	3	3
ERR1:::55787:0:0:0:0.644927	3	3
ERR1:::55911:0:0:0:0.721512	3	3
ERR1:::58201:0:0:0:0.643774	3	3
ERR1:::58655:0:0:0:0.675902	3	3
ERR1:::61163:0:0:0:0.642955	3	3
ERR1:::61848:0:0:0:0.624113	3	3
ERR1:::64039:0:0:0:0.694441	3	3
ERR1:::6597:0:0:0:0.621214	3	3
ERR1:::66769:0:0:0:0.655633	3	3
ERR1:::66934:0:0:0:0.606994	3	3
ERR1:::67410:0:0:0:0.616996	3	3
ERR1:::6775:0:0:0:0.679364	3	3
ERR1:::70289:0:0:0:0.624328	3	3
ERR1:::70593:0:0:0:0.622029	3	3
ERR1:::71139:0:0:0:0.644260	3	3
ERR1:::71406:0:0:0:0.676337	3	3
ERR1:::71911:0:0:0:0.611235	3	3
ERR1:::73530:0:0:0:0.660573	3	3
ERR1:::7525:0:0:0:0.624759	3	3
ERR1:::7536:0:0:0:0.698805	3	3
ERR1:::763:0:0:0:0.645370	3	3
ERR1:::77128:0:0:0:0.678999	3	3
ERR1:::78865:0:0:0:0.678168	3	3
ERR1:::79238:0:0:0:0.639805	3	3
ERR1:::83987:0:0:0:0.680752	3	3
ERR1:::86049:0:0:0:0.664051	3	3
ERR1:::89121:0:0:0:0.604942	3	3
