OTU	ERR0000001	classification
yota;Arthropoda;Insecta;Isoptera;Termitidae;Silvestritermes;Silvestritermes holmgreni
ERR1:290260.649791	1895	Eukaryota;Chordata;Aves;Coraciiformes;Cerylidae;Ceryle;Ceryle rudis
ERR1:1047590.671337	1151	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Orthocladius;Orthocladius fuscimanus
ERR1:539010.699216	815	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR1:274230.668734	703	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Crossorhombus;Crossorhombus kobensis
ERR1:1205960.666770	575	Eukaryota;Chordata;Actinopteri;Beryciformes;Cetomimidae;Danacetichthys;Danacetichthys galathenus
ERR1:1041440.720060	574	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Tergipedidae;Cuthona;Cuthona ocellata
ERR1:1580700.619037	551	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;Acrossocheilus barbodon
ERR1:161040.645938	551	Eukaryota;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;Pristimantis thymelensis
ERR1:1006170.609777	441	Eukaryota;Nematoda;Chromadorea;Rhabditida;Metastrongylidae;Metastrongylus;Metastrongylus salmi
ERR1:1214980.613373	424	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1440030.632931	404	Eukaryota;Arthropoda;Arachnida;Araneae;Plectreuridae;Plectreurys;Plectreurys deserta
ERR1:1020520.685213	403	Eukaryota;Arthropoda;Insecta;Diptera;Mycetophilidae;Allodia;Allodia lugens
ERR1:202570.611980	388	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Cricotopus;Cricotopus trifascia
ERR1:118720.698302	371	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Ceratina;Ceratina braunsi
ERR1:1435270.649087	366	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;Phoxinus phoxinus
ERR1:92200.635934	319	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:1257200.671394	316	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Pocillopora;Pocillopora eydouxi
ERR1:714060.676337	307	Eukaryota;Annelida;Haplotaxida;Naididae;Nais;Nais alpina
ERR1:1355230.640793	297	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides flavopictus
ERR1:1212890.621170	292	Eukaryota;Chordata;Amphibia;Gymnophiona;Caeciliidae;Oscaecilia;Oscaecilia ochrocephala
ERR1:148180.671804	275	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila cauverii
ERR1:258400.612035	265	Eukaryota;Mollusca;Bivalvia;Limoida;Limidae;Limaria;Limaria hirasei
ERR1:1833960.634230	264	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1333920.625451	248	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Fungiacyathidae;Fungiacyathus;Fungiacyathus stephanus
ERR1:1117300.655728	246	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Aiptasiidae;Aiptasia;Aiptasia pulchella
ERR1:1023120.694186	239	Eukaryota;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis dolichura
ERR1:1246620.637623	237	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Pantachogon;Pantachogon haeckeli
ERR1:1021340.642065	232	Eukaryota;Annelida;Polychaeta;Terebellida;Pectinariidae;Pectinaria;Pectinaria granulata
ERR1:1348890.721507	231	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Discodorididae;Discodoris;Discodoris confusa
ERR1:1007680.654433	221	Eukaryota;Chordata;Mammalia;Lagomorpha;Ochotonidae;Ochotona;Ochotona collaris
ERR1:1741140.698219	221	Eukaryota;Mollusca;Bivalvia;Lucinoida;Lucinidae;Lucinella;Lucinella divaricata
ERR1:1418100.617068	213	Eukaryota;Arthropoda;Arachnida;Astigmata;Psoroptoididae;Pandalura;Pandalura strigisoti
ERR1:1370350.625840	207	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Oxuderces;Oxuderces dentatus
ERR1:159360.626731	186	Eukaryota;Chordata;Aves;Galliformes;Cracidae;Mitu;Mitu mitu
ERR1:157650.658110	185	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1:1103210.666147	182	Eukaryota;Chordata;Mammalia;Rodentia;Dipodidae;Jaculus;Jaculus jaculus
ERR1:266670.693132	179	Eukaryota;Annelida;Haplotaxida;Naididae;Chaetogaster;Chaetogaster diastrophus
ERR1:1079290.632812	162	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila soonae
ERR1:674540.629475	162	Eukaryota;Chordata;Squamata;Viperidae;Protobothrops;Protobothrops maolanensis
ERR1:308410.637305	155	Eukaryota;Chordata;Actinopteri;Siluriformes;Doradidae;Amblydoras;Amblydoras gonzalezi
ERR1:460760.631516	154	Eukaryota;Arthropoda;Insecta;Orthoptera;Acrididae;Lithidiopsis;Lithidiopsis carinatus
ERR1:769680.628444	152	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta decora (nomen nudum)
ERR1:1950530.623961	151	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1004880.644821	150	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Sarcophyton;Sarcophyton tumulosum
ERR1:1015060.657987	145	Eukaryota;Hemichordata;Pterobranchia;Rhabdopleurida;Rhabdopleuridae;Rhabdopleura;Rhabdopleura compacta
ERR1:1017870.606574	140	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Microthrissa;Microthrissa congica
ERR1:1033660.686775	139	Eukaryota;Gastrotricha;Macrodasyida;Thaumastodermatidae;Tetranchyroderma;Tetranchyroderma quadritentaculatum
ERR1:1574660.609985	139	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR1:2149240.684064	139	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR1:1045530.697376	138	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa fuscifrons
ERR1:1012150.656071	135	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Crossorhombus;Crossorhombus kobensis
ERR1:1067170.604214	133	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartia;Sagartia ornata
ERR1:1839320.683782	133	Eukaryota;Annelida;Hirudinida;Arhynchobdellida;Haemadipsidae;Neoterrabdella;Neoterrabdella australis
ERR1:1208390.723854	132	Eukaryota;Cnidaria;Anthozoa;Antipatharia;Antipathidae;Stichopathes;Stichopathes lutkeni
ERR1:1108450.664514	131	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR1:215420.627561	131	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
ERR1:1007970.671981	130	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides noxius
ERR1:1011760.683287	127	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche siltalai
