amplicon	ERR0000001	total
ERR1:1112000.711615	2	2
ERR1:1113900.617126	2	2
ERR1:1115200.696042	2	2
ERR1:1116800.628522	2	2
ERR1:1117300.655728	2	2
ERR1:1118200.662664	2	2
ERR1:1118590.602496	2	2
ERR1:1122180.616882	2	2
ERR1:113400.690235	2	2
ERR1:1134270.704154	2	2
ERR1:1134400.641085	2	2
ERR1:1134410.674485	2	2
ERR1:1134500.615919	2	2
ERR1:1134800.617494	2	2
ERR1:1140810.670697	2	2
ERR1:114100.663674	2	2
ERR1:114150.615145	2	2
ERR1:1152620.655637	2	2
ERR1:1155520.670358	2	2
ERR1:115790.659137	2	2
ERR1:1161090.669732	2	2
ERR1:116670.675346	2	2
ERR1:1174470.637155	2	2
ERR1:1175890.609200	2	2
ERR1:117880.671689	2	2
ERR1:1179280.625229	2	2
ERR1:118720.698302	2	2
ERR1:1193850.654319	2	2
ERR1:1195320.669063	2	2
ERR1:1196820.686879	2	2
ERR1:1196980.627972	2	2
ERR1:1197820.665719	2	2
ERR1:1197950.679269	2	2
ERR1:1198150.704108	2	2
ERR1:119830.655094	2	2
ERR1:1205960.666770	2	2
ERR1:1208390.723854	2	2
ERR1:1208820.701926	2	2
ERR1:1211780.621904	2	2
ERR1:1212890.621170	2	2
ERR1:1213900.645417	2	2
ERR1:1214220.653105	2	2
ERR1:1214500.694335	2	2
ERR1:1214980.613373	2	2
ERR1:1219110.693225	2	2
ERR1:1220480.604270	2	2
ERR1:1222660.703777	2	2
ERR1:1224200.662635	2	2
ERR1:1224790.631974	2	2
ERR1:1226740.632438	2	2
ERR1:1228260.676719	2	2
ERR1:1233130.664572	2	2
ERR1:1241820.675148	2	2
ERR1:1243840.716297	2	2
ERR1:1256580.671739	2	2
ERR1:1261410.636478	2	2
ERR1:1272370.715360	2	2
ERR1:1273700.628658	2	2
ERR1:1274420.676642	2	2
ERR1:1276210.698746	2	2
ERR1:1285910.619188	2	2
ERR1:1304630.641445	2	2
ERR1:1307410.656843	2	2
ERR1:1311600.602480	2	2
ERR1:1316520.683672	2	2
ERR1:131930.626297	2	2
ERR1:1319630.654022	2	2
ERR1:1320950.638015	2	2
ERR1:1323840.622516	2	2
ERR1:1333920.625451	2	2
ERR1:1337540.659383	2	2
ERR1:1339590.612669	2	2
ERR1:1340790.604749	2	2
ERR1:1341590.635874	2	2
ERR1:1346750.688119	2	2
ERR1:1348890.721507	2	2
ERR1:1350650.637887	2	2
ERR1:1350980.612359	2	2
ERR1:135390.683999	2	2
ERR1:135500.661545	2	2
ERR1:1355230.640793	2	2
ERR1:135870.648850	2	2
ERR1:1359640.660140	2	2
ERR1:1359730.683085	2	2
ERR1:1361180.653093	2	2
ERR1:1365290.677446	2	2
ERR1:1370350.625840	2	2
ERR1:1371460.605250	2	2
ERR1:1374850.691596	2	2
ERR1:1378210.681261	2	2
ERR1:1384820.631511	2	2
ERR1:1385460.620175	2	2
ERR1:139080.675545	2	2
ERR1:1400360.669782	2	2
ERR1:140050.697217	2	2
ERR1:140120.687040	2	2
ERR1:1404670.662719	2	2
ERR1:140540.644223	2	2
ERR1:140700.694880	2	2
ERR1:140890.678848	2	2
ERR1:1410010.622865	2	2
ERR1:1410380.703518	2	2
ERR1:1413390.699196	2	2
ERR1:1415750.667623	2	2
ERR1:1416710.657250	2	2
ERR1:1418100.617068	2	2
ERR1:1418600.697723	2	2
ERR1:1418860.717557	2	2
ERR1:142290.612100	2	2
ERR1:1424150.690223	2	2
ERR1:1427130.608504	2	2
ERR1:1430500.660669	2	2
ERR1:1430520.703989	2	2
ERR1:14310.610232	2	2
ERR1:143190.615217	2	2
ERR1:1433770.676699	2	2
ERR1:1435270.649087	2	2
ERR1:1435960.673992	2	2
ERR1:1442160.652659	2	2
ERR1:1446770.701312	2	2
ERR1:1448600.677909	2	2
ERR1:1453470.610672	2	2
ERR1:1466680.635757	2	2
ERR1:1467580.647378	2	2
ERR1:147260.633373	2	2
ERR1:147480.672333	2	2
ERR1:1475650.634988	2	2
ERR1:147910.709967	2	2
ERR1:1481770.696635	2	2
ERR1:148180.671804	2	2
ERR1:1484350.613311	2	2
ERR1:148460.694823	2	2
ERR1:1486310.619802	2	2
ERR1:1488360.622310	2	2
ERR1:1488970.712017	2	2
ERR1:1490170.680857	2	2
ERR1:1491800.633849	2	2
ERR1:14940.668467	2	2
ERR1:1495790.642933	2	2
ERR1:149860.694014	2	2
ERR1:1500650.619064	2	2
ERR1:1502800.630670	2	2
ERR1:1505420.636707	2	2
ERR1:150890.694188	2	2
ERR1:150900.611920	2	2
ERR1:1509240.664085	2	2
ERR1:1509360.684259	2	2
ERR1:1510480.648166	2	2
ERR1:1514950.601215	2	2
ERR1:1516140.624842	2	2
ERR1:1531460.610012	2	2
ERR1:1534740.643027	2	2
ERR1:1535990.682453	2	2
ERR1:154510.676586	2	2
ERR1:1549320.644848	2	2
ERR1:1566670.618299	2	2
ERR1:1567470.710668	2	2
ERR1:1568360.604727	2	2
ERR1:1571240.646912	2	2
ERR1:1574660.609985	2	2
ERR1:157500.656266	2	2
ERR1:157650.658110	2	2
ERR1:1580660.615292	2	2
ERR1:1580790.622295	2	2
ERR1:1580940.719780	2	2
ERR1:159360.626731	2	2
ERR1:160070.705264	2	2
ERR1:1600710.611761	2	2
ERR1:1602750.643369	2	2
ERR1:1603230.691016	2	2
ERR1:1612150.644944	2	2
ERR1:1613540.664098	2	2
ERR1:1614010.629578	2	2
ERR1:161780.627583	2	2
