	ERR1308239
Formicidae_	40	
Myotis_daubentonii_	4	
Cypridopsis_vidua_	15	
Campaea_margaritaria_	3	
Thienemanniella_xena_	14	
Tenuiphantes_tenuis_	3	
Psectrocladius_octomaculatus_	38	
Monostilifera_	11	
Cratyna_nobilis_	46	
Phoxinus_	36	
Naididae_	4	
Arthropoda_	794	
Insecta_	1861	
Gonatium_rubellum_	8	
Physella_acuta_	10	
Eukaryota_	23720	
Diptera_	1171	
Crangonyx_pseudogracilis_	45	
Ancylus_	23	
Ablabesmyia_monilis_	144	
