OTU	ERR1308239	classification
ERR1308239:1032270.613555	60	Eukaryota;Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Astrothrombus;Astrothrombus chrysanthi
ERR1308239:1057150.605066	60	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Apenthecia;Apenthecia argentata
ERR1308239:1029210.617756	58	Eukaryota;Chordata;Mammalia;Rodentia;Heteromyidae;Chaetodipus;Chaetodipus californicus
ERR1308239:154870.621062	57	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308239:1066250.631953	55	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Mimosestes;Mimosestes ulkei
ERR1308239:1115110.650463	54	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308239:1010980.608890	51	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308239:1071330.606423	51	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Tambja;Tambja ceutae
ERR1308239:1104790.693115	50	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
ERR1308239:1056120.603272	49	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Bradysia;Bradysia chlorocornea
ERR1308239:353310.615878	48	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Cyrtophleba;Cyrtophleba nitida
ERR1308239:1052370.619158	46	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;Cratyna;Cratyna nobilis
ERR1308239:1260710.723551	46	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308239:1507510.632029	46	Eukaryota;Nematoda;Chromadorea;Tylenchida;Meloidogynidae;Meloidogyne;Meloidogyne chitwoodi
ERR1308239:1012040.619086	45	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Ravinia;Ravinia errabunda
ERR1308239:1023560.606948	45	Eukaryota;Arthropoda;Malacostraca;Amphipoda;Crangonyctidae;Crangonyx;Crangonyx pseudogracilis
ERR1308239:1016510.615033	44	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Lispe;Lispe orientalis
ERR1308239:101150.620458	43	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Porrhomma;Porrhomma montanum
ERR1308239:1020490.623923	40	Eukaryota;Arthropoda;Insecta;Hymenoptera;Formicidae;Lasius;Lasius niger
ERR1308239:1073930.613652	40	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Porrhomma;Porrhomma montanum
ERR1308239:637260.614804	40	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pseudobaimaii
