amplicon	ERR3460467	total
ERR3460467:126680.624605	6	6
ERR3460467:165470.615535	5	5
ERR3460467:192630.635316	5	5
ERR3460467:123030.611599	4	4
ERR3460467:1680480.628425	4	4
ERR3460467:177720.659025	4	4
ERR3460467:18100.628767	4	4
ERR3460467:252830.614598	4	4
ERR3460467:253370.645193	4	4
ERR3460467:314370.617210	4	4
ERR3460467:327370.643516	4	4
ERR3460467:444950.625981	4	4
ERR3460467:603480.602805	4	4
ERR3460467:96200.656688	4	4
ERR3460467:1026060.609679	3	3
ERR3460467:102840.640397	3	3
ERR3460467:1099730.628406	3	3
ERR3460467:1111680.618462	3	3
ERR3460467:1149370.636507	3	3
ERR3460467:118160.606460	3	3
ERR3460467:126090.611459	3	3
ERR3460467:1264710.613141	3	3
ERR3460467:137340.636161	3	3
ERR3460467:1421120.665648	3	3
ERR3460467:1502440.652102	3	3
ERR3460467:150650.629313	3	3
ERR3460467:15700.611780	3	3
ERR3460467:164660.602121	3	3
ERR3460467:1684070.649056	3	3
ERR3460467:1725850.630915	3	3
ERR3460467:1740760.652207	3	3
ERR3460467:194020.607514	3	3
ERR3460467:196480.602895	3	3
ERR3460467:2061180.601894	3	3
ERR3460467:21460.670289	3	3
ERR3460467:224120.613255	3	3
ERR3460467:231390.619992	3	3
ERR3460467:252670.618130	3	3
ERR3460467:270460.630919	3	3
ERR3460467:27760.638953	3	3
ERR3460467:278520.641965	3	3
ERR3460467:300300.624202	3	3
ERR3460467:321120.606833	3	3
ERR3460467:336320.633891	3	3
ERR3460467:34800.640696	3	3
ERR3460467:348420.649964	3	3
ERR3460467:361710.639520	3	3
ERR3460467:368490.603849	3	3
ERR3460467:369600.632261	3	3
ERR3460467:389240.607756	3	3
ERR3460467:393760.631561	3	3
ERR3460467:398780.604403	3	3
ERR3460467:402550.649203	3	3
ERR3460467:494100.606565	3	3
ERR3460467:505200.603326	3	3
ERR3460467:51260.650537	3	3
ERR3460467:519200.610034	3	3
ERR3460467:535680.634876	3	3
ERR3460467:551870.616258	3	3
ERR3460467:587370.604728	3	3
ERR3460467:592400.628933	3	3
ERR3460467:616950.605221	3	3
ERR3460467:664530.617637	3	3
ERR3460467:669940.641723	3	3
ERR3460467:72800.665965	3	3
ERR3460467:735310.614357	3	3
ERR3460467:88230.620142	3	3
ERR3460467:910870.617426	3	3
ERR3460467:980510.625937	3	3
ERR3460467:986880.621422	3	3
ERR3460467:991280.622064	3	3
ERR3460467:1003600.613806	2	2
ERR3460467:1004730.623631	2	2
ERR3460467:101990.638720	2	2
ERR3460467:1020600.602241	2	2
ERR3460467:1022040.610840	2	2
ERR3460467:1023310.607953	2	2
ERR3460467:1028840.603303	2	2
ERR3460467:1056400.605971	2	2
ERR3460467:107240.603461	2	2
ERR3460467:1095990.604472	2	2
ERR3460467:1096460.634739	2	2
ERR3460467:1098380.607853	2	2
ERR3460467:1103130.624209	2	2
ERR3460467:11060.618599	2	2
ERR3460467:1119740.614406	2	2
ERR3460467:1121940.600378	2	2
ERR3460467:1125390.602607	2	2
ERR3460467:1126610.639637	2	2
ERR3460467:1141080.600693	2	2
ERR3460467:1142470.606258	2	2
ERR3460467:1155280.606279	2	2
ERR3460467:117310.610193	2	2
ERR3460467:1174150.611718	2	2
ERR3460467:1175690.632324	2	2
ERR3460467:1177050.608192	2	2
ERR3460467:1188660.631806	2	2
ERR3460467:118880.631256	2	2
ERR3460467:119540.608581	2	2
ERR3460467:1206220.636384	2	2
ERR3460467:120630.617830	2	2
ERR3460467:1221480.600559	2	2
ERR3460467:122300.632144	2	2
ERR3460467:1235380.636484	2	2
ERR3460467:1237830.613083	2	2
ERR3460467:1250580.601528	2	2
ERR3460467:1250590.607744	2	2
ERR3460467:1253010.613462	2	2
ERR3460467:125380.622730	2	2
ERR3460467:1256050.632333	2	2
ERR3460467:1278510.617626	2	2
ERR3460467:1289910.660798	2	2
ERR3460467:1296590.643559	2	2
ERR3460467:1308460.602063	2	2
ERR3460467:132240.607144	2	2
ERR3460467:1326270.617779	2	2
ERR3460467:1337120.628294	2	2
ERR3460467:1356320.602800	2	2
ERR3460467:1367480.604189	2	2
ERR3460467:1388690.617018	2	2
ERR3460467:1390320.619061	2	2
ERR3460467:1391450.632783	2	2
ERR3460467:1420110.624098	2	2
ERR3460467:1429290.638150	2	2
ERR3460467:1430530.610304	2	2
ERR3460467:1433030.636824	2	2
ERR3460467:1452400.604985	2	2
ERR3460467:1455740.648602	2	2
ERR3460467:1457500.611820	2	2
ERR3460467:1460370.630079	2	2
ERR3460467:1466910.660889	2	2
ERR3460467:1470190.633101	2	2
ERR3460467:1503970.610888	2	2
ERR3460467:1507050.621392	2	2
ERR3460467:1507580.634919	2	2
ERR3460467:1510350.606119	2	2
ERR3460467:1512650.614637	2	2
ERR3460467:1522220.629268	2	2
ERR3460467:1522570.662529	2	2
ERR3460467:152390.611789	2	2
ERR3460467:1525200.611839	2	2
ERR3460467:1527340.624771	2	2
ERR3460467:1536290.637301	2	2
ERR3460467:1537020.626185	2	2
ERR3460467:1542750.620674	2	2
ERR3460467:1543730.605907	2	2
ERR3460467:1548570.610909	2	2
ERR3460467:155230.615163	2	2
ERR3460467:156440.622818	2	2
ERR3460467:1585010.614509	2	2
ERR3460467:1590550.613131	2	2
ERR3460467:15960.619747	2	2
ERR3460467:160250.622305	2	2
ERR3460467:1606890.633353	2	2
ERR3460467:1615280.603351	2	2
ERR3460467:1635210.631459	2	2
ERR3460467:1646960.600036	2	2
ERR3460467:1651470.610962	2	2
ERR3460467:1652480.626983	2	2
ERR3460467:1669250.649379	2	2
ERR3460467:167900.610426	2	2
ERR3460467:1683490.627315	2	2
ERR3460467:1705610.614487	2	2
ERR3460467:1711750.624418	2	2
ERR3460467:1712260.615962	2	2
ERR3460467:1713000.609229	2	2
ERR3460467:1717670.636287	2	2
ERR3460467:1737540.622437	2	2
ERR3460467:174140.615335	2	2
ERR3460467:1743880.639433	2	2
ERR3460467:174580.655443	2	2
ERR3460467:1746310.600592	2	2
ERR3460467:174770.606377	2	2
ERR3460467:1747830.614224	2	2
ERR3460467:1754260.601430	2	2
ERR3460467:1756310.617989	2	2
ERR3460467:1773210.645297	2	2
ERR3460467:1782350.607980	2	2
ERR3460467:178440.640044	2	2
ERR3460467:1789910.646891	2	2
ERR3460467:17950.669319	2	2
ERR3460467:1795330.614719	2	2
ERR3460467:179870.632756	2	2
ERR3460467:1805190.638471	2	2
ERR3460467:1818750.638081	2	2
ERR3460467:181880.618913	2	2
ERR3460467:1820080.654961	2	2
ERR3460467:1827960.615770	2	2
ERR3460467:1856750.608552	2	2
ERR3460467:185810.615224	2	2
ERR3460467:1858380.607545	2	2
ERR3460467:1860890.618895	2	2
ERR3460467:1861690.620381	2	2
ERR3460467:1872610.633305	2	2
ERR3460467:1873340.610125	2	2
ERR3460467:1876380.612264	2	2
ERR3460467:1893370.602756	2	2
ERR3460467:1914570.600395	2	2
ERR3460467:1921020.611532	2	2
ERR3460467:1924750.647344	2	2
ERR3460467:192490.612847	2	2
ERR3460467:1928910.622259	2	2
ERR3460467:1931100.624536	2	2
ERR3460467:194310.616306	2	2
ERR3460467:1945930.602908	2	2
ERR3460467:1949270.621978	2	2
ERR3460467:1964650.602704	2	2
ERR3460467:198390.627866	2	2
ERR3460467:1990430.627190	2	2
ERR3460467:1996800.619027	2	2
ERR3460467:1999760.639855	2	2
ERR3460467:2002360.601719	2	2
ERR3460467:201780.610494	2	2
ERR3460467:2020470.646974	2	2
ERR3460467:2021620.629291	2	2
ERR3460467:202240.642253	2	2
ERR3460467:204050.624793	2	2
ERR3460467:206080.613399	2	2
ERR3460467:20850.627274	2	2
ERR3460467:209300.622549	2	2
ERR3460467:2094400.603921	2	2
ERR3460467:2100710.609623	2	2
ERR3460467:2101740.605095	2	2
ERR3460467:2111910.615264	2	2
ERR3460467:2154820.618727	2	2
ERR3460467:2179330.620022	2	2
ERR3460467:21910.653491	2	2
ERR3460467:21980.604672	2	2
ERR3460467:2204060.624428	2	2
ERR3460467:2212550.641602	2	2
ERR3460467:2214150.615881	2	2
ERR3460467:2227740.663983	2	2
ERR3460467:223350.605626	2	2
ERR3460467:2238230.621105	2	2
ERR3460467:2239350.640314	2	2
ERR3460467:22520.641966	2	2
ERR3460467:226500.627440	2	2
ERR3460467:227990.603525	2	2
ERR3460467:228690.611904	2	2
ERR3460467:228870.626591	2	2
ERR3460467:229680.604475	2	2
ERR3460467:230190.610602	2	2
ERR3460467:2303470.602511	2	2
ERR3460467:2319960.610745	2	2
ERR3460467:2323670.635592	2	2
ERR3460467:23410.638464	2	2
ERR3460467:2352550.603269	2	2
ERR3460467:2376880.640438	2	2
ERR3460467:2387750.630097	2	2
ERR3460467:240140.632084	2	2
ERR3460467:2422640.623455	2	2
ERR3460467:2452090.676821	2	2
ERR3460467:251490.626107	2	2
ERR3460467:251690.605221	2	2
ERR3460467:2533460.643665	2	2
ERR3460467:255090.610490	2	2
ERR3460467:261760.615405	2	2
ERR3460467:268040.607128	2	2
ERR3460467:268260.604757	2	2
ERR3460467:270110.641796	2	2
ERR3460467:270210.609699	2	2
ERR3460467:271300.644216	2	2
ERR3460467:276870.611082	2	2
ERR3460467:278360.630803	2	2
ERR3460467:290130.608956	2	2
