OTU	amplicon	SRR1808870	total
219	SRR11808870:1561960.672321	2	2
344	SRR11808870:2808460.619805	2	2
345	SRR11808870:2818400.612503	2	2
366	SRR11808870:3145760.619678	2	2
369	SRR11808870:3153190.633701	2	2
456	SRR11808870:4521760.698152	2	2
489	SRR11808870:568830.633026	2	2
512	SRR11808870:942700.643712	2	2
518	SRR11808870:1000170.616110	2	2
523	SRR11808870:1000490.604970	1	1
536	SRR11808870:1002110.637157	2	2
545	SRR11808870:1003080.647562	1	1
548	SRR11808870:1003570.667025	1	1
552	SRR11808870:1004390.647113	1	1
554	SRR11808870:1004650.657602	1	1
563	SRR11808870:1005420.652575	2	2
570	SRR11808870:1006060.625070	1	1
571	SRR11808870:1006160.668014	2	2
574	SRR11808870:1006420.622486	1	1
581	SRR11808870:1007080.612517	1	1
585	SRR11808870:1008020.607105	2	2
589	SRR11808870:1009260.634975	2	2
595	SRR11808870:101010.639734	2	2
607	SRR11808870:1010890.677862	1	1
609	SRR11808870:101130.602790	1	1
614	SRR11808870:1012250.624012	1	1
622	SRR11808870:1013140.638346	1	1
623	SRR11808870:1013190.608381	1	1
629	SRR11808870:1013960.635060	2	2
630	SRR11808870:1014020.652830	1	1
631	SRR11808870:1014100.612655	1	1
639	SRR11808870:1015140.682993	1	1
643	SRR11808870:1016130.609521	1	1
666	SRR11808870:1019040.664807	1	1
674	SRR11808870:1019720.655396	1	1
678	SRR11808870:1020240.630653	1	1
686	SRR11808870:1021000.641607	1	1
691	SRR11808870:1021900.677419	1	1
693	SRR11808870:1022060.609827	1	1
696	SRR11808870:1022790.644915	2	2
706	SRR11808870:1024190.634471	1	1
708	SRR11808870:1024450.649574	1	1
709	SRR11808870:1024520.654807	1	1
710	SRR11808870:1024550.608519	1	1
719	SRR11808870:1025830.645402	1	1
722	SRR11808870:1026980.612569	1	1
740	SRR11808870:1029840.632139	1	1
742	SRR11808870:1030000.662972	2	2
747	SRR11808870:1031200.652398	1	1
749	SRR11808870:1031480.614688	1	1
752	SRR11808870:1032200.658171	2	2
756	SRR11808870:1033720.677005	1	1
762	SRR11808870:1035090.637425	1	1
767	SRR11808870:103680.615177	1	1
769	SRR11808870:1036990.642189	1	1
774	SRR11808870:1037880.600061	1	1
785	SRR11808870:1039800.620944	1	1
791	SRR11808870:1041310.624297	1	1
792	SRR11808870:1041620.649330	1	1
796	SRR11808870:1042260.636470	2	2
797	SRR11808870:1042460.610941	1	1
799	SRR11808870:1043530.613181	1	1
801	SRR11808870:1043720.620602	1	1
803	SRR11808870:1044370.603792	1	1
812	SRR11808870:1045980.631304	1	1
819	SRR11808870:1049960.620142	1	1
820	SRR11808870:1050.679201	1	1
823	SRR11808870:1050310.668704	2	2
824	SRR11808870:1050370.636870	1	1
828	SRR11808870:1051160.626271	1	1
839	SRR11808870:1057550.628612	2	2
840	SRR11808870:1057790.703246	1	1
850	SRR11808870:1060540.607949	1	1
852	SRR11808870:106090.623739	1	1
863	SRR11808870:1062280.630139	1	1
872	SRR11808870:1065110.643424	1	1
873	SRR11808870:1065410.704372	1	1
875	SRR11808870:1066040.653606	1	1
877	SRR11808870:1066630.653004	1	1
879	SRR11808870:1067020.612559	2	2
883	SRR11808870:1070030.604046	1	1
889	SRR11808870:1071840.633805	1	1
890	SRR11808870:1071900.635114	1	1
899	SRR11808870:107440.618534	2	2
901	SRR11808870:1075160.638826	1	1
903	SRR11808870:1075750.632143	1	1
904	SRR11808870:1075950.640285	1	1
906	SRR11808870:1076700.611691	2	2
908	SRR11808870:1077030.622066	1	1
909	SRR11808870:1077560.624436	1	1
910	SRR11808870:1077980.681024	1	1
912	SRR11808870:1079960.629011	2	2
914	SRR11808870:1080300.661089	2	2
915	SRR11808870:1080400.610346	1	1
923	SRR11808870:1082380.714947	2	2
926	SRR11808870:1083180.628937	1	1
927	SRR11808870:1083510.660070	1	1
931	SRR11808870:1084850.633701	2	2
932	SRR11808870:10850.615150	1	1
934	SRR11808870:1085420.649837	1	1
938	SRR11808870:1087990.648303	1	1
941	SRR11808870:1089490.630326	1	1
943	SRR11808870:109090.647462	2	2
949	SRR11808870:1094520.659070	1	1
950	SRR11808870:1094630.648978	1	1
955	SRR11808870:1096480.609631	2	2
957	SRR11808870:1097530.619520	1	1
958	SRR11808870:1098230.623923	2	2
965	SRR11808870:1101030.604428	1	1
968	SRR11808870:110240.616217	2	2
970	SRR11808870:1102670.611018	2	2
973	SRR11808870:1103150.683235	2	2
974	SRR11808870:1105410.601659	1	1
976	SRR11808870:1106390.667481	1	1
977	SRR11808870:1106430.624012	1	1
984	SRR11808870:1109860.655847	2	2
995	SRR11808870:1114800.605470	1	1
1000	SRR11808870:1115950.611899	1	1
1001	SRR11808870:1116310.624480	2	2
1003	SRR11808870:1116720.609442	1	1
1005	SRR11808870:1117780.616246	1	1
1013	SRR11808870:1122700.601211	1	1
1015	SRR11808870:1123540.654221	2	2
1017	SRR11808870:1123740.613316	1	1
1022	SRR11808870:1125190.716267	2	2
1025	SRR11808870:1125500.624255	1	1
1026	SRR11808870:1125530.686766	2	2
1028	SRR11808870:1126610.616426	2	2
1032	SRR11808870:112780.606093	2	2
1033	SRR11808870:1129500.616337	1	1
1036	SRR11808870:1131360.623960	2	2
1040	SRR11808870:1135620.615846	1	1
1041	SRR11808870:1136100.663376	1	1
1048	SRR11808870:1138890.693520	2	2
1049	SRR11808870:1139010.640784	1	1
1052	SRR11808870:1139850.671734	1	1
1053	SRR11808870:1139990.629833	1	1
1058	SRR11808870:1140620.626729	1	1
1060	SRR11808870:1141230.610311	1	1
1061	SRR11808870:1141540.648218	2	2
1063	SRR11808870:1142660.628442	1	1
1064	SRR11808870:1142680.610452	2	2
1067	SRR11808870:1145950.611238	1	1
1069	SRR11808870:1147500.653238	1	1
1070	SRR11808870:1150360.622792	1	1
1071	SRR11808870:1150370.659132	1	1
1072	SRR11808870:1151460.630338	1	1
1078	SRR11808870:1153390.675539	2	2
1079	SRR11808870:1154860.673896	1	1
1082	SRR11808870:1156230.611407	2	2
1085	SRR11808870:1156760.608827	2	2
1086	SRR11808870:1156900.610162	1	1
1087	SRR11808870:1157240.634926	1	1
1089	SRR11808870:1157460.717161	1	1
1094	SRR11808870:1158300.622298	2	2
1099	SRR11808870:1162320.607911	1	1
1100	SRR11808870:1162710.624154	1	1
1106	SRR11808870:1165900.630651	1	1
1110	SRR11808870:1167600.640776	1	1
1111	SRR11808870:1169600.619465	1	1
1113	SRR11808870:1171020.607088	1	1
1114	SRR11808870:1171140.633970	1	1
1117	SRR11808870:1172400.629665	1	1
1123	SRR11808870:1174840.620513	1	1
1126	SRR11808870:1176270.601258	2	2
1128	SRR11808870:1177610.701732	1	1
1130	SRR11808870:1179250.613083	1	1
1132	SRR11808870:1179680.718725	1	1
1135	SRR11808870:1180630.624557	1	1
1136	SRR11808870:1181000.691821	1	1
1138	SRR11808870:1181150.667133	1	1
1142	SRR11808870:1184210.719024	1	1
1143	SRR11808870:1184420.703679	1	1
1144	SRR11808870:1185760.624979	2	2
1146	SRR11808870:1186180.662035	1	1
1147	SRR11808870:1186320.637241	1	1
1148	SRR11808870:1186770.679635	1	1
1150	SRR11808870:118990.617502	1	1
1152	SRR11808870:1190590.608787	1	1
1153	SRR11808870:1191530.622486	1	1
1155	SRR11808870:1191750.631138	2	2
1156	SRR11808870:1191870.623783	1	1
1157	SRR11808870:1193010.674298	1	1
1161	SRR11808870:1195840.622418	1	1
1162	SRR11808870:1195930.629409	1	1
1171	SRR11808870:1199410.644865	1	1
1172	SRR11808870:1199470.600945	1	1
1174	SRR11808870:1200470.655899	1	1
1176	SRR11808870:1202260.615952	1	1
1177	SRR11808870:1202390.641872	2	2
1180	SRR11808870:1202660.634272	2	2
1181	SRR11808870:1203010.688521	1	1
1182	SRR11808870:1203240.668994	1	1
1183	SRR11808870:120360.642062	2	2
1186	SRR11808870:1205480.675065	2	2
1187	SRR11808870:1205840.616676	1	1
1188	SRR11808870:1206190.628932	2	2
1191	SRR11808870:1210810.613130	2	2
1192	SRR11808870:1211370.603927	1	1
1193	SRR11808870:1211500.601676	1	1
1198	SRR11808870:1213720.662024	1	1
1201	SRR11808870:1214800.627487	1	1
1205	SRR11808870:1216060.712055	1	1
1208	SRR11808870:1217100.702120	1	1
1209	SRR11808870:1217810.649068	2	2
1210	SRR11808870:1218100.648843	2	2
1211	SRR11808870:1218450.611291	1	1
