OTU	SRR1808870	classification
	Eukaryota;Annelida;Polychaeta;Capitellida;Maldanidae;Leiochone;Leiochone leiopygos
SRR11808870:4071240.644330	13644	Eukaryota;Nemertea;Enopla;Monostilifera;Amphiporidae;Psammamphiporus;Psammamphiporus elongatus
SRR11808870:1271900.603374	5206	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
SRR11808870:1913780.616286	5010	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Solenosmilia;Solenosmilia variabilis
SRR11808870:219750.602903	4699	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadellidae;Pediopsoides;Pediopsoides kurentsovi
SRR11808870:3181240.611373	4255	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808870:1090200.620070	4220	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Euglossa;Euglossa macrorhyncha
SRR11808870:1565940.627152	3539	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Tacua;Tacua speciosa
SRR11808870:53010.654738	3288	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Pseudostegana;Pseudostegana insularis
SRR11808870:4901140.613646	3217	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Splendeuptychia;Splendeuptychia boliviensis
SRR11808870:2371510.645630	2929	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Pauropsalta;Pauropsalta walkeri
SRR11808870:870230.644274	2628	Eukaryota;Arthropoda;Insecta;Orthoptera;Gryllidae;Amphiacusta;Amphiacusta domingensis
SRR11808870:4490980.606589	2614	Eukaryota;Arthropoda;Insecta;Lepidoptera;Erebidae;Vamuna;Vamuna virilis
SRR11808870:203680.642013	2560	Eukaryota;Arthropoda;Insecta;Lepidoptera;Saturniidae;Saturnia;Saturnia boisduvalii
SRR11808870:2774550.626474	2333	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Pocilloporidae;Pocillopora;Pocillopora eydouxi
SRR11808870:3502690.677751	2302	Eukaryota;Mollusca;Gastropoda;Ancylidae;Burnupia;Burnupia caffra
SRR11808870:136250.632723	2289	Eukaryota;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Curetis;Curetis sperthis
SRR11808870:930760.614765	2254	Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Brachionus;Brachionus macracanthus
SRR11808870:278380.605654	2153	Eukaryota;Chordata;Actinopteri;Beryciformes;Cetomimidae;Procetichthys;Procetichthys kreffti
SRR11808870:1505090.610797	2052	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
SRR11808870:986050.630441	1766	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga villeneuveana
SRR11808870:2390170.651784	1672	Eukaryota;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Nephtys;Nephtys cirrosa
SRR11808870:1111060.602774	1629	Eukaryota;Arthropoda;Arachnida;Scorpiones;Chactidae;Belisarius;Belisarius xambeui
SRR11808870:1021850.665495	1517	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Charaxes;Charaxes xiphares
SRR11808870:2125530.682771	1488	Eukaryota;Nematoda;Chromadorea;Spirurida;Onchocercidae;Onchocerca;Onchocerca flexuosa
SRR11808870:944880.636361	1487	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
SRR11808870:217940.602874	1402	Eukaryota;Arthropoda;Arachnida;Araneae;Salticidae;Chinattus;Chinattus parvulus
SRR11808870:4895760.617802	1354	Eukaryota;Annelida;Haplotaxida;Naididae;Tubificoides;Tubificoides benedii
SRR11808870:1890960.633698	1325	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Chrysoperla;Chrysoperla pudica
SRR11808870:1347720.601562	1321	Eukaryota;Arthropoda;Insecta;Coleoptera;Silphidae;Nicrophorus;Nicrophorus carolinus
SRR11808870:5424630.645684	1217	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Chosnia;Chosnia nr. obesa JJG201
SRR11808870:1937630.614902	1148	Eukaryota;Arthropoda;Insecta;Diptera;Blephariceridae;Edwardsina;Edwardsina gigantea
SRR11808870:766970.605353	1112	Eukaryota;Porifera;Demospongiae;Hadromerida;Polymastiidae;Polymastia;Polymastia littoralis
