Abudefduf saxatilis
Agaricia agaricites
Aglaura hemistoma
Arbacia punctulata
Archegozetes longisetosus
Archosargus rhomboidalis
Ascidia ahodori
Atherinomorus stipes
Boloceroides mcmurrichi
Botrylloides nigrum
Calocalanus minutus
Carangoides ruber
Cassiopea frondosa
Cerithidea pliculosa
Cerithium guinaicum
Cerithium litteratum
Clausocalanus furcatus
Clepticus parrae
Craspedacusta sowerbyi
Creseis clava
Ctenogobius saepepallens
Decapterus punctatus
Delibus nudus
Diadema antillarum
Diapterus rhombeus
Elysia tuca
Elysia zuleicae
Erotelis smaragdus
Eucinostomus gula
Eucinostomus jonesii
Eugerres plumieri
Eurythoe complanata
Euterpina acutifrons
Galeorhinus galeus
Gerres cinereus
Haemulon aurolineatum
Haemulon flavolineatum
Haemulon plumierii
Haemulon sciurus
Halichoeres bivittatus
Halisarca dujardini
Harengula humeralis
Holacanthus ciliaris
Jenkinsia lamprotaenia
Kyphosus cinerascens
Lumbrineris perkinsi
Lutjanus analis
Lutjanus apodus
Lutjanus griseus
Lutjanus synagris
Meandrina meandrites
Mycteroperca venenosa
Nais variabilis
Nasutitermes corniger
Niphates erecta
Ocyurus chrysurus
Ophiocoma echinata
Ophiocoma wendtii
Ophioderma cinerea
Paracalanus quasimodo
Patelloida pustulata
Pelecanus occidentalis
Phascolosoma perlucens
Pontoscolex corethrurus
Prionus insularis
Pristina osborni
Sagitta enflata
Scarus iseri
Sipunculus nudus
Sparisoma aurofrenatum
Sparisoma chrysopterum
Sparisoma radians
Sparisoma rubripinne
Sparisoma viride
Sphoeroides testudineus
Sphyraena barracuda
Stegastes adustus
Stegastes diencaeus
Stegastes partitus
Stegastes planifrons
Strongylura notata
Temora turbinata
Timarete caribous
Trachemys venusta
Trachinotus falcatus
Urobatis jamaicensis
