OTU	ERR0000001	ERR0000002	ERR0000003	ERR0000004	ERR0000005	ERR0000006	ERR0000007	ERR0000008	ERR0000009	ERR0000010	ERR0000011	ERR0000012	ERR0000014	ERR0000015	ERR0000016	ERR0000017	ERR0000018	ERR0000019	ERR0000020	ERR0000021	ERR0000022	ERR0000023	ERR0000024	ERR0000025	ERR0000026	ERR0000027	ERR0000028	ERR0000029	ERR0000030	ERR0000031	ERR0000032	ERR0000033	ERR0000034	ERR0000035	ERR0000036	ERR0000037	ERR0000038	ERR0000039	ERR0000040	ERR0000041	ERR0000042	ERR0000043	ERR0000044	ERR0000045	ERR0000046	ERR0000048	ERR0000049	ERR0000050	ERR0000051	ERR0000052	ERR0000053	ERR0000054	ERR0000055	ERR0000056	ERR0000057	ERR0000058	ERR0000059	ERR0000060	ERR0000061	ERR0000062	ERR0000063	ERR0000064	ERR0000065	ERR0000066	ERR0000067	ERR0000068	ERR0000069	ERR0000070	ERR0000071	ERR0000072	ERR0000073	classification
ERR45:111900.600621	15	49	11	36	25	32	35	36	24	0	1	3	0	12	0	0	5	0	0	0	0	0	0	4	1	1	0	0	1	1	5	5	3	1	1	0	5	0	0	1	2	2	1	303	105	51	200	130	16	13	0	0	0	11	1	9	1	15	15	14	37	0	0	1	0	0	5	1	3	0	2	Eukaryota;Cnidaria;Anthozoa;Pennatulacea;Virgulariidae;Stylatula;Stylatula elongata
ERR73:202600.619595	5	28	6	14	8	22	29	15	20	1	9	8	0	10	0	0	10	0	0	0	0	0	0	0	1	0	0	0	1	0	43	108	47	23	55	1	87	3	7	43	26	41	0	20	11	1	10	7	1	0	0	0	0	33	0	16	2	72	15	30	10	2	0	3	0	29	35	46	20	37	52	Eukaryota;Chordata;Mammalia;Monotremata;Ornithorhynchidae;Ornithorhynchus;Ornithorhynchus anatinus
ERR33:1078800.640007	29	32	25	30	16	26	37	24	23	3	13	10	0	7	2	0	20	0	0	0	1	0	0	1	0	0	0	0	1	0	15	22	37	16	18	0	34	1	6	27	15	12	0	138	25	11	26	17	3	5	0	0	0	23	0	29	8	39	22	30	28	3	0	4	0	15	23	29	14	27	18	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR33:2210840.602514	6	33	4	19	13	16	20	18	15	4	22	52	0	16	1	1	45	1	0	0	2	0	0	4	1	0	0	0	0	0	14	43	36	17	22	0	37	1	3	18	24	15	0	47	15	8	27	14	1	6	0	0	0	35	0	26	5	45	39	30	30	1	3	11	0	26	19	45	26	30	23	Eukaryota;Porifera;Demospongiae;Haplosclerida;Lubomirskiidae;Rezinkovia;Rezinkovia echinata
ERR2:708280.620142	15	24	17	24	24	21	21	9	8	3	9	12	1	11	0	3	12	0	0	0	0	1	0	2	0	1	0	0	3	0	34	37	45	35	26	0	42	1	8	47	28	21	0	36	18	13	31	14	3	2	1	0	0	40	0	13	4	69	25	13	17	2	1	8	1	26	30	38	20	28	36	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR12:132220.616579	0	4	1	3	1	1	2	4	5	26	67	261	2	108	3	8	218	0	0	0	0	0	0	1	0	0	0	0	0	0	7	18	11	1	3	0	14	1	2	9	4	2	0	3	2	1	5	0	0	0	0	0	0	11	0	9	1	20	16	10	28	1	0	1	0	5	11	9	4	3	9	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR2:1015190.641767	33	75	2	11	17	60	56	52	41	2	1	1	1	3	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	32	57	32	8	30	0	48	2	7	36	30	34	0	8	1	4	3	1	0	0	0	0	0	12	0	2	1	25	4	6	5	0	3	10	0	19	22	40	19	34	23	Eukaryota;Annelida;Polychaeta;Terebellida;Ampharetidae;Auchenoplax;Auchenoplax crinita
ERR33:51620.602039	1	2	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	126	188	76	34	50	1	56	3	20	50	54	86	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	67	0	2	1	0	0	1	0	9	14	4	8	5	5	Eukaryota;Gastrotricha;Macrodasyida;Thaumastodermatidae;Tetranchyroderma;Tetranchyroderma quadritentaculatum
ERR25:723410.604115	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	Eukaryota;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Acrobeles;Acrobeles complexus
ERR34:778980.629862	0	0	0	0	61	0	0	1	173	0	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	71	0	17	0	2	0	317	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	5	0	121	0	0	0	0	0	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actinostolidae;Antholoba;Antholoba achates
ERR56:204570.622098	3	20	6	15	3	15	20	6	18	1	3	1	0	5	0	2	4	0	0	0	0	0	0	0	0	1	1	0	2	2	15	40	30	17	27	0	32	4	6	26	33	18	0	18	10	5	18	20	1	0	0	0	0	66	0	14	1	40	24	28	14	1	0	8	2	17	19	54	36	29	24	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Aleurochiton;Aleurochiton aceris
ERR68:287940.614089	0	0	0	0	124	0	2	0	112	0	28	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	149	0	20	0	1	0	133	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	6	0	211	0	0	0	0	0	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR73:917430.614908	0	2	0	2	0	2	3	3	0	2	26	84	3	35	1	2	60	0	0	0	0	1	0	0	0	0	2	0	1	1	14	39	17	15	20	0	24	2	2	21	25	14	0	15	5	5	11	4	1	0	0	0	0	8	0	8	4	27	13	27	12	2	1	5	0	25	45	53	15	30	49	Eukaryota;Chordata;Ascidiacea;Enterogona;Ascidiidae;Ascidia;Ascidia ahodori
ERR32:397240.609148	2	4	1	4	2	1	1	5	2	1	3	2	0	5	0	1	7	0	0	0	1	0	0	0	0	2	1	4	1	0	32	31	39	19	13	0	55	2	11	37	37	43	0	12	6	9	22	8	0	1	0	0	0	12	0	2	1	34	5	6	16	1	1	11	1	34	23	92	36	39	44	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Serpula vermicularis
ERR10:249410.606578	12	13	9	6	13	9	10	14	14	6	6	29	0	9	0	0	11	0	0	0	0	1	0	0	0	0	2	0	0	0	23	33	26	21	18	0	37	3	7	30	24	23	0	20	5	9	23	21	0	0	0	0	0	36	0	22	3	70	36	32	20	4	0	0	0	3	9	14	9	19	13	Eukaryota;Mollusca;Bivalvia;Myoida;Pholadidae;Barnea;Barnea davidi
ERR72:320240.609653	0	12	1	3	1	4	7	1	3	0	1	1	0	2	0	0	8	0	1	0	0	0	0	3	1	0	1	0	1	0	45	40	37	24	34	2	38	2	10	17	27	37	0	7	2	5	5	4	0	0	1	0	0	23	0	21	5	31	23	40	18	1	1	9	0	24	22	59	24	57	10	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR25:929280.623935	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	727	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	Eukaryota;Cnidaria;Hydrozoa;Limnomedusae;Olindiasidae;Cubaia;Cubaia aphrodite
ERR42:765800.613857	10	16	7	18	12	21	24	12	9	4	9	26	0	8	1	1	17	0	0	0	0	0	0	3	0	2	0	0	0	0	18	46	22	11	22	0	29	1	3	21	19	12	0	17	8	1	8	12	2	0	0	0	0	26	0	20	1	55	18	23	12	0	0	6	0	22	21	22	13	20	18	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Crucigera;Crucigera zygophora
ERR34:240170.609529	1	0	0	0	93	0	0	0	121	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	30	0	2	0	183	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	2	0	1	0	0	0	2	0	187	0	0	0	0	1	Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Phocarctos;Phocarctos hookeri
ERR56:710290.628039	2	31	4	24	26	7	26	18	5	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	16	18	20	7	35	0	35	7	5	12	15	23	0	7	13	2	23	24	0	5	0	0	0	12	0	21	1	21	9	13	19	0	3	11	1	6	3	59	11	12	9	Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Protula;Protula pacifica
ERR5:311430.621548	0	0	0	0	265	0	1	0	53	0	29	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	12	0	10	0	3	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	101	0	0	0	0	0	Eukaryota;Arthropoda;Insecta;Mantodea;Mantidae;Amantis;Amantis biroi
