name	LWR	fract	aLWR	afract	taxopath
Query2610	0.2286	0.7064	0.3129	0.9667	Eukaryota
Query422	0.5817	0.5817	0.9994	0.9994	Eukaryota
Query359	0.8496	0.8516	0.9976	1	Eukaryota
Query370	0.7322	0.735	0.9858	0.9895	Eukaryota
Query2705	0.8135	0.8136	0.9646	0.9647	Eukaryota
Query2219	0.507	0.5789	0.8725	0.9964	Eukaryota
Query1031	0.9708	0.9742	0.9708	0.9742	Eukaryota
Query1791	0.596	0.601	0.8336	0.8406	Eukaryota;Cnidaria;Hydrozoa
Query1660	0.643	0.6454	0.9963	1	Eukaryota
Query1828	0.4879	0.4881	0.9986	0.9991	Eukaryota
Query1682	0.5741	0.5945	0.9644	0.9987	Eukaryota
Query2695	0.8573	0.8647	0.9889	0.9975	Eukaryota
Query788	0.6341	0.6348	0.6341	0.6348	Eukaryota;Discosea;Flabellinia;Dactylopodida
Query2526	0.8658	0.8659	0.9868	0.9869	Eukaryota
Query2459	0.7674	0.768	0.9988	0.9996	Eukaryota
Query1645	0.8797	0.8801	0.991	0.9914	Eukaryota
Query401	0.865	0.8825	0.9576	0.977	Eukaryota
Query3375	0.4575	0.9869	0.4575	0.9869	Eukaryota
Query2370	0.5254	0.6997	0.7411	0.987	Eukaryota
Query3189	0.8425	0.8427	0.9998	1	Eukaryota
Query1226	0.6942	0.6959	0.9961	0.9986	Eukaryota
Query372	0.5252	0.5401	0.9702	0.9976	Eukaryota
Query108	0.5105	0.5169	0.987	0.9995	Eukaryota
Query1380	0.9775	0.9818	0.9873	0.9917	Eukaryota
Query3297	0.7967	0.8037	0.9804	0.9891	Eukaryota
Query1323	0.606	0.7316	0.8102	0.9781	Eukaryota
Query995	0.6452	0.9526	0.6624	0.978	Eukaryota
Query7	0.8164	0.8193	0.9811	0.9846	Eukaryota
Query3087	0.35	0.356	0.979	0.9957	Eukaryota
Query1585	0.4759	0.4978	0.9336	0.9764	Eukaryota
Query470	0.8199	0.8287	0.8494	0.8585	Eukaryota;Filasterea;Filasterea
Query222	0.4891	0.5233	0.9294	0.9944	Eukaryota
Query323	0.9727	0.9856	0.9775	0.9905	Eukaryota
Query745	0.4863	0.9821	0.4863	0.9821	Eukaryota
Query211	0.5721	0.8987	0.6249	0.9815	Eukaryota
Query1208	0.5518	0.8277	0.6581	0.9871	Eukaryota
Query998	0.6804	0.6885	0.9843	0.996	Eukaryota
Query2056	0.766	0.8345	0.8925	0.9724	Eukaryota
Query1848	0.7804	0.9752	0.7804	0.9752	Eukaryota;Platyhelminthes;Rhabditophora
Query2307	0.7036	0.7037	0.9849	0.985	Eukaryota;Platyhelminthes;Rhabditophora
Query1199	0.6403	0.6403	0.9999	1	Eukaryota
Query2359	0.4517	0.4778	0.469	0.4961	Eukaryota;Arthropoda;Hexanauplia
Query3425	0.8368	0.8576	0.9444	0.9679	Eukaryota;Chordata;Mammalia
Query962	0.5	0.5	0.5	0.5	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query381	0.7088	0.7088	0.7088	0.7088	Eukaryota;Gastrotricha;Chaetonotida;Chaetonotida
Query1745	0.4659	0.4785	0.4659	0.4785	DISTANT
Query3380	1	1	1	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3389	0.8323	0.8323	0.9732	0.9732	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query3177	0.5153	0.5153	0.5153	0.5153	Eukaryota;Mucoromycota;Glomeromycetes
Query2371	0.3979	0.3979	0.6415	0.6415	Eukaryota;Mucoromycota;Glomeromycetes
Query1958	0.1769	1	0.1769	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query2677	0.2429	1	0.2429	1	Archaea;TACK_group;Crenarchaeota;Thermoprotei
Query2165	0.7736	0.7736	0.7736	0.7736	DISTANT
Query3074	0.9168	1	0.9168	1	DISTANT
Query3365	1	1	1	1	DISTANT
Query1362	0.8767	0.8839	0.8767	0.8839	DISTANT
Query1361	0.531	0.5319	0.531	0.5319	DISTANT
Query2753	0.991	1	0.991	1	Archaea;Euryarchaeota;environmental_samples;uncultured_marine_group_II/III
Query1438	0.6171	0.6171	1	1	Eukaryota
Query2300	0.962	0.9636	0.962	0.9636	Eukaryota
Query31	0.6606	0.6606	0.9949	0.9949	Eukaryota;Annelida;Polychaeta
Query2256	0.4183	0.4456	0.7752	0.8259	Eukaryota;Annelida;Polychaeta
Query1126	0.708	0.7093	0.9851	0.9868	Eukaryota;Annelida;Polychaeta
Query28	0.7091	0.716	0.7091	0.716	Eukaryota;Annelida;Polychaeta
Query1546	0.4703	0.4713	0.7277	0.7293	Eukaryota;Arthropoda;Branchiopoda
Query2343	0.7975	0.8043	0.9813	0.9897	Eukaryota
Query1953	0.7559	0.7752	0.7812	0.8011	Eukaryota;Arthropoda;Hexanauplia
Query2333	0.9477	0.9477	0.9477	0.9477	Eukaryota
Query2205	0.8551	0.8834	0.9488	0.9803	Eukaryota
Query758	0.9319	0.9328	0.9575	0.9584	Eukaryota;Arthropoda;Hexanauplia
Query3291	0.7333	0.7333	0.7333	0.7333	Eukaryota;Arthropoda;Hexanauplia
