amplicon	linearized.dereplicate_ERR0000002.merged.fastq	total
ERR2:::13829:0:0:0:0.731934	4	4
ERR2:::14531:0:0:0:0.728505	4	4
ERR2:::14838:0:0:0:0.731563	4	4
ERR2:::14930:0:0:0:0.725952	4	4
ERR2:::15:0:0:0:0.714819	4	4
ERR2:::15256:0:0:0:0.715450	4	4
ERR2:::154:0:0:0:0.703911	4	4
ERR2:::1611:0:0:0:0.739965	4	4
ERR2:::16257:0:0:0:0.700766	4	4
ERR2:::16519:0:0:0:0.723045	4	4
ERR2:::16654:0:0:0:0.699446	4	4
ERR2:::167:0:0:0:0.744256	4	4
ERR2:::18102:0:0:0:0.719707	4	4
ERR2:::1855:0:0:0:0.704365	4	4
ERR2:::18560:0:0:0:0.720816	4	4
ERR2:::19470:0:0:0:0.733101	4	4
ERR2:::19742:0:0:0:0.698325	4	4
ERR2:::20334:0:0:0:0.728491	4	4
ERR2:::20465:0:0:0:0.735368	4	4
ERR2:::21583:0:0:0:0.732127	4	4
ERR2:::21645:0:0:0:0.721504	4	4
ERR2:::22146:0:0:0:0.692280	4	4
ERR2:::23178:0:0:0:0.729209	4	4
ERR2:::23927:0:0:0:0.736717	4	4
ERR2:::23980:0:0:0:0.726201	4	4
ERR2:::23993:0:0:0:0.742481	4	4
ERR2:::24187:0:0:0:0.721205	4	4
ERR2:::25571:0:0:0:0.731031	4	4
ERR2:::27938:0:0:0:0.733381	4	4
ERR2:::28361:0:0:0:0.732795	4	4
ERR2:::29401:0:0:0:0.705492	4	4
ERR2:::30896:0:0:0:0.735743	4	4
ERR2:::3156:0:0:0:0.737595	4	4
ERR2:::32391:0:0:0:0.712998	4	4
ERR2:::332:0:0:0:0.736393	4	4
ERR2:::35711:0:0:0:0.731579	4	4
ERR2:::37064:0:0:0:0.735961	4	4
ERR2:::3775:0:0:0:0.726258	4	4
ERR2:::38620:0:0:0:0.729658	4	4
ERR2:::3864:0:0:0:0.732029	4	4
ERR2:::4015:0:0:0:0.735357	4	4
ERR2:::4452:0:0:0:0.711945	4	4
ERR2:::45414:0:0:0:0.719711	4	4
ERR2:::46213:0:0:0:0.737458	4	4
ERR2:::47785:0:0:0:0.735536	4	4
ERR2:::4870:0:0:0:0.681649	4	4
ERR2:::49861:0:0:0:0.735931	4	4
ERR2:::4987:0:0:0:0.719292	4	4
ERR2:::5030:0:0:0:0.687796	4	4
ERR2:::50407:0:0:0:0.706268	4	4
ERR2:::516:0:0:0:0.699811	4	4
ERR2:::52227:0:0:0:0.684544	4	4
ERR2:::5524:0:0:0:0.731987	4	4
ERR2:::5541:0:0:0:0.735145	4	4
ERR2:::5750:0:0:0:0.698174	4	4
ERR2:::5925:0:0:0:0.711739	4	4
ERR2:::6478:0:0:0:0.731234	4	4
ERR2:::6828:0:0:0:0.712693	4	4
ERR2:::7053:0:0:0:0.705848	4	4
ERR2:::7109:0:0:0:0.692218	4	4
ERR2:::7193:0:0:0:0.738514	4	4
ERR2:::7241:0:0:0:0.697517	4	4
ERR2:::7374:0:0:0:0.728300	4	4
ERR2:::7381:0:0:0:0.731060	4	4
ERR2:::7428:0:0:0:0.726704	4	4
ERR2:::7787:0:0:0:0.737654	4	4
ERR2:::7824:0:0:0:0.718748	4	4
ERR2:::7852:0:0:0:0.734528	4	4
ERR2:::8028:0:0:0:0.720443	4	4
ERR2:::8344:0:0:0:0.729192	4	4
ERR2:::9588:0:0:0:0.745023	4	4
ERR2:::9684:0:0:0:0.696181	4	4
ERR2:::9941:0:0:0:0.737511	4	4
ERR2:::995:0:0:0:0.721774	4	4
ERR2:::10138:0:0:0:0.740209	3	3
ERR2:::10261:0:0:0:0.740709	3	3
ERR2:::1035:0:0:0:0.720511	3	3
ERR2:::10658:0:0:0:0.712974	3	3
ERR2:::10668:0:0:0:0.729346	3	3
ERR2:::10953:0:0:0:0.717663	3	3
ERR2:::11051:0:0:0:0.707116	3	3
ERR2:::11680:0:0:0:0.635600	3	3
ERR2:::11822:0:0:0:0.724017	3	3
ERR2:::12032:0:0:0:0.695739	3	3
ERR2:::12056:0:0:0:0.741824	3	3
ERR2:::12521:0:0:0:0.720630	3	3
