OTU	ERR0000002	classification
ERR2:18550.704365	16	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:62360.735779	16	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:77890.735864	16	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:180720.608633	14	Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Aspasma;Aspasma minima
ERR2:206260.727642	14	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:303850.718835	14	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:504070.706268	14	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:92020.723116	14	Eukaryota;Mollusca;Gastropoda;Calyptraeidae;Crepidula;Crepidula norrisiarum
ERR2:94690.608133	14	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Aesopia;Aesopia cornuta
ERR2:181480.710834	13	Eukaryota;Chordata;Amphibia;Anura;Hyperoliidae;Hyperolius;Hyperolius ocellatus
ERR2:372510.669104	13	Eukaryota;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Bruchidius;Bruchidius siliquastri
ERR2:382070.739292	13	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:471400.730431	13	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:152740.730297	12	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles lutzii s. l. 1 RS16
ERR2:199840.709649	12	Eukaryota;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Hydropsyche;Hydropsyche yenisar
ERR2:232170.734549	12	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:50840.698579	12	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:166960.660588	11	Eukaryota;Arthropoda;Insecta;Coleoptera;Scirtidae;Pseudomicrocara;Pseudomicrocara anthophilia
ERR2:233370.664583	11	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Diplacanthopoma;Diplacanthopoma brachysoma
ERR2:259600.722260	10	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:45900.677755	10	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:134710.680240	9	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:146910.709019	9	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chaetocladius;Chaetocladius dissipatus
ERR2:156250.630441	9	Eukaryota;Arthropoda;Malacostraca;Isopoda;Cylisticus;Cylisticus convexus
ERR2:259730.610910	9	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Chlorophanus;Chlorophanus sibiricus
ERR2:30950.737880	9	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:358850.735858	9	Eukaryota;Arthropoda;Insecta;Trichoptera;Leptoceridae;Triplectides;Triplectides tigrinus
ERR2:53180.721749	9	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus
ERR2:537570.686530	9	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Leucophenga;Leucophenga angusta
ERR2:62560.729801	9	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:102640.619703	8	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Zapogon;Zapogon evermanni
ERR2:11880.639695	8	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Scaptomyza;Scaptomyza palmae
ERR2:130900.695981	8	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Pontellidae;Pontellopsis;Pontellopsis tenuicauda
