OTU	amplicon	SRR1808870	total
666	SRR11808870:1064080.635995	2	2
668	SRR11808870:106520.640698	2	2
669	SRR11808870:1065250.614424	2	2
671	SRR11808870:1067670.606977	2	2
672	SRR11808870:1067880.658622	2	2
675	SRR11808870:1070270.613165	2	2
676	SRR11808870:1071010.640406	2	2
677	SRR11808870:107180.605150	2	2
679	SRR11808870:10730.613787	2	2
680	SRR11808870:1073090.618924	2	2
681	SRR11808870:1075800.648212	2	2
682	SRR11808870:1076010.600587	2	2
683	SRR11808870:1078610.625547	2	2
686	SRR11808870:1080480.634869	2	2
688	SRR11808870:108100.628412	2	2
690	SRR11808870:1082660.614408	2	2
692	SRR11808870:1084490.606849	2	2
694	SRR11808870:1085260.637052	2	2
697	SRR11808870:1090290.652864	2	2
698	SRR11808870:1092320.605686	2	2
703	SRR11808870:1096140.611428	2	2
704	SRR11808870:1096170.609744	2	2
708	SRR11808870:1097630.603354	2	2
712	SRR11808870:1106500.637373	2	2
713	SRR11808870:1106740.669621	2	2
714	SRR11808870:1106980.634294	2	2
717	SRR11808870:110840.662065	2	2
719	SRR11808870:1111540.616808	2	2
720	SRR11808870:1115840.670064	2	2
721	SRR11808870:1120120.641987	2	2
722	SRR11808870:1120800.632721	2	2
723	SRR11808870:1122530.608586	2	2
724	SRR11808870:1123350.601440	2	2
725	SRR11808870:1124580.621026	2	2
726	SRR11808870:1129580.616870	2	2
727	SRR11808870:1130360.647023	2	2
728	SRR11808870:1130670.624376	2	2
731	SRR11808870:1132810.621404	2	2
732	SRR11808870:113590.653151	2	2
734	SRR11808870:1137020.632347	2	2
740	SRR11808870:1145040.643379	2	2
744	SRR11808870:1151050.629311	2	2
745	SRR11808870:1151940.612407	2	2
750	SRR11808870:1157650.627682	2	2
751	SRR11808870:1159250.640254	2	2
752	SRR11808870:1159890.670037	2	2
753	SRR11808870:1159910.618600	2	2
754	SRR11808870:1160230.640656	2	2
757	SRR11808870:116710.623082	2	2
758	SRR11808870:1167770.630525	2	2
759	SRR11808870:1169300.648666	2	2
761	SRR11808870:1170930.608699	2	2
763	SRR11808870:1171540.607301	2	2
765	SRR11808870:1171930.607774	2	2
771	SRR11808870:1179450.660270	2	2
773	SRR11808870:1180410.613896	2	2
775	SRR11808870:1183970.634882	2	2
776	SRR11808870:1187380.633911	2	2
777	SRR11808870:1191240.639340	2	2
778	SRR11808870:1193650.661952	2	2
779	SRR11808870:1196620.612441	2	2
780	SRR11808870:1196630.638357	2	2
781	SRR11808870:1197120.628246	2	2
782	SRR11808870:1200110.611615	2	2
783	SRR11808870:1202280.612409	2	2
785	SRR11808870:1204300.620189	2	2
786	SRR11808870:1211390.637485	2	2
787	SRR11808870:1211960.645803	2	2
790	SRR11808870:1215580.607281	2	2
792	SRR11808870:1217280.672940	2	2
793	SRR11808870:1218130.637650	2	2
794	SRR11808870:1221160.625900	2	2
798	SRR11808870:1225080.642098	2	2
799	SRR11808870:1226090.631155	2	2
800	SRR11808870:1227610.622678	2	2
801	SRR11808870:1229200.652256	2	2
804	SRR11808870:1230450.614705	2	2
806	SRR11808870:1232010.634055	2	2
808	SRR11808870:1233630.614120	2	2
809	SRR11808870:1233820.638230	2	2
813	SRR11808870:1235890.637813	2	2
814	SRR11808870:1237000.627570	2	2
816	SRR11808870:1238730.654127	2	2
820	SRR11808870:1245900.632988	2	2
822	SRR11808870:1246590.619832	2	2
825	SRR11808870:1254140.634590	2	2
826	SRR11808870:1254460.638205	2	2
828	SRR11808870:1258270.655172	2	2
830	SRR11808870:126290.600445	2	2
833	SRR11808870:1266400.612693	2	2
835	SRR11808870:1269480.643419	2	2
837	SRR11808870:1271470.635406	2	2
840	SRR11808870:1273410.624012	2	2
841	SRR11808870:1274700.621742	2	2
843	SRR11808870:1277180.646216	2	2
844	SRR11808870:1279160.616362	2	2
845	SRR11808870:1279730.626177	2	2
848	SRR11808870:1281120.631105	2	2
849	SRR11808870:1281750.646502	2	2
850	SRR11808870:1282430.620934	2	2
853	SRR11808870:1283700.601426	2	2
854	SRR11808870:128470.647222	2	2
855	SRR11808870:1287220.618463	2	2
856	SRR11808870:1287830.662334	2	2
858	SRR11808870:1291870.624833	2	2
860	SRR11808870:1293690.623379	2	2
862	SRR11808870:1299890.663125	2	2
867	SRR11808870:1303960.624856	2	2
869	SRR11808870:1306200.603334	2	2
870	SRR11808870:1308440.643257	2	2
872	SRR11808870:1314320.613706	2	2
873	SRR11808870:1314980.641363	2	2
874	SRR11808870:1315280.655544	2	2
875	SRR11808870:1315430.614819	2	2
877	SRR11808870:1330360.610218	2	2
878	SRR11808870:1330440.645835	2	2
879	SRR11808870:1331070.636602	4	4
881	SRR11808870:1334100.604190	2	2
882	SRR11808870:1334450.627884	2	2
883	SRR11808870:1335060.630648	2	2
885	SRR11808870:1345400.623463	2	2
886	SRR11808870:1347920.607525	2	2
890	SRR11808870:1352950.610895	2	2
891	SRR11808870:1354100.626691	2	2
893	SRR11808870:1356050.619596	2	2
895	SRR11808870:1359500.630467	2	2
897	SRR11808870:1361530.661399	2	2
899	SRR11808870:1364190.644186	2	2
901	SRR11808870:1365730.633203	2	2
902	SRR11808870:1366860.640672	2	2
903	SRR11808870:137090.616170	2	2
905	SRR11808870:1372210.667242	2	2
906	SRR11808870:1372890.622364	2	2
908	SRR11808870:1375830.657852	2	2
910	SRR11808870:1379010.682274	2	2
914	SRR11808870:1390050.648555	2	2
917	SRR11808870:1391990.642437	2	2
919	SRR11808870:1393060.627044	2	2
921	SRR11808870:1396510.623253	2	2
923	SRR11808870:1397160.681725	2	2
