OTU	ERR3460466	classification
ERR3460466:1199070.639982	7	Eukaryota;Brachiopoda;Rhynchonellata;Terebratulida;Terebratellidae;Magellania;Magellania joubini
ERR3460466:1274630.609622	7	Eukaryota;Entoprocta;Pedicellinidae;Pedicellina;Pedicellina cernua
ERR3460466:213720.602551	7	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1019770.627613	6	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1056280.623078	6	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR3460466:1123920.608499	6	Eukaryota;Arthropoda;Insecta;Lepidoptera;Sesiidae;Pyropteron;Pyropteron chrysidiforme
ERR3460466:1128350.613368	6	Eukaryota;Arthropoda;Insecta;Diptera;Limoniidae;Shannonomyia;Shannonomyia lenta
ERR3460466:1162640.604494	6	Eukaryota;Porifera;Demospongiae;Halichondrida;Hymeniacidonidae;Hymeniacidon;Hymeniacidon sinapium
ERR3460466:1165430.641663	6	Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Dipylidiidae;Dipylidium;Dipylidium caninum
ERR3460466:16000.612786	6	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:228470.626267	6	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:289500.610748	6	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Lymanopoda;Lymanopoda confusa
ERR3460466:344570.604180	6	Eukaryota;Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus amphitrite
ERR3460466:1026040.605248	5	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1029180.635753	5	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:1091580.622942	5	Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus
ERR3460466:1097540.663621	5	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Anteaeolidiella;Anteaeolidiella lurana
ERR3460466:1131830.604315	5	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botryllus;Botryllus schlosseri
ERR3460466:1153550.613505	5	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR3460466:1211680.608584	5	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii
ERR3460466:1211770.615852	5	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:1222010.627296	5	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Dendostrea;Dendostrea crenulifera
ERR3460466:122310.655546	5	Eukaryota;Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa;Marphysa californica
ERR3460466:1304950.610518	5	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella tuberculata
ERR3460466:55170.607281	5	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:62310.630793	5	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1007490.618800	4	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460466:1012940.604647	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1016620.606599	4	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Lovenella;Lovenella assimilis
ERR3460466:1022530.613934	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1035390.602011	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1087660.624841	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1092510.625107	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1106220.648609	4	Eukaryota;Chordata;Actinopteri;Cypriniformes;Psilorhynchidae;Psilorhynchus;Psilorhynchus homaloptera
ERR3460466:1170100.600665	4	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Haematobia;Haematobia titillans
ERR3460466:1180970.614300	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:118420.617614	4	Eukaryota;Arthropoda;Insecta;Diptera;Tabanidae;Haematopota;Haematopota rara
ERR3460466:1199900.616518	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:1222670.621343	4	Eukaryota;Chordata;Actinopteri;Anguilliformes;Protanguillidae;Protanguilla;Protanguilla palau
ERR3460466:1245460.609426	4	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles nimbus
ERR3460466:1267320.610952	4	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botryllus;Botryllus schlosseri
ERR3460466:1272130.600496	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:142120.652319	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:185930.633861	4	Eukaryota;Chordata;Actinopteri;Siluriformes;Bagridae;Pseudobagrus;Pseudobagrus truncatus
ERR3460466:19270.664143	4	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii
ERR3460466:194900.619938	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:200130.656253	4	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Campanularia;Campanularia hincksii
ERR3460466:218290.607206	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:250830.617036	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:271690.610788	4	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pieridae;Lieinix;Lieinix nemesis
ERR3460466:281090.646852	4	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Misgurnus;Misgurnus bipartitus
ERR3460466:283580.615319	4	Eukaryota;Mollusca;Gastropoda;Ariophantidae;Victaphanta;Victaphanta compacta
ERR3460466:286860.631587	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:292770.608076	4	Eukaryota;Mollusca;Bivalvia;Ostreoida;Ostreidae;Ostrea;Ostrea stentina
ERR3460466:325230.629872	4	Eukaryota;Arthropoda;Insecta;Hymenoptera;Trigonalidae;Taeniogonalos;Taeniogonalos taihorina
ERR3460466:330110.622556	4	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza nr. acteae
ERR3460466:400760.602853	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
ERR3460466:461810.630698	4	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;Obelia dichotoma
ERR3460466:499530.620414	4	Eukaryota;Chordata;Actinopteri;Gonorynchiformes;Gonorynchidae;Gonorynchus;Gonorynchus abbreviatus
ERR3460466:507160.620362	4	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides nigrum
ERR3460466:5380.681469	4	Eukaryota;Arthropoda;Insecta;Coleoptera;Lampyridae;Photinus;Photinus umbratus
ERR3460466:845870.605312	4	Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa
