	ERR3460466
Hymeniacidon_sinapium_	32	
Hydrozoa_	14	
Campanularia_hincksii_	540	
Anteaeolidiella_lurana_	26	
Botryllus_schlosseri_	9	
Amphibalanus_amphitrite_	221	
Sabellaria_spinulosa_	4849	
Oscarella_tuberculata_	17	
Ostreidae_	128	
Eukaryota_	4275	
Ostrea_stentina_	387	
Gastropoda_	3	
Bugula_simplex_	6	
