amplicon	ERR0000003	total
ERR3:::73636:0:0:0:0.713966	3	3
ERR3:::75058:0:0:0:0.722997	3	3
ERR3:::7571:0:0:0:0.707485	3	3
ERR3:::77034:0:0:0:0.687307	3	3
ERR3:::77467:0:0:0:0.692284	3	3
ERR3:::77753:0:0:0:0.696596	3	3
ERR3:::78072:0:0:0:0.672814	3	3
ERR3:::80712:0:0:0:0.692010	3	3
ERR3:::8428:0:0:0:0.638905	3	3
ERR3:::85479:0:0:0:0.690021	3	3
ERR3:::8669:0:0:0:0.695477	3	3
ERR3:::90760:0:0:0:0.646882	3	3
ERR3:::9353:0:0:0:0.702477	3	3
ERR3:::95328:0:0:0:0.723103	3	3
ERR3:::99855:0:0:0:0.622839	3	3
ERR3:::100270:0:0:0:0.703781	2	2
ERR3:::100388:0:0:0:0.672862	2	2
ERR3:::100989:0:0:0:0.604108	2	2
ERR3:::101042:0:0:0:0.613478	2	2
ERR3:::10159:0:0:0:0.691888	2	2
ERR3:::102205:0:0:0:0.731227	2	2
ERR3:::102466:0:0:0:0.705074	2	2
ERR3:::103462:0:0:0:0.728517	2	2
ERR3:::104114:0:0:0:0.686093	2	2
ERR3:::10446:0:0:0:0.655260	2	2
ERR3:::104558:0:0:0:0.602184	2	2
ERR3:::105172:0:0:0:0.620541	2	2
ERR3:::105932:0:0:0:0.682743	2	2
ERR3:::106064:0:0:0:0.702104	2	2
ERR3:::1066:0:0:0:0.700956	2	2
ERR3:::107256:0:0:0:0.611702	2	2
ERR3:::108336:0:0:0:0.694077	2	2
ERR3:::109099:0:0:0:0.693748	2	2
ERR3:::109229:0:0:0:0.692940	2	2
ERR3:::109263:0:0:0:0.671210	2	2
ERR3:::10993:0:0:0:0.729316	2	2
ERR3:::11028:0:0:0:0.614089	2	2
ERR3:::110684:0:0:0:0.623728	2	2
ERR3:::111170:0:0:0:0.625143	2	2
ERR3:::111490:0:0:0:0.608485	2	2
ERR3:::111978:0:0:0:0.680016	2	2
ERR3:::11357:0:0:0:0.682273	2	2
ERR3:::113785:0:0:0:0.704835	2	2
ERR3:::114024:0:0:0:0.716299	2	2
ERR3:::114969:0:0:0:0.654384	2	2
ERR3:::115471:0:0:0:0.649006	2	2
ERR3:::115633:0:0:0:0.722048	2	2
ERR3:::116066:0:0:0:0.717363	2	2
ERR3:::116228:0:0:0:0.718005	2	2
ERR3:::117109:0:0:0:0.729660	2	2
ERR3:::11721:0:0:0:0.661153	2	2
ERR3:::117752:0:0:0:0.607990	2	2
ERR3:::117771:0:0:0:0.674960	2	2
ERR3:::117862:0:0:0:0.688485	2	2
ERR3:::118313:0:0:0:0.695621	2	2
ERR3:::118674:0:0:0:0.680466	2	2
ERR3:::119030:0:0:0:0.643626	2	2
ERR3:::11958:0:0:0:0.659161	2	2
ERR3:::120023:0:0:0:0.686755	2	2
ERR3:::125190:0:0:0:0.694293	2	2
ERR3:::126118:0:0:0:0.679839	2	2
ERR3:::126164:0:0:0:0.733710	2	2
ERR3:::126352:0:0:0:0.675234	2	2
ERR3:::12703:0:0:0:0.639945	2	2
ERR3:::127757:0:0:0:0.647867	2	2
ERR3:::12784:0:0:0:0.663235	2	2
ERR3:::12953:0:0:0:0.725983	2	2
ERR3:::129956:0:0:0:0.651242	2	2
ERR3:::129999:0:0:0:0.633163	2	2
ERR3:::130103:0:0:0:0.643499	2	2
ERR3:::13026:0:0:0:0.685241	2	2
ERR3:::130879:0:0:0:0.723355	2	2
ERR3:::132612:0:0:0:0.630360	2	2
ERR3:::13480:0:0:0:0.682013	2	2
ERR3:::134865:0:0:0:0.680041	2	2
ERR3:::135:0:0:0:0.707240	2	2
ERR3:::13519:0:0:0:0.662612	2	2
ERR3:::135273:0:0:0:0.623016	2	2
ERR3:::13537:0:0:0:0.651070	2	2
ERR3:::13603:0:0:0:0.675949	2	2
ERR3:::136182:0:0:0:0.622812	2	2
ERR3:::13686:0:0:0:0.668323	2	2
ERR3:::13696:0:0:0:0.692332	2	2
ERR3:::13744:0:0:0:0.686134	2	2
ERR3:::14026:0:0:0:0.731822	2	2
ERR3:::14464:0:0:0:0.609890	2	2
ERR3:::14659:0:0:0:0.686215	2	2
ERR3:::1485:0:0:0:0.715572	2	2
ERR3:::15238:0:0:0:0.664749	2	2
ERR3:::15411:0:0:0:0.616555	2	2
ERR3:::15519:0:0:0:0.745732	2	2
ERR3:::15572:0:0:0:0.663000	2	2
ERR3:::15583:0:0:0:0.688693	2	2
ERR3:::15653:0:0:0:0.607698	2	2
ERR3:::15703:0:0:0:0.659184	2	2
ERR3:::15901:0:0:0:0.724114	2	2
ERR3:::162:0:0:0:0.699717	2	2
ERR3:::16226:0:0:0:0.721063	2	2
ERR3:::16416:0:0:0:0.621408	2	2
ERR3:::1654:0:0:0:0.656881	2	2
ERR3:::17008:0:0:0:0.607390	2	2
ERR3:::17088:0:0:0:0.614601	2	2
ERR3:::17162:0:0:0:0.717843	2	2
ERR3:::1730:0:0:0:0.653377	2	2
ERR3:::17844:0:0:0:0.646213	2	2
ERR3:::17857:0:0:0:0.600339	2	2
ERR3:::17948:0:0:0:0.600879	2	2
ERR3:::18101:0:0:0:0.687085	2	2
ERR3:::19179:0:0:0:0.706962	2	2
ERR3:::1939:0:0:0:0.715234	2	2
ERR3:::19519:0:0:0:0.697887	2	2
ERR3:::19533:0:0:0:0.620058	2	2
ERR3:::19681:0:0:0:0.622946	2	2
ERR3:::19883:0:0:0:0.667909	2	2
ERR3:::200:0:0:0:0.607653	2	2
ERR3:::20402:0:0:0:0.678333	2	2
ERR3:::20447:0:0:0:0.675586	2	2
ERR3:::20459:0:0:0:0.714221	2	2
ERR3:::20794:0:0:0:0.666936	2	2
ERR3:::21175:0:0:0:0.712429	2	2
ERR3:::21486:0:0:0:0.637636	2	2
ERR3:::21489:0:0:0:0.670021	2	2
ERR3:::22044:0:0:0:0.686171	2	2
ERR3:::22049:0:0:0:0.643421	2	2
ERR3:::2232:0:0:0:0.715182	2	2
ERR3:::22325:0:0:0:0.692308	2	2
ERR3:::22795:0:0:0:0.616579	2	2
ERR3:::22864:0:0:0:0.718849	2	2
ERR3:::22912:0:0:0:0.739704	2	2
ERR3:::22934:0:0:0:0.652341	2	2
ERR3:::23152:0:0:0:0.658459	2	2
