OTU	amplicon	ERR0000003	total
14	ERR3:1024660.705074	2	2
23	ERR3:1261180.679839	2	2
46	ERR3:264570.693620	2	2
54	ERR3:316560.625617	2	2
60	ERR3:383790.698401	2	2
61	ERR3:39270.604701	2	2
62	ERR3:394800.620857	2	2
65	ERR3:437470.694665	2	2
68	ERR3:490590.623741	2	2
72	ERR3:528690.668505	2	2
74	ERR3:579440.636970	2	2
75	ERR3:586130.712821	2	2
79	ERR3:713010.677339	2	2
81	ERR3:725230.684557	2	2
85	ERR3:779450.647242	2	2
86	ERR3:78460.719970	2	2
91	ERR3:837160.695330	2	2
96	ERR3:1000070.687168	1	1
97	ERR3:1000120.679746	2	2
98	ERR3:1000210.604745	1	1
99	ERR3:1000270.669627	2	2
100	ERR3:1000380.700315	1	1
101	ERR3:1000390.693536	1	1
105	ERR3:1000490.614510	1	1
107	ERR3:1000540.675212	1	1
108	ERR3:1000560.600149	1	1
111	ERR3:1000670.646716	1	1
112	ERR3:1000730.720620	1	1
114	ERR3:1000780.684074	1	1
116	ERR3:1000890.734730	1	1
119	ERR3:1000950.692056	1	1
120	ERR3:1000980.684343	1	1
121	ERR3:100110.698233	1	1
123	ERR3:1001120.693831	1	1
124	ERR3:1001140.633730	2	2
126	ERR3:1001200.630497	1	1
130	ERR3:1001340.720933	1	1
135	ERR3:1001500.682574	1	1
137	ERR3:1001600.640327	1	1
139	ERR3:1001620.619010	1	1
145	ERR3:1001850.717723	2	2
146	ERR3:1001870.670815	1	1
147	ERR3:1001920.698410	1	1
148	ERR3:1001970.606362	1	1
149	ERR3:1002000.673721	1	1
150	ERR3:1002120.682292	1	1
151	ERR3:1002190.711725	1	1
152	ERR3:100220.687352	1	1
153	ERR3:1002220.677242	1	1
154	ERR3:1002250.671625	1	1
155	ERR3:1002260.616377	1	1
158	ERR3:100240.661095	2	2
159	ERR3:1002430.629268	1	1
160	ERR3:1002440.606839	1	1
161	ERR3:1002470.688275	1	1
163	ERR3:1002590.605753	1	1
164	ERR3:1002680.633787	1	1
166	ERR3:1002760.685705	1	1
167	ERR3:1002780.606747	1	1
168	ERR3:1002800.627677	1	1
169	ERR3:1002810.688003	1	1
170	ERR3:1002830.716242	1	1
171	ERR3:1002970.703321	1	1
172	ERR3:100300.616160	1	1
173	ERR3:1003030.689729	1	1
175	ERR3:1003080.664422	1	1
176	ERR3:1003090.717688	2	2
177	ERR3:1003120.694737	1	1
178	ERR3:1003240.627210	1	1
180	ERR3:1003330.690705	1	1
181	ERR3:1003420.623170	1	1
182	ERR3:1003500.702069	1	1
183	ERR3:1003540.701238	1	1
184	ERR3:1003600.612023	1	1
185	ERR3:1003640.682336	1	1
187	ERR3:1003750.603499	1	1
191	ERR3:1003960.680416	1	1
192	ERR3:1003970.703875	1	1
193	ERR3:1003990.703661	1	1
194	ERR3:10040.685012	1	1
195	ERR3:1004020.620351	1	1
196	ERR3:1004030.668399	2	2
197	ERR3:100410.663200	2	2
198	ERR3:1004150.676750	1	1
199	ERR3:1004170.709866	1	1
200	ERR3:1004260.666020	1	1
203	ERR3:1004450.607618	1	1
204	ERR3:1004460.703555	1	1
205	ERR3:1004480.628246	1	1
208	ERR3:1004820.688062	1	1
210	ERR3:1004860.725330	1	1
212	ERR3:1004910.671704	1	1
213	ERR3:1004970.703149	1	1
214	ERR3:1004990.671119	1	1
215	ERR3:1005030.702215	1	1
217	ERR3:1005050.699284	1	1
218	ERR3:1005070.673255	1	1
219	ERR3:1005100.671238	1	1
222	ERR3:1005180.645814	1	1
223	ERR3:100520.615520	1	1
225	ERR3:1005210.656236	1	1
226	ERR3:1005220.679871	1	1
228	ERR3:1005270.630174	1	1
231	ERR3:1005370.678492	1	1
233	ERR3:1005410.724515	1	1
234	ERR3:1005430.628846	1	1
236	ERR3:1005460.711333	1	1
237	ERR3:100550.634727	1	1
238	ERR3:1005540.679678	1	1
239	ERR3:1005550.690401	1	1
240	ERR3:1005610.641409	1	1
241	ERR3:1005670.643712	1	1
242	ERR3:1005700.650880	1	1
243	ERR3:1005740.701713	1	1
244	ERR3:1005750.643436	1	1
245	ERR3:1005780.685356	1	1
246	ERR3:1005810.631098	1	1
247	ERR3:1005820.642056	1	1
248	ERR3:1005870.647420	1	1
249	ERR3:1005880.625867	1	1
250	ERR3:1005890.607755	1	1
251	ERR3:1005910.656339	1	1
252	ERR3:10060.678994	1	1
253	ERR3:1006000.686729	1	1
254	ERR3:1006040.640007	1	1
255	ERR3:1006060.698746	1	1
258	ERR3:1006280.677913	1	1
