amplicon	ERR3460470	total
ERR3460470:271150.605407	7	7
ERR3460470:286160.624843	7	7
ERR3460470:29450.600332	7	7
ERR3460470:296530.606161	7	7
ERR3460470:304370.612899	7	7
ERR3460470:30490.642211	7	7
ERR3460470:33430.611521	7	7
ERR3460470:3700.604431	7	7
ERR3460470:390120.628136	7	7
ERR3460470:40.610972	7	7
ERR3460470:406960.608976	7	7
ERR3460470:41070.638709	7	7
ERR3460470:41340.611481	7	7
ERR3460470:44160.631925	7	7
ERR3460470:47820.652836	7	7
ERR3460470:47940.641943	7	7
ERR3460470:505520.611525	7	7
ERR3460470:51000.643601	7	7
ERR3460470:546010.605196	7	7
ERR3460470:54740.616724	7	7
ERR3460470:56220.627788	7	7
ERR3460470:56790.656700	7	7
ERR3460470:58760.622044	7	7
ERR3460470:629770.611606	7	7
ERR3460470:652420.651473	7	7
ERR3460470:66140.654094	7	7
ERR3460470:7920.606479	7	7
ERR3460470:80480.621609	7	7
ERR3460470:82250.634843	7	7
ERR3460470:8500.654043	7	7
ERR3460470:87600.622255	7	7
ERR3460470:88480.640016	7	7
ERR3460470:89840.612776	7	7
ERR3460470:91440.619755	7	7
ERR3460470:94500.646856	7	7
ERR3460470:97470.648255	7	7
ERR3460470:98070.602629	7	7
ERR3460470:100550.604097	6	6
ERR3460470:101900.625721	6	6
ERR3460470:102810.614848	6	6
ERR3460470:10730.605615	6	6
ERR3460470:108340.623955	6	6
ERR3460470:111930.609024	6	6
ERR3460470:119570.618297	6	6
ERR3460470:12120.618912	6	6
ERR3460470:121690.606163	6	6
ERR3460470:131400.646994	6	6
ERR3460470:131420.633074	6	6
ERR3460470:13460.607594	6	6
ERR3460470:147230.630273	6	6
ERR3460470:147720.665737	6	6
ERR3460470:148670.613886	6	6
ERR3460470:16630.646766	6	6
ERR3460470:166990.615898	6	6
ERR3460470:17970.603147	6	6
ERR3460470:180980.627316	6	6
ERR3460470:186290.603349	6	6
ERR3460470:186510.643312	6	6
ERR3460470:186990.610096	6	6
ERR3460470:194880.651520	6	6
ERR3460470:200680.614155	6	6
ERR3460470:203950.624133	6	6
ERR3460470:206840.605343	6	6
ERR3460470:207730.633992	6	6
ERR3460470:210830.638642	6	6
ERR3460470:213800.640256	6	6
ERR3460470:220160.618690	6	6
ERR3460470:22130.627939	6	6
ERR3460470:221490.621220	6	6
ERR3460470:221650.633424	6	6
ERR3460470:221800.632001	6	6
ERR3460470:221840.603970	6	6
ERR3460470:222710.617417	6	6
ERR3460470:223140.646388	6	6
ERR3460470:226240.605399	6	6
ERR3460470:227130.643121	6	6
ERR3460470:232510.600176	6	6
ERR3460470:23300.601138	6	6
ERR3460470:23890.627294	6	6
ERR3460470:242960.646002	6	6
ERR3460470:248330.631001	6	6
ERR3460470:252520.617026	6	6
ERR3460470:252560.618851	6	6
ERR3460470:257350.620690	6	6
ERR3460470:259660.642113	6	6
ERR3460470:261930.619450	6	6
ERR3460470:26960.637166	6	6
ERR3460470:286920.619783	6	6
ERR3460470:29000.627687	6	6
ERR3460470:291430.610695	6	6
ERR3460470:297180.627972	6	6
ERR3460470:29880.603932	6	6
ERR3460470:30470.639290	6	6
ERR3460470:30980.615710	6	6
ERR3460470:317330.634331	6	6
ERR3460470:32070.613095	6	6
ERR3460470:32200.620468	6	6
ERR3460470:32310.669114	6	6
ERR3460470:342360.612187	6	6
ERR3460470:343730.612798	6	6
ERR3460470:362570.667686	6	6
ERR3460470:392920.610941	6	6
ERR3460470:40690.601920	6	6
ERR3460470:40820.605571	6	6
ERR3460470:423550.607704	6	6
ERR3460470:42570.634896	6	6
ERR3460470:4480.620693	6	6
ERR3460470:458180.608933	6	6
ERR3460470:46040.620050	6	6
ERR3460470:47030.663252	6	6
ERR3460470:48070.604272	6	6
ERR3460470:481520.610647	6	6
ERR3460470:50990.607078	6	6
ERR3460470:5340.600988	6	6
ERR3460470:540490.635485	6	6
ERR3460470:547820.610760	6	6
ERR3460470:562750.604653	6	6
ERR3460470:56510.602590	6	6
ERR3460470:577800.650508	6	6
ERR3460470:583450.625584	6	6
ERR3460470:58750.635031	6	6
ERR3460470:58970.614719	6	6
ERR3460470:59770.609576	6	6
ERR3460470:61730.611256	6	6
ERR3460470:63280.629848	6	6
ERR3460470:65730.636999	6	6
ERR3460470:662460.623207	6	6
ERR3460470:66540.603665	6	6
ERR3460470:671900.637206	6	6
ERR3460470:68360.648937	6	6
ERR3460470:68530.632289	6	6
ERR3460470:69840.624564	6	6
ERR3460470:70830.602238	6	6
ERR3460470:8060.602245	6	6
ERR3460470:81610.639387	6	6
ERR3460470:84370.622727	6	6
ERR3460470:85490.619090	6	6
ERR3460470:86950.615956	6	6
ERR3460470:88780.641167	6	6
ERR3460470:89620.618575	6	6
ERR3460470:89870.601049	6	6
ERR3460470:89890.617365	6	6
ERR3460470:90700.640729	6	6
ERR3460470:94440.639527	6	6
ERR3460470:96240.669205	6	6
ERR3460470:96560.640887	6	6
ERR3460470:97490.626507	6	6
ERR3460470:98470.609232	6	6
ERR3460470:101290.650754	5	5
ERR3460470:101440.614752	5	5
ERR3460470:101880.613577	5	5
ERR3460470:1032950.627073	5	5
ERR3460470:10560.606753	5	5
ERR3460470:106180.607968	5	5
ERR3460470:107750.611016	5	5
ERR3460470:107790.658707	5	5
ERR3460470:108350.610147	5	5
ERR3460470:109010.607259	5	5
ERR3460470:111830.651125	5	5
ERR3460470:117990.648326	5	5
ERR3460470:12050.643288	5	5
ERR3460470:120670.607578	5	5
ERR3460470:122650.600430	5	5
ERR3460470:125090.627826	5	5
ERR3460470:125350.667636	5	5
ERR3460470:126950.643494	5	5
ERR3460470:127080.634340	5	5
ERR3460470:127380.630320	5	5
ERR3460470:128170.609655	5	5
ERR3460470:128950.630380	5	5
ERR3460470:129250.639226	5	5
ERR3460470:135570.655899	5	5
ERR3460470:138540.650302	5	5
ERR3460470:140870.608207	5	5
ERR3460470:140930.646283	5	5
ERR3460470:145530.617704	5	5
ERR3460470:148550.641601	5	5
ERR3460470:15280.633530	5	5
ERR3460470:158110.610731	5	5
ERR3460470:160450.634175	5	5
ERR3460470:161800.617430	5	5
ERR3460470:162310.673358	5	5
ERR3460470:165740.600762	5	5
ERR3460470:167090.614937	5	5
ERR3460470:168730.600047	5	5
ERR3460470:176290.616779	5	5
ERR3460470:176340.601827	5	5
ERR3460470:17640.617014	5	5
ERR3460470:178940.642859	5	5
ERR3460470:179180.631907	5	5
ERR3460470:179250.617835	5	5
ERR3460470:180320.601755	5	5
ERR3460470:181200.605382	5	5
ERR3460470:183820.632618	5	5
ERR3460470:184690.632263	5	5
ERR3460470:193190.646288	5	5
ERR3460470:19440.603067	5	5
ERR3460470:195700.611462	5	5
ERR3460470:198000.603542	5	5
ERR3460470:20070.618691	5	5
ERR3460470:206220.621934	5	5
ERR3460470:216810.620211	5	5
ERR3460470:22180.625917	5	5
ERR3460470:222820.603802	5	5
ERR3460470:225820.622276	5	5
ERR3460470:242390.619580	5	5
ERR3460470:24830.649840	5	5
ERR3460470:248550.621051	5	5
ERR3460470:25330.655686	5	5
ERR3460470:255230.614902	5	5
ERR3460470:257310.634043	5	5
ERR3460470:259150.613320	5	5
ERR3460470:263310.601745	5	5
ERR3460470:272710.631975	5	5
ERR3460470:274060.606373	5	5
ERR3460470:277680.620956	5	5
ERR3460470:279420.613307	5	5
ERR3460470:280290.643217	5	5
ERR3460470:285840.614798	5	5
ERR3460470:28980.600728	5	5
ERR3460470:29520.608276	5	5
ERR3460470:296840.604668	5	5
ERR3460470:299130.633677	5	5
ERR3460470:305560.600776	5	5
ERR3460470:312560.609384	5	5
ERR3460470:3170.619911	5	5
ERR3460470:318930.613445	5	5
ERR3460470:320190.622606	5	5
ERR3460470:321440.636825	5	5
ERR3460470:330530.632759	5	5
ERR3460470:335170.614776	5	5
ERR3460470:353540.614735	5	5
ERR3460470:361070.641120	5	5
ERR3460470:369460.645961	5	5
ERR3460470:384640.676714	5	5
ERR3460470:387010.600161	5	5
ERR3460470:399160.600568	5	5
ERR3460470:437100.635014	5	5
ERR3460470:439190.605095	5	5
ERR3460470:45460.615229	5	5
