OTU	ERR3460470	classification
ERR3460470:1131050.605640	15	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Cotesia;Cotesia koebelei
ERR3460470:1131310.654791	15	Eukaryota;Arthropoda;Insecta;Hemiptera;Machaerotidae;Apomachaerota;Apomachaerota reticulata
ERR3460470:1016450.631036	14	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
ERR3460470:1016260.616669	13	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
ERR3460470:1079790.633972	13	Eukaryota;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus gompanus
ERR3460470:1085050.617803	12	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Westracystis;Westracystis lissus
ERR3460470:1009350.612507	11	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1031360.622612	11	Eukaryota;Arthropoda;Insecta;Hemiptera;Halimococcidae;Colobopyga;Colobopyga pritchardiae
ERR3460470:1043930.625348	11	Eukaryota;Arthropoda;Insecta;Diptera;Acroceridae;Megalybus;Megalybus nr. pictus SLW-2002
ERR3460470:1155330.612787	11	Eukaryota;Chordata;Actinopteri;Osteoglossiformes;Mormyridae;Isichthys;Isichthys henryi
ERR3460470:1031980.615115	10	Eukaryota;Chordata;Mammalia;Rodentia;Heteromyidae;Microdipodops;Microdipodops pallidus
ERR3460470:1076070.629170	10	Eukaryota;Arthropoda;Insecta;Neuroptera;Chrysopidae;Chrysoperla;Chrysoperla pudica
ERR3460470:1086260.601522	10	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
ERR3460470:1154910.622684	10	Eukaryota;Chordata;Mammalia;Cetacea;Delphinidae;Lagenorhynchus;Lagenorhynchus australis
ERR3460470:1008280.610111	9	Eukaryota;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydaticus;Hydaticus arcuatus
ERR3460470:1011320.645044	9	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Neomaskellia;Neomaskellia andropogonis
ERR3460470:1067640.629835	9	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupanodon;Clupanodon thrissa
ERR3460470:1103660.635412	9	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR3460470:116690.607160	9	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Algia;Algia fasciata
ERR3460470:1229080.623057	9	Eukaryota;Arthropoda;Insecta;Coleoptera;Cleridae;Stigmatium;Stigmatium laevium
ERR3460470:1269750.601901	9	Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Plumulariidae;Plumularia;Plumularia hyalina
ERR3460470:1017280.601842	8	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
ERR3460470:1037130.657612	8	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Liachirus;Liachirus melanospilos
ERR3460470:1039340.628951	8	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Rosacea;Rosacea cymbiformis
ERR3460470:1041730.616322	8	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1046740.635722	8	Eukaryota;Porifera;Demospongiae;Hadromerida;Polymastiidae;Polymastia;Polymastia littoralis
ERR3460470:1087000.609352	8	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Kalidos;Kalidos balstoni
ERR3460470:1105600.610239	8	Eukaryota;Chordata;Mammalia;Diprotodontia;Potoroidae;Hypsiprymnodon;Hypsiprymnodon moschatus
ERR3460470:1112920.603188	8	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Aliciidae;Alicia;Alicia sansibarensis
ERR3460470:1156570.655204	8	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Napomyza;Napomyza cichorii
ERR3460470:1210090.620080	8	Eukaryota;Mollusca;Bivalvia;Unionoida;Unionidae;Anodonta;Anodonta euscaphys
ERR3460470:1243670.614956	8	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR3460470:1014770.615968	7	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Pauropsalta;Pauropsalta melanopygia
ERR3460470:1027720.635590	7	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Prionus;Prionus insularis
ERR3460470:1090080.609195	7	Eukaryota;Arthropoda;Insecta;Hemiptera;Halimococcidae;Colobopyga;Colobopyga pritchardiae
ERR3460470:1124410.622616	7	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Pseudocorticium;Pseudocorticium jarrei
ERR3460470:1158180.650206	7	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;Achelia bituberculata
ERR3460470:117360.650530	7	Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Pterothrissus;Pterothrissus gissu
ERR3460470:119030.623497	7	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1192970.616438	7	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartia;Sagartia ornata
ERR3460470:1193020.620229	7	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Tribolodon;Tribolodon ezoe
ERR3460470:1244090.618248	7	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis
ERR3460470:1342970.639110	7	Eukaryota;Cnidaria;Calicogorgia;Calicogorgia granulosa
ERR3460470:172710.652365	7	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1023750.631252	6	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytomyza;Phytomyza nr. acteae
ERR3460470:1025370.635692	6	Eukaryota;Chordata;Actinopteri;Aulopiformes;Notosudidae;Scopelosaurus;Scopelosaurus hoedti
ERR3460470:102680.607647	6	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Popplepsalta (nomen nudum);Popplepsalta subtropica (nomen nudum)
ERR3460470:1051070.603103	6	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Caldwellia;Caldwellia angularis
ERR3460470:105390.658637	6	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Neotibicen;Neotibicen nr. similaris DCM-2015
ERR3460470:105840.608420	6	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Therophilus;Therophilus festivus
ERR3460470:1063770.602891	6	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
ERR3460470:1075180.659396	6	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Physophoridae;Physophora;Physophora hydrostatica
ERR3460470:1091810.600779	6	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
ERR3460470:1104950.617036	6	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1122600.611679	6	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1168220.640300	6	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Moerisiidae;Moerisia;Moerisia inkermanica
ERR3460470:1234750.655080	6	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Diplacanthopoma;Diplacanthopoma brachysoma
ERR3460470:217940.619440	6	Eukaryota;Chordata;Actinopteri;Cypriniformes;Psilorhynchidae;Psilorhynchus;Psilorhynchus homaloptera
ERR3460470:1004090.616330	5	Eukaryota;Arthropoda;Arachnida;Astigmata;Psoroptidae;Otodectes;Otodectes cynotis
ERR3460470:1078620.615169	5	Eukaryota;Porifera;Demospongiae;Haplosclerida;Niphatidae;Amphimedon;Amphimedon queenslandica
ERR3460470:1083450.645725	5	Eukaryota;Arthropoda;Insecta;Coleoptera;Cerambycidae;Olenecamptus;Olenecamptus cretaceus
ERR3460470:1085780.630386	5	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR3460470:1088230.615643	5	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Peloparion;Peloparion submissus
ERR3460470:112560.628284	5	Eukaryota;Rhombozoa;Dicyemida;Dicyemidae;Dicyema;Dicyema misakiense
ERR3460470:1147910.622276	5	Eukaryota;Arthropoda;Arachnida;Scorpiones;Bothriuridae;Brachistosternus;Brachistosternus galianoae
ERR3460470:1164040.626268	5	Eukaryota;Arthropoda;Insecta;Coleoptera;Staphylinidae;Dianous;Dianous alternans
ERR3460470:1195400.607476	5	Eukaryota;Arthropoda;Insecta;Neuroptera;Mantispidae;Trichoscelia;Trichoscelia iridella
ERR3460470:1200430.622886	5	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1203760.607516	5	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
ERR3460470:1248110.628479	5	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Raspailiidae;Hymeraphia;Hymeraphia breeni
ERR3460470:1251270.625786	5	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Tanystylidae;Tanystylum;Tanystylum californicum
ERR3460470:125780.616028	5	Eukaryota;Porifera;Demospongiae;Hadromerida;Tethyidae;Tethya;Tethya actinia
ERR3460470:142120.615988	5	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Taeniamia;Taeniamia kagoshimanus
ERR3460470:1441020.603348	5	Eukaryota;Echinodermata;Crinoidea;Comatulida;Comatulidae;Comactinia;Comactinia meridionalis
ERR3460470:322560.601600	5	Eukaryota;Cnidaria;Hydrozoa;Narcomedusae;Tetraplatia;Tetraplatia volitans
ERR3460470:1015280.656592	4	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Hadoa;Hadoa chiricahua
ERR3460470:1029630.623479	4	Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Lachneratus;Lachneratus phasmaticus
ERR3460470:1029730.622267	4	Eukaryota;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Ammothella;Ammothella tuberculata
ERR3460470:104910.607838	4	Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Trachypithecus;Trachypithecus cristatus
ERR3460470:1075910.632648	4	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR3460470:1089300.600064	4	Eukaryota;Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera scabricula
