amplicon	linearized.dereplicate_ERR3460470.merged.fastq	total
ERR3460470:::1905:0:0:0:0.614653	8	8
ERR3460470:::1959:0:0:0:0.655450	8	8
ERR3460470:::19765:0:0:0:0.622018	8	8
ERR3460470:::2006:0:0:0:0.607983	8	8
ERR3460470:::21088:0:0:0:0.615367	8	8
ERR3460470:::21145:0:0:0:0.621949	8	8
ERR3460470:::2216:0:0:0:0.621762	8	8
ERR3460470:::23080:0:0:0:0.600737	8	8
ERR3460470:::2395:0:0:0:0.621075	8	8
ERR3460470:::2658:0:0:0:0.608198	8	8
ERR3460470:::2852:0:0:0:0.626759	8	8
ERR3460470:::2866:0:0:0:0.649534	8	8
ERR3460470:::30657:0:0:0:0.617213	8	8
ERR3460470:::31465:0:0:0:0.656069	8	8
ERR3460470:::3208:0:0:0:0.618021	8	8
ERR3460470:::34780:0:0:0:0.621044	8	8
ERR3460470:::4319:0:0:0:0.658303	8	8
ERR3460470:::4353:0:0:0:0.617861	8	8
ERR3460470:::47205:0:0:0:0.606457	8	8
ERR3460470:::5008:0:0:0:0.628067	8	8
ERR3460470:::51000:0:0:0:0.621779	8	8
ERR3460470:::5367:0:0:0:0.662686	8	8
ERR3460470:::545:0:0:0:0.626175	8	8
ERR3460470:::54617:0:0:0:0.614556	8	8
ERR3460470:::6391:0:0:0:0.607450	8	8
ERR3460470:::72961:0:0:0:0.634349	8	8
ERR3460470:::7684:0:0:0:0.610087	8	8
ERR3460470:::7708:0:0:0:0.664810	8	8
ERR3460470:::8105:0:0:0:0.662220	8	8
ERR3460470:::8325:0:0:0:0.611274	8	8
ERR3460470:::8435:0:0:0:0.613137	8	8
ERR3460470:::8922:0:0:0:0.656937	8	8
ERR3460470:::9177:0:0:0:0.631358	8	8
ERR3460470:::950:0:0:0:0.600049	8	8
ERR3460470:::10006:0:0:0:0.616932	7	7
ERR3460470:::10013:0:0:0:0.651916	7	7
ERR3460470:::10250:0:0:0:0.657473	7	7
ERR3460470:::10785:0:0:0:0.637458	7	7
ERR3460470:::10833:0:0:0:0.613549	7	7
ERR3460470:::10875:0:0:0:0.622348	7	7
ERR3460470:::1296:0:0:0:0.606912	7	7
ERR3460470:::13184:0:0:0:0.620701	7	7
ERR3460470:::13283:0:0:0:0.636584	7	7
ERR3460470:::1354:0:0:0:0.612449	7	7
ERR3460470:::14488:0:0:0:0.603509	7	7
ERR3460470:::14533:0:0:0:0.626327	7	7
