OTU	amplicon	ERR3460470	total
20	ERR3460470:100150.636559	2	2
23	ERR3460470:1003170.721086	1	1
28	ERR3460470:1004730.675531	1	1
31	ERR3460470:1006370.607661	1	1
34	ERR3460470:1009100.622322	1	1
41	ERR3460470:1013600.655154	1	1
45	ERR3460470:1015360.605296	2	2
54	ERR3460470:1029590.614241	1	1
59	ERR3460470:1033970.650580	1	1
64	ERR3460470:1040070.673202	1	1
65	ERR3460470:1040570.636872	1	1
66	ERR3460470:1040870.679462	1	1
68	ERR3460470:104300.653000	1	1
69	ERR3460470:1043330.604569	1	1
75	ERR3460470:1048270.610660	1	1
80	ERR3460470:1051450.698474	1	1
81	ERR3460470:1051870.670816	2	2
83	ERR3460470:1054820.609333	1	1
89	ERR3460470:1069950.634848	2	2
90	ERR3460470:1073930.607909	1	1
97	ERR3460470:1083030.600339	1	1
102	ERR3460470:1086360.608199	1	1
104	ERR3460470:1087140.609241	1	1
106	ERR3460470:1088570.644384	2	2
111	ERR3460470:1091380.629809	1	1
113	ERR3460470:1095330.615049	1	1
114	ERR3460470:1097270.619740	1	1
116	ERR3460470:1104720.614800	2	2
119	ERR3460470:1106010.605458	1	1
121	ERR3460470:1113550.626456	2	2
125	ERR3460470:1116650.647751	1	1
127	ERR3460470:1119640.637203	1	1
132	ERR3460470:1125110.617590	1	1
138	ERR3460470:1146940.604074	1	1
143	ERR3460470:1155060.718331	1	1
149	ERR3460470:116260.684744	1	1
152	ERR3460470:1168080.615524	1	1
155	ERR3460470:1170300.601650	1	1
156	ERR3460470:1170890.617058	2	2
157	ERR3460470:1172270.618888	1	1
158	ERR3460470:1173470.640620	1	1
161	ERR3460470:1178250.655192	1	1
162	ERR3460470:1179330.604703	1	1
163	ERR3460470:118340.634040	1	1
164	ERR3460470:1190150.629958	1	1
168	ERR3460470:119360.611023	1	1
172	ERR3460470:1197230.603029	2	2
174	ERR3460470:1199630.636940	2	2
176	ERR3460470:1200710.614728	1	1
178	ERR3460470:1204240.601071	1	1
179	ERR3460470:1207060.645362	1	1
180	ERR3460470:1207600.610146	2	2
182	ERR3460470:1209170.624113	2	2
183	ERR3460470:1209560.662697	1	1
186	ERR3460470:1210530.639004	1	1
187	ERR3460470:1211360.715769	1	1
188	ERR3460470:1211500.614599	1	1
189	ERR3460470:1211580.625472	1	1
191	ERR3460470:1217020.602039	1	1
192	ERR3460470:1217280.607779	1	1
193	ERR3460470:1221500.609297	1	1
194	ERR3460470:1223980.607630	2	2
195	ERR3460470:1224780.630823	1	1
196	ERR3460470:1227060.661102	1	1
197	ERR3460470:1227580.637599	2	2
200	ERR3460470:1230470.636343	1	1
202	ERR3460470:1235110.620121	2	2
203	ERR3460470:12370.611753	1	1
204	ERR3460470:123750.721526	1	1
207	ERR3460470:1239710.641138	1	1
210	ERR3460470:1243100.612601	1	1
214	ERR3460470:1246450.717405	1	1
215	ERR3460470:1247650.625517	1	1
218	ERR3460470:124960.601871	1	1
221	ERR3460470:1266870.615610	1	1
222	ERR3460470:1267430.684917	1	1
223	ERR3460470:126750.636287	1	1
224	ERR3460470:1269280.662908	1	1
226	ERR3460470:1270390.640774	2	2
228	ERR3460470:1277730.628202	2	2
229	ERR3460470:1278550.656330	2	2
230	ERR3460470:1280800.646282	2	2
231	ERR3460470:1284130.620253	1	1
232	ERR3460470:1286100.629623	1	1
233	ERR3460470:128750.616682	1	1
234	ERR3460470:1289520.600426	1	1
235	ERR3460470:1290400.625465	1	1
237	ERR3460470:1291880.627476	2	2
238	ERR3460470:1292190.612161	2	2
239	ERR3460470:1293750.640367	2	2
241	ERR3460470:1305800.608425	1	1
242	ERR3460470:1306810.661214	1	1
243	ERR3460470:1309010.615210	1	1
244	ERR3460470:1309840.605905	1	1
245	ERR3460470:1312860.607253	1	1
246	ERR3460470:1312940.615752	1	1
248	ERR3460470:1315270.617971	1	1
249	ERR3460470:1317330.608761	1	1
250	ERR3460470:1317420.620435	2	2
251	ERR3460470:1318660.654810	1	1
252	ERR3460470:1319340.603127	1	1
253	ERR3460470:1319780.688316	1	1
254	ERR3460470:1321000.607071	1	1
255	ERR3460470:1324340.604291	2	2
256	ERR3460470:1324470.664800	1	1
257	ERR3460470:1325670.637376	1	1
258	ERR3460470:1326450.634996	2	2
259	ERR3460470:1326880.605142	1	1
260	ERR3460470:1327130.700377	1	1
261	ERR3460470:1327240.630893	1	1
262	ERR3460470:1328690.614467	1	1
263	ERR3460470:1329180.634810	1	1
266	ERR3460470:1346160.686249	1	1
267	ERR3460470:1350070.617261	1	1
270	ERR3460470:1358680.653469	1	1
271	ERR3460470:1359140.613479	2	2
272	ERR3460470:1369760.661333	1	1
274	ERR3460470:1380650.631109	1	1
275	ERR3460470:1381130.600249	2	2
276	ERR3460470:1389520.613460	1	1
277	ERR3460470:1391960.677247	1	1
278	ERR3460470:1393410.609604	1	1
279	ERR3460470:1393590.615314	1	1
280	ERR3460470:1393650.619705	1	1
281	ERR3460470:1395620.602843	1	1
282	ERR3460470:1397500.671166	1	1
283	ERR3460470:1398110.680189	1	1
284	ERR3460470:1401360.627819	1	1
285	ERR3460470:1401390.628174	2	2
287	ERR3460470:1402710.636978	1	1
288	ERR3460470:1403960.701093	1	1
290	ERR3460470:1406060.629050	1	1
291	ERR3460470:1407240.645097	2	2
292	ERR3460470:1409770.608837	1	1
294	ERR3460470:1410260.604070	1	1
296	ERR3460470:141440.725452	1	1
297	ERR3460470:1414720.626437	1	1
298	ERR3460470:141560.622043	2	2
299	ERR3460470:142040.605180	2	2
301	ERR3460470:1426840.674054	1	1
303	ERR3460470:1432490.653042	2	2
304	ERR3460470:1436150.643409	2	2
305	ERR3460470:1437930.638166	2	2
306	ERR3460470:1437990.668671	2	2
308	ERR3460470:1443330.720381	1	1
309	ERR3460470:1445140.695148	2	2
310	ERR3460470:1446550.618838	2	2
311	ERR3460470:1447100.625909	2	2
312	ERR3460470:1449040.660175	1	1
314	ERR3460470:1451850.636039	1	1
315	ERR3460470:1452140.699822	1	1
316	ERR3460470:1453710.670662	1	1
317	ERR3460470:1454240.612887	1	1
322	ERR3460470:159110.600183	1	1
323	ERR3460470:165360.624588	1	1
324	ERR3460470:167680.611083	1	1
325	ERR3460470:169460.688495	1	1
326	ERR3460470:170730.610074	1	1
328	ERR3460470:171390.684791	1	1
329	ERR3460470:17150.603094	2	2
331	ERR3460470:172760.608091	1	1
332	ERR3460470:174970.703782	1	1
333	ERR3460470:174990.636093	1	1
334	ERR3460470:176500.628375	1	1
335	ERR3460470:178780.606022	1	1
336	ERR3460470:180170.643547	2	2
338	ERR3460470:183960.636625	1	1
339	ERR3460470:191710.618909	1	1
341	ERR3460470:209720.703389	1	1
342	ERR3460470:210920.614706	1	1
343	ERR3460470:216480.613578	1	1
345	ERR3460470:219110.601998	1	1
346	ERR3460470:220410.647042	1	1
347	ERR3460470:223090.620219	2	2
348	ERR3460470:223200.681844	1	1
349	ERR3460470:22430.715342	1	1
350	ERR3460470:229630.633737	2	2
351	ERR3460470:229730.607812	2	2
353	ERR3460470:237800.612003	1	1
354	ERR3460470:238490.652525	1	1
356	ERR3460470:241650.697439	1	1
357	ERR3460470:252540.670162	1	1
358	ERR3460470:255170.673503	1	1
359	ERR3460470:257750.603260	1	1
360	ERR3460470:257990.610788	1	1
361	ERR3460470:260520.649391	1	1
362	ERR3460470:26410.606965	1	1
363	ERR3460470:269800.602339	2	2
364	ERR3460470:270090.612205	1	1
365	ERR3460470:272860.618116	1	1
366	ERR3460470:273400.617571	1	1
367	ERR3460470:276250.635241	2	2
368	ERR3460470:276900.629646	1	1
370	ERR3460470:281320.634365	1	1
371	ERR3460470:28140.630068	1	1
372	ERR3460470:283300.630900	1	1
373	ERR3460470:28390.706664	2	2
374	ERR3460470:284360.651772	2	2
375	ERR3460470:285830.605027	1	1
376	ERR3460470:286480.656065	1	1
377	ERR3460470:286810.620222	1	1
378	ERR3460470:289370.621301	2	2
379	ERR3460470:289740.600308	1	1
380	ERR3460470:294370.710982	1	1
381	ERR3460470:309030.615349	2	2
382	ERR3460470:310360.608679	1	1
383	ERR3460470:313400.610267	1	1
384	ERR3460470:313650.616896	2	2
386	ERR3460470:314410.666096	1	1
387	ERR3460470:314760.635793	1	1
389	ERR3460470:321430.617507	1	1
391	ERR3460470:322600.638214	1	1
392	ERR3460470:323410.646277	1	1
393	ERR3460470:324520.602635	2	2
394	ERR3460470:333330.660010	1	1
396	ERR3460470:345940.602080	1	1
399	ERR3460470:352500.617324	2	2
400	ERR3460470:358620.622239	1	1
401	ERR3460470:361360.636797	1	1
403	ERR3460470:37650.602300	1	1
404	ERR3460470:379630.639254	1	1
405	ERR3460470:385970.619236	1	1
406	ERR3460470:395250.694551	1	1
407	ERR3460470:398530.632525	1	1
408	ERR3460470:399470.632224	1	1
409	ERR3460470:401160.651855	1	1
410	ERR3460470:402920.619187	1	1
411	ERR3460470:403180.619160	1	1
412	ERR3460470:403690.600104	1	1
413	ERR3460470:406370.695114	1	1
414	ERR3460470:409180.602375	1	1
415	ERR3460470:411320.601559	2	2
416	ERR3460470:421940.605540	1	1
417	ERR3460470:424990.602980	1	1
418	ERR3460470:427230.606985	1	1
419	ERR3460470:436870.708811	1	1
420	ERR3460470:443840.676048	1	1
421	ERR3460470:450130.699341	1	1
422	ERR3460470:452160.613222	1	1
423	ERR3460470:455080.698095	1	1
424	ERR3460470:456490.624145	2	2
425	ERR3460470:459900.601335	1	1
426	ERR3460470:460930.702438	1	1
427	ERR3460470:461610.612651	1	1
428	ERR3460470:469920.704429	1	1
429	ERR3460470:474590.601747	1	1
430	ERR3460470:477130.613957	2	2
431	ERR3460470:483360.616509	1	1
432	ERR3460470:483400.709072	1	1
433	ERR3460470:495740.627298	1	1
434	ERR3460470:495770.692355	1	1
435	ERR3460470:499400.604041	2	2
436	ERR3460470:505240.618589	2	2
437	ERR3460470:512240.613001	1	1
438	ERR3460470:535760.714001	2	2
439	ERR3460470:542500.626069	1	1
440	ERR3460470:54970.614289	1	1
441	ERR3460470:549920.611575	2	2
442	ERR3460470:550550.610332	1	1
443	ERR3460470:556090.626836	1	1
444	ERR3460470:56740.672869	1	1
445	ERR3460470:570520.610465	2	2
446	ERR3460470:573940.623453	1	1
447	ERR3460470:575040.677299	1	1
448	ERR3460470:581230.602065	1	1
449	ERR3460470:593630.610880	2	2
450	ERR3460470:595350.622181	1	1
451	ERR3460470:596310.667129	1	1
452	ERR3460470:598440.631888	1	1
453	ERR3460470:598590.607351	1	1
454	ERR3460470:601340.663912	1	1
455	ERR3460470:607900.604054	1	1
456	ERR3460470:620820.643940	1	1
457	ERR3460470:624350.630652	1	1
458	ERR3460470:625960.635150	1	1
459	ERR3460470:62630.627003	1	1
461	ERR3460470:634920.712435	1	1
462	ERR3460470:649640.704273	1	1
463	ERR3460470:650560.665424	1	1
464	ERR3460470:662370.616332	1	1
465	ERR3460470:664280.667227	1	1
466	ERR3460470:669880.620127	1	1
467	ERR3460470:67380.621295	1	1
468	ERR3460470:680640.606360	1	1
469	ERR3460470:682120.619407	1	1
470	ERR3460470:688630.621407	1	1
471	ERR3460470:691410.725786	1	1
473	ERR3460470:702970.632150	1	1
474	ERR3460470:70640.600742	1	1
475	ERR3460470:70860.600878	1	1
476	ERR3460470:712490.645108	1	1
477	ERR3460470:724100.650367	1	1
478	ERR3460470:734360.631489	1	1
479	ERR3460470:737380.600685	1	1
480	ERR3460470:747670.636065	1	1
481	ERR3460470:748470.607405	2	2
482	ERR3460470:751080.604099	1	1
483	ERR3460470:75310.608309	1	1
484	ERR3460470:765390.603531	1	1
485	ERR3460470:767230.602968	1	1
486	ERR3460470:771820.644874	1	1
487	ERR3460470:774540.629972	1	1
488	ERR3460470:775950.628185	1	1
489	ERR3460470:777800.662526	1	1
490	ERR3460470:782230.645153	1	1
491	ERR3460470:782290.652613	1	1
492	ERR3460470:782540.686932	1	1
493	ERR3460470:79020.615407	1	1
494	ERR3460470:791340.600522	1	1
495	ERR3460470:79230.603849	1	1
496	ERR3460470:799070.683942	1	1
497	ERR3460470:799360.604013	1	1
498	ERR3460470:801990.605133	1	1
499	ERR3460470:807330.687664	1	1
501	ERR3460470:810150.626529	1	1
502	ERR3460470:818710.620724	1	1
503	ERR3460470:818730.622596	1	1
504	ERR3460470:819570.601129	1	1
505	ERR3460470:819610.608145	1	1
506	ERR3460470:821430.617896	1	1
507	ERR3460470:821640.605099	1	1
508	ERR3460470:823250.671612	1	1
509	ERR3460470:824720.618782	1	1
510	ERR3460470:828110.663415	1	1
511	ERR3460470:829830.608379	1	1
512	ERR3460470:847250.628637	1	1
513	ERR3460470:84900.645514	1	1
514	ERR3460470:852540.608182	1	1
515	ERR3460470:853040.621949	1	1
516	ERR3460470:857630.723877	1	1
517	ERR3460470:85770.624513	1	1
518	ERR3460470:862880.611668	1	1
519	ERR3460470:875880.601945	1	1
520	ERR3460470:878250.670568	1	1
521	ERR3460470:879390.602760	1	1
522	ERR3460470:879880.693551	1	1
523	ERR3460470:881090.688513	1	1
524	ERR3460470:884320.610706	1	1
525	ERR3460470:884880.688077	1	1
526	ERR3460470:889490.621531	1	1
527	ERR3460470:890550.603292	1	1
528	ERR3460470:896430.673567	1	1
529	ERR3460470:896700.612728	1	1
530	ERR3460470:902080.614698	1	1
531	ERR3460470:904740.616973	1	1
532	ERR3460470:909650.702615	1	1
533	ERR3460470:914890.618697	1	1
534	ERR3460470:917540.663572	1	1
535	ERR3460470:925040.608708	1	1
536	ERR3460470:925950.694751	1	1
537	ERR3460470:926890.682350	1	1
538	ERR3460470:926930.608885	1	1
539	ERR3460470:927860.640766	1	1
540	ERR3460470:930820.603595	1	1
541	ERR3460470:934630.624016	1	1
542	ERR3460470:938120.603801	1	1
543	ERR3460470:939860.603274	1	1
544	ERR3460470:94310.673923	1	1
545	ERR3460470:948250.612833	1	1
546	ERR3460470:948810.683962	1	1
547	ERR3460470:952060.611777	1	1
548	ERR3460470:95430.616533	1	1
549	ERR3460470:955430.601269	1	1
550	ERR3460470:957980.604431	1	1
551	ERR3460470:960180.637104	1	1
552	ERR3460470:964200.600200	1	1
553	ERR3460470:968080.628377	1	1
554	ERR3460470:97360.603749	1	1
555	ERR3460470:980030.620097	1	1
556	ERR3460470:986060.607329	1	1
557	ERR3460470:986570.634991	1	1
558	ERR3460470:997710.643304	1	1
