OTU	amplicon	SRR1808872	total
6	SRR11808872:2462170.629692	20	20
113	SRR11808872:4991000.636746	52	52
133	SRR11808872:1000870.611098	2	2
137	SRR11808872:1007380.608731	2	2
138	SRR11808872:1014590.602217	2	2
139	SRR11808872:1017720.620776	2	2
140	SRR11808872:1021900.629766	2	2
142	SRR11808872:1042880.624320	2	2
145	SRR11808872:106680.643122	2	2
147	SRR11808872:1089550.617359	2	2
148	SRR11808872:1090190.629660	2	2
150	SRR11808872:109180.608181	2	2
152	SRR11808872:1115750.625733	2	2
154	SRR11808872:1116880.614499	2	2
156	SRR11808872:1122640.606568	2	2
158	SRR11808872:1140240.616072	2	2
162	SRR11808872:1169070.619918	2	2
165	SRR11808872:1198120.616712	2	2
167	SRR11808872:1202910.628308	2	2
176	SRR11808872:1279430.608230	2	2
178	SRR11808872:1282470.603093	2	2
179	SRR11808872:1283270.657979	2	2
180	SRR11808872:1283960.602210	2	2
181	SRR11808872:1292770.605703	2	2
183	SRR11808872:1294440.627741	2	2
185	SRR11808872:1302880.624949	2	2
186	SRR11808872:1303670.621099	2	2
187	SRR11808872:1305160.612626	2	2
188	SRR11808872:1333170.617490	2	2
189	SRR11808872:1337150.631929	2	2
191	SRR11808872:1350550.609330	2	2
193	SRR11808872:1360850.607954	2	2
197	SRR11808872:1388760.613870	2	2
198	SRR11808872:1400020.632249	2	2
199	SRR11808872:1415590.609718	2	2
200	SRR11808872:1417270.614570	2	2
203	SRR11808872:1469990.603810	2	2
204	SRR11808872:1520030.618341	2	2
205	SRR11808872:1529500.620682	2	2
206	SRR11808872:1532330.610304	2	2
207	SRR11808872:1536930.627474	2	2
208	SRR11808872:1554380.615821	2	2
209	SRR11808872:1565890.628898	2	2
212	SRR11808872:1608470.604281	2	2
213	SRR11808872:1613030.606641	2	2
214	SRR11808872:1614640.618301	2	2
215	SRR11808872:1639930.633646	2	2
216	SRR11808872:1648200.639563	2	2
217	SRR11808872:1651300.620582	2	2
219	SRR11808872:1673570.609429	2	2
222	SRR11808872:170320.610530	2	2
224	SRR11808872:1723230.621127	2	2
225	SRR11808872:1723850.605634	2	2
226	SRR11808872:1725370.606444	2	2
227	SRR11808872:1735380.616496	2	2
228	SRR11808872:174730.608202	2	2
229	SRR11808872:1758520.607972	2	2
232	SRR11808872:1786540.641844	2	2
233	SRR11808872:1787040.611103	2	2
234	SRR11808872:1814620.622887	2	2
236	SRR11808872:1838400.620884	2	2
241	SRR11808872:1914150.619998	2	2
242	SRR11808872:1929540.621571	2	2
243	SRR11808872:1930640.605185	2	2
252	SRR11808872:2139540.626153	2	2
254	SRR11808872:2156320.602790	2	2
255	SRR11808872:2156580.632517	2	2
256	SRR11808872:21570.645863	2	2
258	SRR11808872:2185240.607641	2	2
259	SRR11808872:2186070.628660	2	2
262	SRR11808872:2221280.630271	2	2
263	SRR11808872:2246880.608540	2	2
264	SRR11808872:2265360.604023	2	2
266	SRR11808872:2293190.613649	2	2
272	SRR11808872:2319740.620887	2	2
275	SRR11808872:2332750.603909	2	2
276	SRR11808872:2343960.623130	2	2
277	SRR11808872:2353960.608142	2	2
278	SRR11808872:2354030.636519	2	2
280	SRR11808872:2357100.623868	2	2
281	SRR11808872:2357850.628876	2	2
283	SRR11808872:2363480.603628	2	2
284	SRR11808872:2368980.610731	2	2
285	SRR11808872:2370610.639260	2	2
286	SRR11808872:2371500.609687	2	2
287	SRR11808872:2372460.612944	2	2
288	SRR11808872:2395410.608505	2	2
290	SRR11808872:2406600.639360	2	2
291	SRR11808872:2408940.623136	2	2
292	SRR11808872:2409570.613906	2	2
293	SRR11808872:2432360.614137	2	2
295	SRR11808872:2437120.606331	2	2
296	SRR11808872:2461840.628716	2	2
297	SRR11808872:2497030.602826	2	2
299	SRR11808872:2500260.617831	2	2
300	SRR11808872:250070.612550	2	2
301	SRR11808872:2511440.610989	2	2
302	SRR11808872:251770.608233	2	2
305	SRR11808872:2565490.616107	2	2
308	SRR11808872:2590040.615485	2	2
310	SRR11808872:2592000.619915	2	2
311	SRR11808872:2601880.603649	2	2
312	SRR11808872:2602680.603730	2	2
313	SRR11808872:2603570.613265	2	2
314	SRR11808872:2615630.629643	2	2
317	SRR11808872:2625230.612025	2	2
318	SRR11808872:2626080.608988	2	2
320	SRR11808872:2649500.611303	2	2
321	SRR11808872:265120.619427	2	2
322	SRR11808872:2651670.613001	2	2
324	SRR11808872:2653940.607911	2	2
325	SRR11808872:2655220.644397	2	2
326	SRR11808872:2656340.634268	2	2
327	SRR11808872:2657390.603207	2	2
328	SRR11808872:2665770.626000	2	2
329	SRR11808872:2666510.607228	2	2
330	SRR11808872:2673960.613379	2	2
331	SRR11808872:2677230.611642	2	2
334	SRR11808872:2728760.622980	2	2
335	SRR11808872:273570.616611	2	2
336	SRR11808872:2741040.631328	2	2
337	SRR11808872:2741470.638757	2	2
338	SRR11808872:2747370.617300	2	2
339	SRR11808872:2758600.632396	2	2
341	SRR11808872:2767200.612430	2	2
343	SRR11808872:2794020.627637	2	2
344	SRR11808872:2806390.604510	2	2
