OTU	SRR1808872	classification
3	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Didea;Didea intermedia
SRR11808872:1562890.607980	4475	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808872:1934720.627203	1965	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:404520.606079	1535	Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Aleurochiton;Aleurochiton aceris
SRR11808872:1048230.613322	1462	Eukaryota;Arthropoda;Insecta;Megaloptera;Corydalidae;Neochauliodes;Neochauliodes punctatolosus
SRR11808872:1828010.617436	1149	Eukaryota;Cnidaria;Scyphozoa;Coronatae;Nausithoidae;Nausithoe;Nausithoe atlantica
SRR11808872:1046260.618392	962	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia lanosa
SRR11808872:2772590.625133	880	Eukaryota;Mollusca;Gastropoda;Helicarionidae;Helicarion;Helicarion mastersi
SRR11808872:1672930.627379	741	Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Scarabaeus;Scarabaeus flavicornis
SRR11808872:2024760.615502	697	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:2604360.664964	664	Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Eriophora;Eriophora ravilla
SRR11808872:36090.632278	569	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Agariciidae;Pavona;Pavona decussata
SRR11808872:148380.626842	459	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Polyorchidae;Polyorchis;Polyorchis penicillatus
SRR11808872:1116610.600201	419	Eukaryota;Arthropoda;Insecta;Embioptera;Anisembiidae;Chelicerca;Chelicerca heymonsi
SRR11808872:1116760.602692	382	Eukaryota;Annelida;Haplotaxida;Naididae;Paranais;Paranais litoralis
SRR11808872:3331740.607124	373	Eukaryota;Annelida;Haplotaxida;Naididae;Paranais;Paranais litoralis
SRR11808872:232180.641900	368	Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Calicophoron;Calicophoron microbothrioides
SRR11808872:1652180.608562	358	Eukaryota;Arthropoda;Insecta;Embioptera;Oligotomidae;Aposthonia;Aposthonia japonica
SRR11808872:2563070.604964	342	Eukaryota;Arthropoda;Insecta;Diptera;Syrphidae;Didea;Didea intermedia
SRR11808872:1187620.611465	337	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Vitula;Vitula pinei
SRR11808872:1118640.652891	321	Eukaryota;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euptychoides;Euptychoides nossis
SRR11808872:1653380.600751	314	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:126280.615556	313	Eukaryota;Arthropoda;Insecta;Lepidoptera;Papilionidae;Parides;Parides chabrias
SRR11808872:1292880.631451	254	Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Plakina;Plakina monolopha
SRR11808872:803870.606868	252	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pilosa
SRR11808872:2103140.600906	247	Eukaryota;Arthropoda;Arachnida;Araneae;Salticidae;Nycerella;Nycerella neglecta
SRR11808872:1087140.658407	209	Eukaryota;Arthropoda;Insecta;Hymenoptera;Megachilidae;Hoplitis;Hoplitis israelica
SRR11808872:2746500.615914	208	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila caribiana
SRR11808872:1607470.610622	203	Eukaryota;Arthropoda;Insecta;Hemiptera;Cicadidae;Atrapsalta (nomen nudum);Atrapsalta dolens (nomen nudum)
SRR11808872:2106300.601705	198	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Euscelinus;Euscelinus sarawacus
SRR11808872:3136950.620124	184	Eukaryota;Porifera;Demospongiae;Astrophorida;Vulcanellidae;Poecillastra;Poecillastra laminaris
SRR11808872:2849630.629075	178	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Thryssa;Thryssa baelama
SRR11808872:4771810.639275	165	Eukaryota;Cnidaria;Anthozoa;Alcyonacea;Paramuriceidae;Echinogorgia;Echinogorgia complexa
SRR11808872:3508330.611270	162	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:1289110.601395	160	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:576020.636985	159	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
SRR11808872:2354140.650465	154	Eukaryota;Porifera;Demospongiae;Halichondrida;Axinellidae;Ptilocaulis;Ptilocaulis walpersi
SRR11808872:1966670.603198	142	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Agalmatidae;Marrus;Marrus orthocanna
SRR11808872:1015170.610779	124	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;Apolemia rubriversa
SRR11808872:2124090.609921	119	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya dubia
SRR11808872:3607740.624902	118	Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;Pennaria disticha
SRR11808872:4401350.606132	115	Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Schizaphis;Schizaphis rotundiventris
SRR11808872:1839700.613844	114	Eukaryota;Platyhelminthes;Cestoda;Tetraphyllidea;Onchobothriidae;Pachybothrium;Pachybothrium hutsoni
SRR11808872:2825480.603212	112	Eukaryota;Annelida;Haplotaxida;Megascolecidae;Amynthas;Amynthas heterochaetus
SRR11808872:361810.629643	110	Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Praya;Praya reticulata
