amplicon	linearized.dereplicate_SRR1808872.merged.fastq	total
SRR11808872:::177974:0:0:0:0.619883	5	5
SRR11808872:::180880:0:0:0:0.609679	5	5
SRR11808872:::184398:0:0:0:0.609462	5	5
SRR11808872:::186669:0:0:0:0.603679	5	5
SRR11808872:::188980:0:0:0:0.617003	5	5
SRR11808872:::193417:0:0:0:0.621153	5	5
SRR11808872:::193472:0:0:0:0.627203	5	5
SRR11808872:::227813:0:0:0:0.632022	5	5
SRR11808872:::228701:0:0:0:0.609576	5	5
SRR11808872:::23030:0:0:0:0.608468	5	5
SRR11808872:::233805:0:0:0:0.626399	5	5
SRR11808872:::235420:0:0:0:0.610698	5	5
SRR11808872:::239306:0:0:0:0.617976	5	5
SRR11808872:::240969:0:0:0:0.619254	5	5
SRR11808872:::241724:0:0:0:0.616675	5	5
SRR11808872:::244297:0:0:0:0.600056	5	5
SRR11808872:::249921:0:0:0:0.626174	5	5
SRR11808872:::260423:0:0:0:0.609546	5	5
SRR11808872:::271894:0:0:0:0.636764	5	5
SRR11808872:::273119:0:0:0:0.623620	5	5
SRR11808872:::275975:0:0:0:0.615418	5	5
SRR11808872:::277259:0:0:0:0.625133	5	5
SRR11808872:::288558:0:0:0:0.612599	5	5
SRR11808872:::304160:0:0:0:0.608316	5	5
SRR11808872:::310724:0:0:0:0.605727	5	5
SRR11808872:::315441:0:0:0:0.610012	5	5
SRR11808872:::315738:0:0:0:0.639471	5	5
SRR11808872:::326135:0:0:0:0.622753	5	5
SRR11808872:::331073:0:0:0:0.634475	5	5
SRR11808872:::332600:0:0:0:0.624913	5	5
SRR11808872:::333875:0:0:0:0.634765	5	5
SRR11808872:::336893:0:0:0:0.615631	5	5
SRR11808872:::336909:0:0:0:0.624647	5	5
SRR11808872:::341989:0:0:0:0.603392	5	5
SRR11808872:::347944:0:0:0:0.610284	5	5
SRR11808872:::348936:0:0:0:0.617484	5	5
SRR11808872:::350938:0:0:0:0.600600	5	5
SRR11808872:::351953:0:0:0:0.629869	5	5
SRR11808872:::355311:0:0:0:0.605438	5	5
SRR11808872:::373579:0:0:0:0.634142	5	5
SRR11808872:::376926:0:0:0:0.629595	5	5
SRR11808872:::380750:0:0:0:0.600526	5	5
SRR11808872:::382363:0:0:0:0.608042	5	5
SRR11808872:::395836:0:0:0:0.618004	5	5
SRR11808872:::399662:0:0:0:0.605855	5	5
SRR11808872:::40452:0:0:0:0.606079	5	5
SRR11808872:::414710:0:0:0:0.607611	5	5
SRR11808872:::419074:0:0:0:0.635746	5	5
SRR11808872:::438161:0:0:0:0.625150	5	5
SRR11808872:::447779:0:0:0:0.607624	5	5
SRR11808872:::51791:0:0:0:0.625018	5	5
SRR11808872:::56959:0:0:0:0.601647	5	5
SRR11808872:::60908:0:0:0:0.620192	5	5
SRR11808872:::6250:0:0:0:0.600875	5	5
SRR11808872:::77586:0:0:0:0.641955	5	5
SRR11808872:::77687:0:0:0:0.634386	5	5
SRR11808872:::77697:0:0:0:0.613633	5	5
SRR11808872:::80137:0:0:0:0.642328	5	5
SRR11808872:::81602:0:0:0:0.613722	5	5
SRR11808872:::81647:0:0:0:0.635635	5	5
SRR11808872:::82152:0:0:0:0.607859	5	5
SRR11808872:::84009:0:0:0:0.638808	5	5
SRR11808872:::85084:0:0:0:0.617880	5	5
SRR11808872:::86494:0:0:0:0.613404	5	5
SRR11808872:::87271:0:0:0:0.630199	5	5
SRR11808872:::87318:0:0:0:0.626295	5	5
SRR11808872:::87341:0:0:0:0.620904	5	5
SRR11808872:::87846:0:0:0:0.609531	5	5
SRR11808872:::91283:0:0:0:0.622411	5	5
SRR11808872:::91332:0:0:0:0.605080	5	5
SRR11808872:::92372:0:0:0:0.631999	5	5
SRR11808872:::94121:0:0:0:0.601885	5	5
SRR11808872:::94329:0:0:0:0.601943	5	5
SRR11808872:::104758:0:0:0:0.602397	4	4
SRR11808872:::104996:0:0:0:0.620345	4	4
SRR11808872:::105745:0:0:0:0.606078	4	4
SRR11808872:::106330:0:0:0:0.621985	4	4
SRR11808872:::111780:0:0:0:0.600056	4	4
SRR11808872:::112621:0:0:0:0.611765	4	4
SRR11808872:::113896:0:0:0:0.640129	4	4
SRR11808872:::115069:0:0:0:0.622798	4	4
SRR11808872:::116765:0:0:0:0.631342	4	4
SRR11808872:::118494:0:0:0:0.621992	4	4
SRR11808872:::122646:0:0:0:0.610653	4	4
SRR11808872:::124060:0:0:0:0.613403	4	4
SRR11808872:::124412:0:0:0:0.645094	4	4
SRR11808872:::125491:0:0:0:0.626316	4	4
SRR11808872:::133392:0:0:0:0.601873	4	4
SRR11808872:::133450:0:0:0:0.612988	4	4
SRR11808872:::133509:0:0:0:0.614569	4	4
SRR11808872:::133602:0:0:0:0.605024	4	4
SRR11808872:::133739:0:0:0:0.604504	4	4
SRR11808872:::133766:0:0:0:0.622337	4	4
SRR11808872:::135804:0:0:0:0.603699	4	4
SRR11808872:::136974:0:0:0:0.607824	4	4
SRR11808872:::137480:0:0:0:0.617856	4	4
SRR11808872:::137602:0:0:0:0.632737	4	4
SRR11808872:::139590:0:0:0:0.603688	4	4
SRR11808872:::140109:0:0:0:0.601367	4	4
SRR11808872:::140200:0:0:0:0.607471	4	4
SRR11808872:::141249:0:0:0:0.635445	4	4
SRR11808872:::141746:0:0:0:0.625555	4	4
SRR11808872:::142894:0:0:0:0.603484	4	4
SRR11808872:::143421:0:0:0:0.616458	4	4
SRR11808872:::146595:0:0:0:0.602783	4	4
