amplicon	linearized.dereplicate_ERR1308201.merged.fastq	total
ERR1308201:::101132:0:0:0:0.608431	3	3
ERR1308201:::101693:0:0:0:0.603165	3	3
ERR1308201:::101763:0:0:0:0.617587	3	3
ERR1308201:::102057:0:0:0:0.600131	3	3
ERR1308201:::103048:0:0:0:0.612153	3	3
ERR1308201:::104532:0:0:0:0.601813	3	3
ERR1308201:::104539:0:0:0:0.627828	3	3
ERR1308201:::105023:0:0:0:0.628377	3	3
ERR1308201:::10518:0:0:0:0.600623	3	3
ERR1308201:::10565:0:0:0:0.614567	3	3
ERR1308201:::108237:0:0:0:0.609549	3	3
ERR1308201:::10825:0:0:0:0.603397	3	3
ERR1308201:::109575:0:0:0:0.610546	3	3
ERR1308201:::11029:0:0:0:0.601487	3	3
ERR1308201:::111317:0:0:0:0.603115	3	3
ERR1308201:::11349:0:0:0:0.607331	3	3
ERR1308201:::114961:0:0:0:0.603237	3	3
ERR1308201:::116854:0:0:0:0.610385	3	3
ERR1308201:::11920:0:0:0:0.603603	3	3
ERR1308201:::12065:0:0:0:0.626023	3	3
ERR1308201:::12076:0:0:0:0.609665	3	3
ERR1308201:::12138:0:0:0:0.612273	3	3
ERR1308201:::122337:0:0:0:0.616560	3	3
ERR1308201:::12341:0:0:0:0.606464	3	3
ERR1308201:::124997:0:0:0:0.600298	3	3
ERR1308201:::13218:0:0:0:0.604233	3	3
ERR1308201:::132616:0:0:0:0.617322	3	3
ERR1308201:::132719:0:0:0:0.613765	3	3
ERR1308201:::132835:0:0:0:0.619336	3	3
ERR1308201:::135568:0:0:0:0.610626	3	3
ERR1308201:::13668:0:0:0:0.616135	3	3
ERR1308201:::13787:0:0:0:0.612235	3	3
ERR1308201:::139411:0:0:0:0.601111	3	3
ERR1308201:::141922:0:0:0:0.610978	3	3
ERR1308201:::14286:0:0:0:0.627761	3	3
ERR1308201:::143253:0:0:0:0.602255	3	3
ERR1308201:::14379:0:0:0:0.609343	3	3
ERR1308201:::144637:0:0:0:0.608360	3	3
ERR1308201:::145272:0:0:0:0.617773	3	3
ERR1308201:::148057:0:0:0:0.637903	3	3
ERR1308201:::148191:0:0:0:0.611485	3	3
ERR1308201:::1491:0:0:0:0.612285	3	3
ERR1308201:::16478:0:0:0:0.601831	3	3
ERR1308201:::166549:0:0:0:0.615778	3	3
ERR1308201:::16710:0:0:0:0.609942	3	3
ERR1308201:::16790:0:0:0:0.615953	3	3
ERR1308201:::170043:0:0:0:0.608119	3	3
ERR1308201:::171200:0:0:0:0.625214	3	3
ERR1308201:::171595:0:0:0:0.629388	3	3
ERR1308201:::17198:0:0:0:0.607156	3	3
ERR1308201:::178284:0:0:0:0.616932	3	3
ERR1308201:::17916:0:0:0:0.601395	3	3
ERR1308201:::17966:0:0:0:0.601015	3	3
ERR1308201:::179849:0:0:0:0.600601	3	3
ERR1308201:::18039:0:0:0:0.623751	3	3
ERR1308201:::180763:0:0:0:0.620929	3	3
ERR1308201:::180810:0:0:0:0.600289	3	3
ERR1308201:::18102:0:0:0:0.631232	3	3
ERR1308201:::182883:0:0:0:0.604201	3	3
ERR1308201:::183129:0:0:0:0.609482	3	3
ERR1308201:::185032:0:0:0:0.616113	3	3
ERR1308201:::185310:0:0:0:0.613045	3	3
ERR1308201:::185986:0:0:0:0.630079	3	3
ERR1308201:::186024:0:0:0:0.616677	3	3
ERR1308201:::18634:0:0:0:0.612158	3	3
ERR1308201:::190705:0:0:0:0.616304	3	3
ERR1308201:::19102:0:0:0:0.607173	3	3
ERR1308201:::191185:0:0:0:0.600458	3	3
ERR1308201:::191214:0:0:0:0.622673	3	3
ERR1308201:::192627:0:0:0:0.620971	3	3
ERR1308201:::197712:0:0:0:0.605799	3	3
ERR1308201:::199403:0:0:0:0.606084	3	3
ERR1308201:::20204:0:0:0:0.606107	3	3
ERR1308201:::204341:0:0:0:0.620775	3	3
ERR1308201:::204403:0:0:0:0.609275	3	3
ERR1308201:::204612:0:0:0:0.636374	3	3
ERR1308201:::205015:0:0:0:0.614075	3	3
ERR1308201:::205206:0:0:0:0.631797	3	3
ERR1308201:::205332:0:0:0:0.633493	3	3
ERR1308201:::206035:0:0:0:0.603830	3	3
ERR1308201:::20613:0:0:0:0.616940	3	3
ERR1308201:::206580:0:0:0:0.606798	3	3
