amplicon	ERR1308201	total
ERR1308201:1860240.616677	3	3
ERR1308201:186340.612158	3	3
ERR1308201:1907050.616304	3	3
ERR1308201:191020.607173	3	3
ERR1308201:1911850.600458	3	3
ERR1308201:1912140.622673	3	3
ERR1308201:1926270.620971	3	3
ERR1308201:1977120.605799	3	3
ERR1308201:1994030.606084	3	3
ERR1308201:202040.606107	3	3
ERR1308201:2043410.620775	3	3
ERR1308201:2044030.609275	3	3
ERR1308201:2046120.636374	3	3
ERR1308201:2050150.614075	3	3
ERR1308201:2052060.631797	3	3
ERR1308201:2053320.633493	3	3
ERR1308201:2060350.603830	3	3
ERR1308201:206130.616940	3	3
ERR1308201:2065800.606798	3	3
ERR1308201:217420.624306	3	3
ERR1308201:2257440.614729	3	3
ERR1308201:2264690.649347	3	3
ERR1308201:22710.609169	3	3
ERR1308201:2274830.619329	3	3
ERR1308201:2275950.630642	3	3
ERR1308201:2296790.628155	3	3
ERR1308201:2361450.611612	3	3
ERR1308201:241710.605775	3	3
ERR1308201:241980.605627	3	3
ERR1308201:247880.623991	3	3
ERR1308201:2500000.615702	3	3
ERR1308201:2520610.628531	3	3
ERR1308201:2520810.610316	3	3
ERR1308201:252970.601555	3	3
ERR1308201:254780.617348	3	3
ERR1308201:256350.609159	3	3
ERR1308201:257820.608187	3	3
ERR1308201:258370.613453	3	3
ERR1308201:262960.609026	3	3
ERR1308201:271950.619707	3	3
ERR1308201:275250.603690	3	3
ERR1308201:276250.602785	3	3
ERR1308201:276260.600851	3	3
ERR1308201:278080.618718	3	3
ERR1308201:279390.624895	3	3
ERR1308201:280010.600084	3	3
ERR1308201:289760.611358	3	3
ERR1308201:292480.600355	3	3
ERR1308201:292930.602209	3	3
ERR1308201:294660.618152	3	3
ERR1308201:296500.622284	3	3
ERR1308201:322360.602146	3	3
ERR1308201:322550.611501	3	3
ERR1308201:32500.604236	3	3
ERR1308201:328130.617159	3	3
ERR1308201:332160.605623	3	3
ERR1308201:333000.612516	3	3
ERR1308201:333280.623064	3	3
ERR1308201:33620.603490	3	3
ERR1308201:336740.608221	3	3
ERR1308201:33730.607962	3	3
ERR1308201:337650.603652	3	3
ERR1308201:338750.622961	3	3
ERR1308201:339780.629695	3	3
ERR1308201:343200.613197	3	3
ERR1308201:345460.626214	3	3
ERR1308201:347650.622198	3	3
ERR1308201:348830.612338	3	3
ERR1308201:349240.615037	3	3
ERR1308201:350220.611255	3	3
ERR1308201:350600.601750	3	3
ERR1308201:353330.622950	3	3
ERR1308201:353550.603702	3	3
ERR1308201:355230.629245	3	3
ERR1308201:356600.630457	3	3
ERR1308201:361010.600546	3	3
ERR1308201:364330.608543	3	3
ERR1308201:36550.604449	3	3
ERR1308201:365830.603784	3	3
ERR1308201:367840.630833	3	3
ERR1308201:368480.614663	3	3
ERR1308201:384260.617933	3	3
ERR1308201:392440.634265	3	3
ERR1308201:393000.611412	3	3
ERR1308201:393250.614501	3	3
ERR1308201:396310.615846	3	3
ERR1308201:397490.643509	3	3
ERR1308201:399190.606985	3	3
ERR1308201:401090.603706	3	3
ERR1308201:401850.607919	3	3
ERR1308201:403460.612026	3	3
ERR1308201:404420.620404	3	3
ERR1308201:409920.622594	3	3
ERR1308201:411920.616096	3	3
ERR1308201:411960.620992	3	3
ERR1308201:415440.602391	3	3
ERR1308201:416650.602132	3	3
ERR1308201:416910.612042	3	3
ERR1308201:417360.617589	3	3
ERR1308201:418970.607880	3	3
ERR1308201:419470.612284	3	3
ERR1308201:419550.620623	3	3
ERR1308201:425330.604382	3	3
ERR1308201:425470.607000	3	3
ERR1308201:426650.609857	3	3
ERR1308201:432490.611745	3	3
ERR1308201:432580.610223	3	3
ERR1308201:433880.621923	3	3
ERR1308201:435790.639886	3	3
ERR1308201:436260.615376	3	3
ERR1308201:437310.615056	3	3
ERR1308201:439240.604744	3	3
ERR1308201:44930.609174	3	3
ERR1308201:449820.614934	3	3
ERR1308201:45400.605711	3	3
ERR1308201:466670.619174	3	3
ERR1308201:473340.604106	3	3
ERR1308201:473950.624014	3	3
