OTU	ERR0000001	classification
ERR1:906830.613228	307	Eukaryota;Chordata;Squamata;Agamidae;Hydrosaurus;Hydrosaurus amboinensis
ERR1:472420.658770	302	Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Cnemidocarpa;Cnemidocarpa verrucosa
ERR1:1042840.667850	299	Eukaryota;Hemichordata;Pterobranchia;Rhabdopleurida;Rhabdopleuridae;Rhabdopleura;Rhabdopleura compacta
ERR1:1000500.674741	292	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Aristostomias;Aristostomias polydactylus
ERR1:1277460.626256	291	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Solenosmilia;Solenosmilia variabilis
ERR1:1023120.697959	283	Eukaryota;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Sminthopsis;Sminthopsis dolichura
ERR1:1004380.603749	280	Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Leptoderma;Leptoderma lubricum
ERR1:1246620.650214	273	Eukaryota;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Pantachogon;Pantachogon haeckeli
ERR1:15920.652681	267	Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartia;Sagartia ornata
ERR1:1348890.722994	262	Eukaryota;Mollusca;Gastropoda;Nudibranchia;Discodorididae;Discodoris;Discodoris confusa
ERR1:1068470.670031	246	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
ERR1:287360.616983	245	Eukaryota;Mollusca;Gastropoda;Cassidae;Semicassis;Semicassis pyrum
ERR1:1000100.600181	243	Eukaryota;Arthropoda;Insecta;Diptera;Agromyzidae;Phytoliriomyza;Phytoliriomyza felti
ERR1:1006540.660528	235	Eukaryota;Acanthocephala;Archiacanthocephala;Oligacanthorhynchida;Oligacanthorhynchidae;Macracanthorhynchus;Macracanthorhynchus hirudinaceus
ERR1:1152340.687583	228	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo trutta
ERR1:1996870.684188	227	Eukaryota;Annelida;Haplotaxida;Naididae;Chaetogaster;Chaetogaster diastrophus
ERR1:10590.624886	226	Eukaryota;Chordata;Squamata;Gekkonidae;Tropiocolotes;Tropiocolotes tripolitanus
ERR1:1112960.724900	222	Eukaryota;Nemertea;Anopla;Heteronemertea;Lineidae;Iwatanemertes;Iwatanemertes piperata
ERR1:1028900.692015	221	Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Polyphylla;Polyphylla laticollis
ERR1:711690.701706	219	Eukaryota;Chordata;Appendicularia;Oikopleuridae;Oikopleura;Oikopleura dioica
ERR1:1079290.659569	215	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila soonae
ERR1:1379370.648658	213	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Lepidocephalus;Lepidocephalus thermalis
ERR1:31140.698415	213	Eukaryota;Hemichordata;Pterobranchia;Rhabdopleurida;Rhabdopleuridae;Rhabdopleura;Rhabdopleura compacta
ERR1:526730.691707	211	Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sphenophorus;Sphenophorus incurrens
