	ERR1
Perca_fluviatilis_	6	
Ophidonais_serpentina_	50	
Lumbriculus_variegatus_	12	
Choneiulus_palmatus_	10	
Salmo_	228	
Phytocoris_dimidiatus_	5	
Lepidochaetus_zelinkai_	15	
Diptera_	16	
Erpobdella_octoculata_	12	
Chaetogaster_diaphanus_	13	
Psectrocladius_octomaculatus_	8	
Nemurella_pictetii_	3	
Asellus_aquaticus_	6	
Stylodrilus_heringianus_	10	
Slavina_appendiculata_	13	
Ceratophysella_denticulata_L3_	7	
Limnodrilus_claparedeanus_	10	
Anas_	115	
Heptagenia_sulphurea_	80	
Annelida_	36	
Leuctra_fusca_	15	
Hydropsychidae_	152	
Baetis_rhodani_	173	
Chamaedrilus_chalupskyi_	3	
Aporrectodea_caliginosa_L1_	36	
Dendrodrilus_rubidus_	24	
Vejdovskyella_comata_	5	
Columba_palumbus_	24	
Rotaria_	3	
Passer_montanus_	7	
Naididae_	131	
Chamaedrilus_glandulosus_	3	
Eiseniella_tetraedra_	19	
Phoxinus_	166	
Prodiamesa_olivacea_	7	
Craspedacusta_sowerbyi_	25	
Hemiptera_	9	
Campyloneura_virgula_	4	
Hydrodroma_torrenticola_	7	
Canis_lupus_	34	
Nais_variabilis_	5	
Rhyacophila_meridionalis_	4	
Keratella_cochlearis_	38	
Cricotopus_bicinctus_	9	
Platichthys_flesus_	3	
Tanytarsus_eminulus_	28	
Arthropoda_	747	
Rheotanytarsus_pentapoda_	4	
Julus_scandinavius_	4	
Tubifex_ignotus_	6	
Nais_alpina_	366	
Nais_barbata_	70	
Chaetogaster_diastrophus_	237	
Orthocladius_fuscimanus_	1413	
Carduelis_chloris_	4	
Ceraclea_dissimilis_	3	
Anguilla_anguilla_	7	
Bothrioneurum_vejdovskyanum_	3	
Homo_sapiens_	3	
Polyarthra_dolichoptera_	31	
Salmo_salar_	55	
Mideopsis_roztoczensis_	8	
Ephydatia_muelleri_	11	
Bos_	10	
Lampetra_fluviatilis_	16	
Blepharidopterus_angulatus_	3	
Chironomus_anthracinus_	3	
Aulodrilus_pluriseta_	33	
Insecta_	1546	
Philonthus_cognatus_	5	
Nais_communis_	74	
Columba_livia_	24	
Eukaryota_	97023	
Turdus_pilaris_	10	
Tubifex_tubifex_	64	
Bdelloidea_	5	
Aporrectodea_longa_	10	
Lepidodermella_minus_	6	
Phoxinus_phoxinus_	1319	
Simulium_tuberosum_	4	
Rutilus_rutilus_	3	
Ripistes_parasita_	3	
Prostoma_graecense_	80	
Harmonia_axyridis_	3	
Anthocoris_nemorum_	3	
Simulium_	3	
Micropsectra_pallidula_	3	
Lumbricillus_rivalis_	32	
Pentatoma_rufipes_	7	
Lepidostoma_hirtum_	4	
Specaria_josinae_	10	
Philodina_flaviceps_	14	
Xenochironomus_xenolabis_	19	
Nais_elinguis_	24	
Orthotylus_marginalis_	3	
Motacilla_cinerea_	10	
Chaetonotidae_	5	
Ephemera_vulgata_	5	
Limnodrilus_hoffmeisteri_	23	
