OTU	amplicon	ERR0000001	total
625	ERR1:1012490.681660	1	1
626	ERR1:1012500.608239	1	1
627	ERR1:1012510.681253	2	2
629	ERR1:1012590.617256	2	2
630	ERR1:1012620.735032	1	1
631	ERR1:1012650.721507	1	1
639	ERR1:1012870.682258	1	1
647	ERR1:1013080.669723	1	1
648	ERR1:1013180.692502	1	1
650	ERR1:101320.670461	1	1
651	ERR1:1013200.600697	1	1
652	ERR1:1013260.713748	1	1
658	ERR1:101340.716095	2	2
659	ERR1:1013460.632569	1	1
662	ERR1:101350.655625	1	1
665	ERR1:1013560.740102	1	1
666	ERR1:1013600.676579	2	2
667	ERR1:1013630.689817	2	2
669	ERR1:1013690.708111	1	1
670	ERR1:1013710.711625	1	1
671	ERR1:1013810.704061	1	1
673	ERR1:1013840.741028	1	1
674	ERR1:1013860.679507	1	1
675	ERR1:1013890.699648	2	2
676	ERR1:1013900.711514	1	1
677	ERR1:1013990.714129	1	1
678	ERR1:10140.621899	2	2
680	ERR1:1014110.683925	1	1
685	ERR1:1014290.674654	1	1
686	ERR1:1014300.686480	1	1
688	ERR1:1014350.689782	2	2
690	ERR1:1014400.676906	2	2
691	ERR1:1014430.645549	1	1
696	ERR1:1014610.664036	1	1
697	ERR1:1014630.600275	1	1
702	ERR1:1014720.632193	2	2
705	ERR1:1014770.695644	1	1
707	ERR1:1014820.700861	1	1
709	ERR1:1014840.716988	1	1
712	ERR1:1014970.649522	1	1
713	ERR1:1014980.749237	2	2
716	ERR1:1015080.676202	1	1
718	ERR1:1015100.732263	1	1
720	ERR1:1015130.620269	1	1
722	ERR1:1015150.605267	1	1
727	ERR1:1015310.759566	1	1
728	ERR1:1015340.717184	1	1
730	ERR1:1015400.625219	1	1
735	ERR1:1015530.624809	2	2
739	ERR1:1015630.632481	1	1
742	ERR1:101570.682581	1	1
743	ERR1:1015770.665122	1	1
745	ERR1:1015800.707811	1	1
746	ERR1:1015810.722714	1	1
747	ERR1:1015820.717467	1	1
749	ERR1:1015890.623359	1	1
756	ERR1:1016060.695149	1	1
757	ERR1:1016080.626472	1	1
758	ERR1:1016140.633216	1	1
760	ERR1:1016190.608576	1	1
761	ERR1:1016200.608877	2	2
763	ERR1:1016240.633173	1	1
766	ERR1:1016310.709367	1	1
767	ERR1:1016360.679372	1	1
768	ERR1:1016370.674963	1	1
771	ERR1:1016410.675473	1	1
772	ERR1:1016420.702779	1	1
773	ERR1:1016430.669652	1	1
775	ERR1:1016470.641731	2	2
776	ERR1:1016490.690408	1	1
778	ERR1:1016570.749197	1	1
779	ERR1:1016580.644757	1	1
781	ERR1:1016620.712389	1	1
782	ERR1:1016640.656429	1	1
784	ERR1:1016740.697771	1	1
786	ERR1:1016880.656181	1	1
787	ERR1:1016940.731151	1	1
790	ERR1:1017020.707291	1	1
792	ERR1:101720.608953	1	1
794	ERR1:1017270.693355	1	1
796	ERR1:1017370.693879	2	2
797	ERR1:1017400.606043	2	2
798	ERR1:1017470.738729	1	1
799	ERR1:1017480.646757	1	1
800	ERR1:1017520.725904	1	1
805	ERR1:1017900.674482	2	2
808	ERR1:1017980.713695	2	2
809	ERR1:1018040.693983	1	1
810	ERR1:1018070.635737	1	1
811	ERR1:101810.677375	1	1
812	ERR1:1018100.652916	1	1
813	ERR1:1018110.610797	1	1
814	ERR1:1018170.671772	1	1
815	ERR1:1018230.660872	1	1
