OTU	ERR1308201	classification
Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus heliomesonyctios
ERR1308201:189120.603048	2432	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Ortholepis;Ortholepis pasadamia
ERR1308201:293390.605372	1627	Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Dermacentor;Dermacentor niveus
ERR1308201:625060.612480	562	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308201:1448920.600333	500	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308201:2041320.605079	348	Eukaryota;Arthropoda;Maxillopoda;Calanoida;Centropagidae;Boeckella;Boeckella triarticulata
ERR1308201:1808570.615321	329	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Ablabesmyia;Ablabesmyia monilis
ERR1308201:100870.614432	312	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Myospila;Myospila lauta
ERR1308201:1115070.604641	309	Eukaryota;Arthropoda;Insecta;Diptera;Psychodidae;Psychoda;Psychoda alticola
ERR1308201:183200.614844	276	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308201:115080.613629	247	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pilosa
ERR1308201:2177050.602472	230	Eukaryota;Chordata;Mammalia;Insectivora;Talpidae;Uropsilus;Uropsilus gracilis
ERR1308201:1069850.606072	228	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Paratanytarsus;Paratanytarsus tenuis
ERR1308201:1780360.619707	220	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308201:1088350.601132	189	Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Eutelia;Eutelia adulatricoides
ERR1308201:1791800.628508	174	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila pilosa
ERR1308201:1401230.605508	161	Eukaryota;Arthropoda;Insecta;Diptera;Sarcophagidae;Sarcophaga;Sarcophaga serrata
ERR1308201:101230.601964	158	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Heterotanytarsus;Heterotanytarsus apicalis
ERR1308201:902230.602340	157	Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides nigrimanus
ERR1308201:119840.628857	114	Eukaryota;Arthropoda;Insecta;Diptera;Muscidae;Musca;Musca formosana
ERR1308201:540080.619237	113	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phanerotoma;Phanerotoma flava
ERR1308201:2493650.604575	112	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila bicornuta
ERR1308201:1039590.755514	97	Eukaryota;Nematoda;Chromadorea;Tylenchida;Meloidogynidae;Meloidogyne;Meloidogyne chitwoodi
ERR1308201:1015310.616972	96	Eukaryota;Arthropoda;Insecta;Diptera;Tipulidae;Tipula;Tipula truncorum
ERR1308201:553320.601503	94	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Dicrotendipes;Dicrotendipes pulsus
ERR1308201:1016940.632945	92	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes sloanii
ERR1308201:1147440.601728	90	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Orconectes;Orconectes ozarkae
ERR1308201:1027430.602939	89	Eukaryota;Porifera;Demospongiae;Poecilosclerida;Podospongiidae;Diacarnus;Diacarnus spinipoculum
ERR1308201:1009770.601914	87	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Prodiamesa;Prodiamesa olivacea
ERR1308201:1686810.611536	71	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila karakasa
ERR1308201:1000500.608672	67	Eukaryota;Arthropoda;Insecta;Diptera;Ptychopteridae;Bittacomorphella;Bittacomorphella fenderiana
ERR1308201:1034720.603859	66	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308201:950350.606569	66	Eukaryota;Arthropoda;Malacostraca;Amphipoda;Crangonyctidae;Crangonyx;Crangonyx pseudogracilis
ERR1308201:1014950.606124	64	Eukaryota;Arthropoda;Insecta;Diptera;Sciomyzidae;Pteromicra;Pteromicra leucopeza
ERR1308201:1088890.600773	64	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Corynoneura;Corynoneura arctica
ERR1308201:1035560.735951	61	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus heliomesonyctios
ERR1308201:34580.616567	60	Eukaryota;Entoprocta;Loxosomatidae;Loxosomella;Loxosomella aloxiata
ERR1308201:471200.607121	52	Eukaryota;Arthropoda;Insecta;Diptera;Psychodidae;Psychoda;Psychoda trinodulosa
ERR1308201:1027970.630930	51	Eukaryota;Arthropoda;Insecta;Hymenoptera;Trigonalidae;Taeniogonalos;Taeniogonalos taihorina
ERR1308201:1070580.618941	51	Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;Drosophila bicornuta
ERR1308201:508580.635823	51	Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia sibogae
ERR1308201:1137940.699306	50	Eukaryota;Entoprocta;Loxosomatidae;Loxocorone;Loxocorone allax
ERR1308201:106210.614371	49	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Rheocricotopus;Rheocricotopus effusus
ERR1308201:100330.615590	46	Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Cambarellus;Cambarellus diminutus
